iteration,Mnd_percent,gray_fraction,mid_fraction,broad_core_fraction,omega1_preupdate,omega2_preupdate,omega3_preupdate,move,stage,exA,exB,exE,gap12_preupdate,gap23_preupdate,warning
1.000000000000000000e+00,9.968601085278929474e+01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,6.824154261340486016e+01,2.516745314754033700e+02,3.906744912708290371e+02,4.000000000000000083e-02,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.687995930882815632e+00,5.523004611573515410e-01,0.000000000000000000e+00
2.000000000000000000e+00,9.875674697082685327e+01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,7.381470301368545961e+01,2.659840658424835738e+02,4.026768131472439336e+02,4.000000000000000083e-02,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.603402235367246131e+00,5.139132935343208031e-01,0.000000000000000000e+00
3.000000000000000000e+00,9.726638065471102834e+01,1.000000000000000000e+00,6.233999999999999542e-01,1.000000000000000000e+00,7.949543784067887486e+01,2.794529208283864818e+02,4.133576180349342053e+02,4.000000000000000083e-02,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.515332809267033287e+00,4.791672844556858490e-01,0.000000000000000000e+00
4.000000000000000000e+00,9.528616819195676158e+01,1.000000000000000000e+00,5.380000000000000338e-01,1.000000000000000000e+00,8.519108050198741466e+01,2.910623071427019113e+02,4.238063340856294872e+02,4.000000000000000083e-02,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.416581940593085065e+00,4.560673906767525598e-01,0.000000000000000000e+00
5.000000000000000000e+00,9.285755052057055536e+01,1.000000000000000000e+00,4.686000000000000165e-01,1.000000000000000000e+00,9.083370911176541540e+01,2.996864025410751537e+02,4.346586431091825489e+02,4.000000000000000083e-02,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.299286195308055447e+00,4.503782601534884189e-01,0.000000000000000000e+00
6.000000000000000000e+00,9.013221659432080912e+01,1.000000000000000000e+00,4.203999999999999959e-01,1.000000000000000000e+00,9.640712421119692976e+01,3.038575243968301152e+02,4.464215744832773112e+02,4.000000000000000083e-02,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.151816080844567214e+00,4.691805818185440513e-01,0.000000000000000000e+00
7.000000000000000000e+00,8.717706399242757698e+01,1.000000000000000000e+00,3.854000000000000203e-01,1.000000000000000000e+00,1.017593420605126937e+02,3.010882065393494713e+02,4.584892479838958366e+02,4.000000000000000083e-02,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.958826191705356434e+00,5.227738517349582725e-01,0.000000000000000000e+00
8.000000000000000000e+00,8.417566485597839687e+01,1.000000000000000000e+00,3.684000000000000052e-01,1.000000000000000000e+00,1.069125443365654036e+02,2.892116825562546296e+02,4.708535794261320575e+02,4.000000000000000083e-02,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.705123934248571338e+00,6.280586429441563645e-01,0.000000000000000000e+00
9.000000000000000000e+00,8.119785147959839833e+01,1.000000000000000000e+00,3.583999999999999964e-01,1.000000000000000000e+00,1.117838833091791884e+02,2.675775793237622224e+02,4.827245211894995691e+02,4.000000000000000083e-02,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.393704453652577113e+00,8.040544443576675970e-01,0.000000000000000000e+00
1.000000000000000000e+01,7.814948807714783641e+01,1.000000000000000000e+00,3.463999999999999857e-01,1.000000000000000000e+00,1.164297079218462017e+02,2.388954635460749500e+02,4.942051593307997450e+02,4.000000000000000083e-02,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.051842848445813106e+00,1.068708848611033213e+00,1.000000000000000000e+00
