iteration,final_core_gray_fraction,final_core_mid_fraction,domain_L1_to_final,final_core_L1_to_final,threshold_flip_to_final
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,3.551602948599466569e-01,9.288709282476113882e-02,2.913000000000000034e-01
2.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,3.497770571864197153e-01,9.247095450487448354e-02,2.842500000000000027e-01
3.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,3.442459507965185406e-01,9.222155716940289016e-02,2.761500000000000066e-01
4.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,3.385849309023094000e-01,9.211339438370141908e-02,2.687999999999999834e-01
5.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,3.328135267557651988e-01,9.213106119474499811e-02,2.610500000000000043e-01
6.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,3.269472509647297631e-01,9.224358191025697207e-02,2.511999999999999789e-01
7.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,3.210055730581318767e-01,9.242981089518365057e-02,2.481500000000000095e-01
8.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,3.146714400091111807e-01,9.269339829665607100e-02,2.373500000000000054e-01
9.000000000000000000e+00,1.000000000000000000e+00,9.988021082894106284e-01,3.079625701765779100e-01,9.303691890903707795e-02,2.338500000000000023e-01
1.000000000000000000e+01,1.000000000000000000e+00,9.988021082894106284e-01,3.012376767506273478e-01,9.343627230176079768e-02,2.243499999999999939e-01
1.100000000000000000e+01,1.000000000000000000e+00,9.988021082894106284e-01,2.945220415490755195e-01,9.386254017462332400e-02,2.223499999999999921e-01
1.200000000000000000e+01,1.000000000000000000e+00,9.974844274077623307e-01,2.878305779828649325e-01,9.430490839109974266e-02,2.162999999999999923e-01
1.300000000000000000e+01,1.000000000000000000e+00,9.868231911835170234e-01,2.811843691663914457e-01,9.476338453683892660e-02,2.136500000000000066e-01
