element,rho,delta,scheme,raw_analytic,FE_FD,filtered_analytic,raw_subspace_FD,filtered_subspace_FD,abs_error,relative_error,error_over_raw_interior_RMS
3.198000000000000000e+03,4.369522870177368623e-01,1.000000000000000021e-03,0.000000000000000000e+00,1.195328603976977933e+00,1.195320497572538443e+00,1.224396304910055466e+00,1.195328603976975490e+00,1.224396304910052802e+00,8.106404439489622860e-06,6.781737182996210060e-06,2.025712636776181214e-06
3.198000000000000000e+03,4.369522870177368623e-01,2.999999999999999737e-04,0.000000000000000000e+00,1.195328603976977933e+00,1.195356847650449250e+00,1.224396304910055466e+00,1.195328603976977488e+00,1.224396304910055244e+00,2.824367347131762074e-05,2.362837581008945338e-05,7.057822822300542951e-06
3.198000000000000000e+03,4.369522870177368623e-01,1.000000000000000048e-04,0.000000000000000000e+00,1.195328603976977933e+00,1.195346230815630406e+00,1.224396304910055466e+00,1.195328603976977933e+00,1.224396304910055466e+00,1.762683865247360870e-05,1.474643758530277980e-05,4.404777737314414160e-06
3.395000000000000000e+03,5.978352989649748928e-01,1.000000000000000021e-03,0.000000000000000000e+00,1.514224048023438129e+00,1.514220248282072134e+00,1.504644738886578681e+00,1.514224048023431246e+00,1.504644738886572464e+00,3.799741365995146225e-06,2.509365355117072938e-06,9.495188846094841156e-07
3.395000000000000000e+03,5.978352989649748928e-01,2.999999999999999737e-04,0.000000000000000000e+00,1.514224048023438129e+00,1.514222282518555174e+00,1.504644738886578681e+00,1.514224048023437463e+00,1.504644738886578237e+00,1.765504882955681865e-06,1.165946931869328144e-06,4.411827189710938364e-07
3.395000000000000000e+03,5.978352989649748928e-01,1.000000000000000048e-04,0.000000000000000000e+00,1.514224048023438129e+00,1.514168670837534592e+00,1.504644738886578681e+00,1.514224048023438129e+00,1.504644738886578459e+00,5.537718590353790660e-05,3.657132904197592319e-05,1.383822706000630725e-05
3.733000000000000000e+03,3.902875731703662199e-01,1.000000000000000021e-03,0.000000000000000000e+00,9.689282779987848926e-01,9.689217022241791710e-01,1.033371074275610590e+00,9.689282779987848926e-01,1.033371074275610590e+00,6.575774605721562693e-06,6.786647427922223794e-06,1.643222937472972272e-06
3.733000000000000000e+03,3.902875731703662199e-01,2.999999999999999737e-04,0.000000000000000000e+00,9.689282779987848926e-01,9.689132396791441115e-01,1.033371074275610590e+00,9.689282779987847816e-01,1.033371074275610590e+00,1.503831964078106154e-05,1.552057049242185481e-05,3.757931689641628854e-06
3.733000000000000000e+03,3.902875731703662199e-01,1.000000000000000048e-04,0.000000000000000000e+00,9.689282779987848926e-01,9.688600403023883700e-01,1.033371074275610590e+00,9.689282779987848926e-01,1.033371074275610590e+00,6.823769639652255137e-05,7.042595199869698718e-05,1.705194515358218941e-05
6.473000000000000000e+03,9.988930523066321676e-01,1.000000000000000021e-03,0.000000000000000000e+00,2.682323131109580316e+00,2.682314374396810308e+00,2.619469621019874239e+00,2.682323131109568326e+00,2.619469621019863581e+00,8.756712770008334701e-06,3.264600252090432743e-06,2.188218444716787295e-06
6.473000000000000000e+03,9.988930523066321676e-01,2.999999999999999737e-04,0.000000000000000000e+00,2.682323131109580316e+00,2.682343244183964082e+00,2.619469621019874239e+00,2.682323131109578984e+00,2.619469621019873351e+00,2.011307438376519485e-05,7.498378607146090390e-06,5.026064175275425679e-06
6.473000000000000000e+03,9.988930523066321676e-01,1.000000000000000048e-04,0.000000000000000000e+00,2.682323131109580316e+00,2.682310041564051062e+00,2.619469621019874239e+00,2.682323131109580316e+00,2.619469621019873351e+00,1.308954552925456483e-05,4.879928662375547793e-06,3.270951750087805758e-06
8.362000000000000000e+03,2.157358332531733765e-03,1.000000000000000021e-03,0.000000000000000000e+00,4.190404518510641328e-05,3.474997356534004211e-05,4.382085499131122691e-05,4.190404518510641328e-05,4.382085499131122691e-05,7.154071619766371164e-06,1.707250836563406482e-01,1.787733808834610869e-06
8.362000000000000000e+03,2.157358332531733765e-03,2.999999999999999737e-04,0.000000000000000000e+00,4.190404518510641328e-05,5.935362423770130358e-05,4.382085499131122691e-05,4.190404518510641328e-05,4.382085499131122691e-05,1.744957905259489030e-05,4.164175314224040636e-01,4.360482265241124390e-06
8.362000000000000000e+03,2.157358332531733765e-03,1.000000000000000048e-04,0.000000000000000000e+00,4.190404518510641328e-05,7.155904313549399376e-05,4.382085499131122691e-05,4.190404518510641328e-05,4.382085499131122691e-05,2.965499795038758048e-05,7.076881914237624915e-01,7.410499258960490561e-06
1.437800000000000000e+04,2.157344172788882870e-03,1.000000000000000021e-03,0.000000000000000000e+00,9.210831110386285520e-06,5.780748324468731880e-06,9.635408725292141975e-06,9.210831110386285520e-06,9.635408725292141975e-06,3.430082785917553640e-06,3.723966648405631630e-01,8.571447546798078359e-07
1.437800000000000000e+04,2.157344172788882870e-03,2.999999999999999737e-04,0.000000000000000000e+00,9.210831110386285520e-06,4.432877176441252909e-05,9.635408725292141975e-06,9.210831110386285520e-06,9.635408725292141975e-06,3.511794065402624527e-05,3.812678816184857933e+00,8.775636188822556104e-06
1.437800000000000000e+04,2.157344172788882870e-03,1.000000000000000048e-04,0.000000000000000000e+00,9.210831110386285520e-06,8.998540579341351986e-05,9.635408725292141975e-06,9.210831110386285520e-06,9.635408725292141975e-06,8.077457468302723603e-05,8.769520764737993801e+00,2.018479066607384103e-05
1.440300000000000000e+04,9.998170263221067833e-01,1.000000000000000021e-03,-1.000000000000000000e+00,1.687875930198563168e+01,1.687881721227313392e+01,1.678265711905514834e+01,1.687875930198561036e+01,1.678265711905512703e+01,5.791028750223858879e-05,3.430956414872624698e-06,1.447122482825594826e-05
1.440300000000000000e+04,9.998170263221067833e-01,2.999999999999999737e-04,-1.000000000000000000e+00,1.687875930198563168e+01,1.687870941774842137e+01,1.678265711905514834e+01,1.687875930198562813e+01,1.678265711905514834e+01,4.988423721030699198e-05,2.955444551214055435e-06,1.246559192144398200e-05
1.440300000000000000e+04,9.998170263221067833e-01,1.000000000000000048e-04,0.000000000000000000e+00,1.687875930198563168e+01,1.687855932686943561e+01,1.678265711905514834e+01,1.687875930198563168e+01,1.678265711905514834e+01,1.999751161960716672e-04,1.184773789460617628e-05,4.997186150074102483e-05
1.465000000000000000e+04,7.167157307112490550e-01,1.000000000000000021e-03,0.000000000000000000e+00,-1.255893600177272251e+00,-1.255881334145669825e+00,1.550927887497092428e+00,-1.255893600177069080e+00,1.550927887497025592e+00,1.226603160242589752e-05,9.766776103241961370e-06,3.065163526641723104e-06
1.465000000000000000e+04,7.167157307112490550e-01,2.999999999999999737e-04,0.000000000000000000e+00,-1.255893600177272251e+00,-1.255907275966213543e+00,1.550927887497092428e+00,-1.255893600177254044e+00,1.550927887497086655e+00,1.367578894129195533e-05,1.088928945840761148e-05,3.417448350011420905e-06
1.465000000000000000e+04,7.167157307112490550e-01,1.000000000000000048e-04,0.000000000000000000e+00,-1.255893600177272251e+00,-1.255699608009308577e+00,1.550927887497092428e+00,-1.255893600177270031e+00,1.550927887497091540e+00,1.939921679636746887e-04,1.544654482961711598e-04,4.847678018201183737e-05
1.619000000000000000e+04,4.685416926465063026e-01,1.000000000000000021e-03,0.000000000000000000e+00,-2.981266065152619049e+00,-2.981245230330387130e+00,1.560817705724208304e+00,-2.981266065137216703e+00,1.560817705883384532e+00,2.083482223191879257e-05,6.988581956992222517e-06,5.206422032755185051e-06
1.619000000000000000e+04,4.685416926465063026e-01,2.999999999999999737e-04,0.000000000000000000e+00,-2.981266065152619049e+00,-2.981278697310093317e+00,1.560817705724208304e+00,-2.981266065151233491e+00,1.560817705738534178e+00,1.263215747426826852e-05,4.237178835503094634e-06,3.156654866702284502e-06
1.619000000000000000e+04,4.685416926465063026e-01,1.000000000000000048e-04,0.000000000000000000e+00,-2.981266065152619049e+00,-2.980971439683344215e+00,1.560817705724208304e+00,-2.981266065152465394e+00,1.560817705725800142e+00,2.946254692748340176e-04,9.882562067124705380e-05,7.362407596131729929e-05
2.042400000000000000e+04,2.157356624160386600e-03,1.000000000000000021e-03,0.000000000000000000e+00,3.913309364297560259e-05,3.207060217391699553e-05,3.955870701096970385e-05,3.913309364297560259e-05,3.955870701096970385e-05,7.062491469058607065e-06,1.804736301579449864e-01,1.764848808468373904e-06
2.042400000000000000e+04,2.157356624160386600e-03,2.999999999999999737e-04,0.000000000000000000e+00,3.913309364297560259e-05,2.829741182116170950e-05,3.955870701096970385e-05,3.913309364297560259e-05,3.955870701096970385e-05,1.083568182181389309e-05,2.768930542693984198e-01,2.707732849795528234e-06
2.042400000000000000e+04,2.157356624160386600e-03,1.000000000000000048e-04,0.000000000000000000e+00,3.913309364297560259e-05,5.322362994775176048e-05,3.955870701096970385e-05,3.913309364297560259e-05,3.955870701096970385e-05,1.409053630477615789e-05,3.600670172751704312e-01,3.521089733999961328e-06
