outer,omega1,omega2,gap12,volume,Mnd_pct,gray_frac,mid_frac,move,stage,moveDescent,maxAbs,rms,l2,r_rho,Neff,u_min,u_P50,u_P75,u_P90,u_P95,u_P975,u_P99,u_max,u_mean,u_RMS,nActive_1e4,nActive_epsRMS,nActive_1e3,nActive_1e2,beta,nInner,innerConv,multN,degen
353,166.232146015108,199.077632694495,0.197588056622949,0.499998850962733,16.9631432685632,0.2005,0.0414,0.04,1,0,0.0187142540433017,0.00143870607085631,0.203463763767351,0.467856351082541,118.203165370806,2.47138233308144e-09,5.11114543000176e-05,0.00326216708024037,0.0453133921433763,0.0701772890470798,0.100528805369022,0.16301888747507,0.467856351082541,0.0122050231822561,0.0359676517714079,5166,3184,3022,74,27638.6201727353,18,1,2,1
354,166.24284926287,199.156043735108,0.19798261770763,0.499998874852531,16.8979660121128,0.1991,0.0414,0.04,1,0,0.0190874975476508,0.00142391822979278,0.201372447228324,0.47718743869127,111.301779368348,1.23421848243727e-10,3.46916915832389e-05,0.00306672241172994,0.0442482225099922,0.0686807084271474,0.0959648668774746,0.157248294252357,0.47718743869127,0.0119386549207018,0.0355979557448196,5140,3134,2962,74,27642.0840624951,18,1,2,1
355,166.253616441988,199.234043558173,0.19837419372885,0.499998903808187,16.834150690609,0.1978,0.0413,0.04,1,0,0.019225296307969,0.00140500725969285,0.198698032189028,0.480632407699224,106.817165187498,3.82201158576106e-09,2.64985057015999e-05,0.00287922198749333,0.0437819248062703,0.0669947627297663,0.0915507799810927,0.155623965130047,0.480632407699224,0.0116826355160171,0.0351251814923211,5092,3112,2932,72,27645.4636460254,18,1,2,1
356,166.264391863447,199.311321052391,0.19876131514729,0.499998926565775,16.770829391795,0.1972,0.0412,0.04,1,0,0.0204588112520489,0.0013869848341886,0.196149276331531,0.511470281301222,91.9205531308644,1.87155610488098e-10,2.18511689723376e-05,0.00288778141954992,0.0426229550459472,0.0655845555934022,0.0890111196833844,0.151019946402107,0.511470281301222,0.011423322405613,0.034674620854715,5084,3082,2894,64,27648.8383410564,18,1,2,1
357,166.275313171796,199.388258182995,0.199145287292209,0.499998968021586,16.7092120183674,0.1958,0.0412,0.04,1,0,0.0174311027245072,0.00135078709864679,0.19103014347849,0.435777568112681,120.103061841368,3.63098266718075e-10,2.5756401582839e-05,0.00284574926491269,0.0419407093387709,0.0642016159277283,0.0866172811607334,0.146895439084822,0.435777568112681,0.0111375086191177,0.0337696774661698,5088,3052,2852,60,27652.2298466508,18,1,2,1
358,166.285894493949,199.463870737307,0.199523695887296,0.499998982064013,16.6487995992884,0.1957,0.0407,0.04,1,0,0.0210680283755279,0.00134593218212885,0.190343554600103,0.526700709388197,81.6260087606471,3.11037392616219e-09,2.74166969114065e-05,0.00281087753231765,0.0408004399275129,0.0631719104748675,0.0844930585865521,0.142459490587802,0.526700709388197,0.0109552559826511,0.0336483045532211,5082,3024,2814,54,27655.819527802,18,1,2,1
359,166.296141414802,199.538501133968,0.199898563107658,0.499999069554009,16.5916039440848,0.1947,0.0407,0.04,1,0,0.0193111796653147,0.00126666757513324,0.179133846377167,0.482779491632867,86.0473883769424,7.19796481770526e-09,5.30389601060449e-05,0.00255860081458737,0.0396310016201222,0.0614686241220732,0.0820831584268454,0.137474819505012,0.482779491632867,0.0104895225154331,0.031666689378331,5010,2940,2776,46,27658.7472893801,18,1,2,1
360,166.305410915678,199.610019520596,0.200261725830465,0.499999165190566,16.5379528918706,0.1942,0.0406,0.04,1,0,0.0172613273066069,0.00119201500590883,0.168576378790851,0.431533182665173,95.3773091426128,1.49563192597241e-09,6.38055266581095e-05,0.0024044287244073,0.0378463185869602,0.0600081987800793,0.0798892605424905,0.131616394917988,0.431533182665173,0.0100793960634222,0.0298003751477207,4974,2902,2696,32,27661.3322801949,18,1,2,1
361,166.313801606737,199.678444674655,0.200612593456385,0.499999234358255,16.4876477243446,0.1932,0.0404,0.04,1,0,0.0170767847890758,0.00113019122504271,0.159833175853047,0.426919619726896,87.6035382292602,1.11228020882724e-09,6.37005581814655e-05,0.00221008135578419,0.036423045317583,0.0582844854259511,0.0770796502951759,0.127518237475511,0.426919619726896,0.00968773388170467,0.0282547806260678,4934,2842,2636,24,27663.7349677262,18,1,2,1
362,166.32151328211,199.744139207207,0.200951910943757,0.499999278505246,16.4398880347252,0.1927,0.04,0.04,1,0,0.014542802044395,0.00108466801618546,0.15339522191618,0.363570051109874,111.257034269093,6.29286173966297e-09,5.20187826444228e-05,0.00207593518471576,0.0352759270663339,0.0571523987377069,0.0756349468335528,0.124323922418395,0.363570051109874,0.00938499456250918,0.0271167004046365,4882,2768,2580,18,27666.1034481101,18,1,2,1
363,166.328831838592,199.808185033051,0.201284123891087,0.499999330301819,16.3939558161795,0.1922,0.04,0.04,1,0,0.0149791723165263,0.00105454842462674,0.149135668428632,0.374479307913157,99.1259623225972,1.36430153687954e-09,4.15869237132851e-05,0.00206956773868839,0.0346708719879049,0.0564255374498707,0.0739403220486204,0.123033988665789,0.374479307913157,0.00917172320103348,0.0263637106156686,4872,2732,2548,14,27668.4340653471,18,1,2,1
364,166.335574522633,199.871336290143,0.201615089638851,0.499999371104099,16.3510794725373,0.1914,0.0399,0.04,1,0,0.0138704993458541,0.00101099458862706,0.142976225872219,0.346762483646351,106.253553984153,3.45491129629659e-09,5.27039655988919e-05,0.00205154433420185,0.0332050254272146,0.0547897392565461,0.0712170456446264,0.116831355342957,0.346762483646351,0.00884589609801504,0.0252748647156764,4852,2672,2484,10,27670.2998412071,18,1,2,1
365,166.342081718914,199.93242494052,0.201935330341525,0.499999398975841,16.3106157617858,0.191,0.0396,0.04,1,0,0.0147671602789305,0.000984608324487439,0.139244644611558,0.369179006973262,88.9125416008809,6.86687961165946e-09,4.85934922888666e-05,0.0019465415981819,0.0322358633551055,0.0535771562471948,0.0695676392317958,0.113062970612293,0.369179006973262,0.00859280676387109,0.024615208112186,4834,2602,2446,10,27672.2323946899,18,1,2,1
