outer,move,stage,omega1,omega2,omega3,lam1,beta,pred,act,nInner,vol,multJ,frac_lower_density,frac_lower_move,frac_upper_move,frac_upper_density,frac_interior,frac_any_bound,frac_pm_move,frac_density_limited,gray_n,gray_full_move_frac,max_abs_drho,norm2_drho,Mnd_percent,gray_fraction,mid_fraction,broad_core_fraction,exA,exB,exNA,exNB,exAmp,exCos,exNet,exMedcos,exMednet,exDecl,tEig,tGrad,tInner,tOuter,void_n,void_pm_move_frac,shell_n,shell_pm_move_frac,core_n,core_pm_move_frac,solid_n,solid_pm_move_frac,cos_prev,sum_norm,sum_norm_ratio,sign_reversal_frac,void_sign_reversal_frac,shell_sign_reversal_frac,core_sign_reversal_frac,solid_sign_reversal_frac,recurrence,eligible,r,model_err_abs,model_err_rel,sign_agree,cum_pred,cum_act_eligible,cum_act_all
1.0,0.04,1.0,68.21560761702113,251.35772414293928,385.3906171064377,4653.369122559392,5347.3779620352525,694.0088394758604,740.3011142577789,22.0,0.4998249156379783,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28800.0,0.0,0.03995887054120313,4.266404482791043,99.74719156651696,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.266404482791042,nan,nan,nan,nan,0.0,0.5068576666666667,0.012981541666666667,3.6348594166666666,4.1703810416666665,0.0,nan,0.0,nan,28800.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,1.0667027163758893,46.29227478191842,0.06670271637588933,1.0,694.0088394758604,740.3011142577789,740.3011142577789
2.0,0.04,1.0,73.44161107177028,264.0506470614842,398.262052464173,5393.670236817171,6144.874375040088,751.2041382229172,800.1879469655914,21.0,0.49980790148716675,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28800.0,0.0,0.039951952620699116,4.158636611896963,99.01769251766464,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.158636611896965,0.9928087985060228,nan,nan,nan,0.0,0.27764133333333335,0.008843041666666667,1.998936375,2.28963525,0.0,nan,0.0,nan,28800.0,0.0,0.0,nan,0.9928087985060229,8.409883395633036,0.9982008753566168,0.034305555555555554,nan,nan,0.034305555555555554,nan,2.0222693590428586,1.0,1.0652070539155343,48.98380874267423,0.06520705391553427,1.0,1445.2129776987776,1540.4890612233703,1540.4890612233703
3.0,0.04,1.0,78.70106850470813,275.9650241723749,409.00006781111193,6193.858183782762,7010.981425423545,817.1232416407829,868.8248127268171,21.0,0.49980929894195525,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28800.0,0.0,0.03994458321697113,4.1388560144185345,97.82663237823755,1.0,0.7411111111111112,1.0,0.0,0.0,0.0,0.0,4.138856014418536,0.9941277324636821,nan,nan,nan,0.0,0.320477625,0.008826583333333334,1.8061815833333332,2.1392870416666665,0.0,nan,0.0,nan,28800.0,0.0,0.0,nan,0.9941277324636836,8.285302466885735,0.9985308622762615,0.03208333333333333,nan,nan,0.03208333333333333,nan,2.0018339459073293,1.0,1.0632726722865176,51.701571086034164,0.06327267228651758,1.0,2262.3362193395606,2409.3138739501874,2409.3138739501874
4.0,0.04,1.0,84.03977032637333,286.9122419702306,418.8344618144451,7062.682996509579,7928.453699481465,865.7707029718858,918.3412108590746,20.0,0.49979191177019666,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28800.0,0.0,0.03993659804579423,4.011969459613921,96.24094613569366,1.0,0.6277777777777778,1.0,0.0,0.0,0.0,0.0,4.011969459613922,0.9944626233389705,nan,nan,nan,0.0,0.31433775,0.008771,1.5374085416666667,1.862892375,0.0,nan,7456.0,0.0,21344.0,0.0,0.0,nan,0.994462623338971,8.139536843624253,0.99861503225113,0.03138888888888889,nan,0.0,0.04235382308845577,nan,2.0288132613072127,1.0,1.0607210520138102,52.570507887188796,0.060721052013810076,1.0,3128.1069223114464,3327.655084809262,3327.655084809262
5.0,0.04,1.0,89.33657821614086,295.95822307102173,428.40688925522164,7981.024207368654,8904.280414233557,923.2562068649031,976.5224714843489,20.0,0.49979429980880075,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28800.0,0.0,0.03992799821343767,3.9712422231709823,94.26730854849119,1.0,0.5534722222222223,1.0,0.0,0.0,0.0,0.0,3.971242223170987,0.995288333539498,nan,nan,nan,0.0,0.2628681666666667,0.00930775,1.4517426666666666,1.72634925,0.0,nan,10720.0,0.0,18080.0,0.0,0.0,nan,0.9952883335394993,7.9738028252948165,0.9988214195158602,0.03305555555555555,nan,0.0,0.05265486725663717,nan,2.0078862928003027,1.0,1.0576939144555788,53.26626461944579,0.0576939144555787,1.0,4051.3631291763495,4304.177556293611,4304.177556293611
6.0,0.04,1.0,94.64431667486961,302.40041894133924,438.5187483510331,8957.546678853003,9908.474011414284,950.9273325612812,1002.8418126899451,19.0,0.4997836349918121,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28800.0,0.0,0.03991847970187829,3.8040670955514186,92.0168829197377,1.0,0.4934722222222222,1.0,0.0,0.0,0.0,0.0,3.8040670955514173,0.9948205062845928,nan,nan,nan,0.0,0.31394354166666666,0.00879525,1.2880313333333333,1.6131715,0.0,nan,12860.0,0.0,15940.0,0.0,0.0,nan,0.9948205062845935,7.765239410732618,0.9987048865097192,0.04986111111111111,nan,0.0,0.09008782936010037,nan,2.0412992767171496,1.0,1.054593530284627,51.914480128663854,0.054593530284626976,1.0,5002.290461737631,5307.019368983556,5307.019368983556
7.0,0.04,1.0,99.801745934342,304.78524111882854,448.93058502625973,9960.388491542948,10921.366354730499,960.9778631875506,1011.2846992104642,18.0,0.4997767253567375,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28800.0,0.0,0.03990775204611182,3.61091486203135,89.5773845821607,1.0,0.4488888888888889,1.0,0.0,0.0,0.0,0.0,3.6109148620313447,0.994547008584309,nan,nan,nan,0.0,0.31295629166666666,0.008682208333333333,1.1520375,1.4759874583333332,0.0,nan,14588.0,0.0,14212.0,0.0,0.0,nan,0.9945470085843071,7.404873468186281,0.9986367479443223,0.030694444444444444,nan,0.0013709898546750755,0.06079369546861807,nan,2.0506917917252165,1.0,1.052349630465,50.30683602291356,0.052349630464999956,1.0,5963.268324925181,6318.30406819402,6318.30406819402
8.0,0.04,1.0,104.74575500111406,301.8977054265604,459.5376806855865,10971.673190753412,11953.372410686949,981.6992199335364,1031.8430654064432,18.0,0.4997859059966495,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28800.0,0.0,0.03989587661503392,3.5155941680233305,86.94417943076454,1.0,0.42097222222222225,1.0,0.0,0.0,0.0,0.0,3.5155941680233345,0.9947426539654817,nan,nan,nan,0.0,0.2679011666666667,0.008947541666666666,1.13165125,1.4107876666666668,0.0,nan,15872.0,0.0,12928.0,0.0,0.0,nan,0.9947426539654812,7.11713791343814,0.998685034064081,0.030833333333333334,nan,0.019909274193548387,0.04424504950495049,nan,2.024448094200761,1.0,1.0510786241393792,50.14384547290683,0.05107862413937917,1.0,6944.967544858718,7350.147133600463,7350.147133600463
9.0,0.04,1.0,109.56055976563763,292.17412150740404,470.6767571691596,12003.516256159855,12965.080937383029,961.5646812231735,1012.6388388769465,17.0,0.49978165178868006,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28800.0,0.0,0.03988207359156427,3.2880392861041483,84.28621362344565,1.0,0.3948611111111111,1.0,0.0,0.0,0.0,0.0,3.28803928610415,0.9932133279688762,nan,nan,nan,0.0,0.26652,0.00929925,1.0029211666666666,1.281136625,0.0,nan,16676.0,0.0,12124.0,0.0,0.0,nan,0.9932133279688778,6.79209307249535,0.9983037913917706,0.021111111111111112,nan,0.014391940513312544,0.030353018805674696,nan,2.0656970557499017,1.0,1.0531156755766065,51.074157653773,0.05311567557660637,1.0,7906.532226081891,8362.78597247741,8362.78597247741
10.0,0.04,1.0,114.08836529215765,275.67673225053784,481.5676757312176,13016.155095036802,13950.210128800423,934.0550337636214,987.87956120942,16.0,0.49977873299090547,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28800.0,0.0,0.03986629823749057,3.063483842783582,81.67057696829548,1.0,0.3765277777777778,1.0,0.0,0.0,0.0,0.0,3.0634838427835773,0.9934516538382266,0.9603143001999337,nan,nan,0.0,0.31032125,0.010637375,0.92855725,1.2520100833333334,0.0,nan,17428.0,0.0,11372.0,0.0,0.0,nan,0.9934516538382254,6.341129628943307,0.9983636208617185,0.021111111111111112,nan,0.018820289189809502,0.024621878297572987,nan,2.069907972219481,1.0,1.0576245783173197,53.824527445798594,0.057624578317319805,1.0,8840.587259845513,9350.66553368683,9350.66553368683
