k,binary_differing_elements,cutoff_gap_double,cutoff_gap_single,single_cutoff_density,single_cutoff_tie_group_size,single_tie_straddles_cutoff,all_changed_inside_tie_group,difference_explained,hard_gate_double,hard_gate_single,topology_double,topology_single,max_detached_area_double,max_detached_area_single
173,2,2.27373675443232e-13,0,0.485000014305115,4,1,1,1,0,0,0,0,0.0347222222222222,0.0347222222222222
174,2,0,0,0.490000009536743,4,1,1,1,0,0,0,0,0.0347222222222222,0.0347222222222222
176,2,0,0,0.490000009536743,4,1,1,1,0,0,0,0,0.0347222222222222,0.0347222222222222
180,2,0,0,0.5,9,1,1,1,0,0,0,0,0.0347222222222222,0.0347222222222222
185,2,0,0,0.495000004768372,9,1,1,1,0,0,0,0,0.0347222222222222,0.0347222222222222
186,2,0,0,0.490000009536743,7,1,1,1,0,0,0,0,0.0347222222222222,0.0347222222222222
187,2,0,0,0.485000014305115,6,1,1,1,0,0,0,0,0.0347222222222222,0.0347222222222222
188,2,4.54747350886464e-13,0,0.479999989271164,9,1,1,1,0,0,0,0,0.0347222222222222,0.0347222222222222
190,2,0,0,0.479999989271164,5,1,1,1,0,0,0,0,0.0347222222222222,0.0347222222222222
191,2,1.36424205265939e-12,0,0.474999994039536,5,1,1,1,0,0,0,0,0.0347222222222222,0.0347222222222222
193,2,2.27373675443232e-13,0,0.474999994039536,4,1,1,1,0,0,0,0,0.0208333333333333,0.0208333333333333
223,2,0,0,0.444999992847443,5,1,1,1,1,1,1,1,0.00694444444444444,0.00694444444444444
227,2,4.44089209850063e-16,0,0.444999992847443,2,1,1,1,1,1,1,1,0.00694444444444444,0.00694444444444444
235,2,2.27429186594463e-13,0,0.444999992847443,3,1,1,1,1,1,1,1,0.00694444444444444,0.00694444444444444
247,2,1.02318153949454e-12,0,0.444999992847443,3,1,1,1,1,1,1,1,0.00694444444444444,0.00694444444444444
248,2,1.02318153949454e-12,0,0.447499990463257,2,1,1,1,1,1,1,1,0.00694444444444444,0.00694444444444444
250,2,0,0,0.447499990463257,3,1,1,1,1,1,1,1,0.00694444444444444,0.00694444444444444
251,2,0,0,0.449999988079071,3,1,1,1,1,1,1,1,0.00694444444444444,0.00694444444444444
283,2,4.54747350886464e-13,0,0.449999988079071,2,1,1,1,1,1,1,1,0.00694444444444444,0.00694444444444444
290,2,5.6843418860808e-13,0,0.452499985694885,2,1,1,1,1,1,1,1,0.00694444444444444,0.00694444444444444
291,2,5.6843418860808e-13,0,0.455000013113022,2,1,1,1,1,1,1,1,0.00694444444444444,0.00694444444444444
292,2,5.6843418860808e-13,0,0.457500010728836,2,1,1,1,1,1,1,1,0.00694444444444444,0.00694444444444444
348,2,7.7715611723761e-16,0,0.452499985694885,2,1,1,1,1,1,1,1,0,0
