evaluator,maximum_absolute_omega_error,maximum_relative_omega_error,p99_relative_omega_error,p95_relative_omega_error,median_relative_omega_error,rms_relative_omega_error,maximum_absolute_lambda_error,maximum_relative_lambda_error
E1,4.08874807078519e-06,5.5951113192111e-08,2.20098672912675e-08,8.29123964274311e-10,2.31021500833839e-10,3.85825258109135e-09,0.000766101311455714,1.11902223528386e-07
E2,4.08905101778601e-06,5.59553986328579e-08,2.20060131375622e-08,8.72045842206942e-10,2.19564984374778e-10,3.85201438982838e-09,0.000769814563682303,1.11910794133481e-07
E3,4.08852710620522e-06,5.59482294611605e-08,2.20130467865829e-08,8.72253192777304e-10,2.19484441654224e-10,3.85210525969321e-09,0.000769673577451613,1.11896455988542e-07
POOLED,4.08905101778601e-06,5.59553986328579e-08,2.20101799387535e-08,8.55465558239098e-10,2.22449219598041e-10,3.85412518265382e-09,0.000769814563682303,1.11910794133481e-07
