=== run "FINAL_lp_240x30" ===
              a: 8
              b: 1
              t: 1
              E: 10000000
             nu: 0.3000
           rhom: 1
           nelx: 240
           nely: 30
             bc: 'a'
        support: 'mid'
          axial: 'both'
       elemType: 'Q4'
       massType: 'consistent'
              p: 3
     massInterp: '4'
         rhomin: 1.0000e-03
           rho0: 0.5000
        volfrac: 0.5000
              n: 1
           Nmax: 4
         rminEl: 3
       rminPhys: 0.0600
        tolMult: 0.0500
           move: 0.0050
        offDiag: 0
    innerSolver: 'lp'
     filterMode: 'diag'
       maxInner: 300
       tolInner: 0.0100
       minInner: 5
       maxOuter: 1600
       tolOuter: 1.0000e-03
         solver: 'eigs'
        threads: 1
        verbose: 1
           name: 'FINAL_lp_240x30'

  it    omega1    omega2    omega3    N sqrt(beta)  inner  cumIn  maxdrho       vol    conv
  76    124.90    194.60    435.43    1    125.71      1     76   0.0050     0.500     yes
  77    125.78    190.05    433.58    1    126.60      1     77   0.0050     0.500     yes
  78    126.67    185.68    431.95    1    127.51      1     78   0.0050     0.500     yes
  79    127.57    181.53    430.62    1    128.42      1     79   0.0050     0.500     yes
  80    128.49    177.60    429.52    1    129.36      1     80   0.0050     0.500     yes
  81    133.11    176.54    439.08    1    133.84      1     81   0.0050     0.500     yes
  82    133.89    172.87    437.53    1    134.63      1     82   0.0050     0.500     yes
  83    134.76    169.63    436.42    1    135.50      1     83   0.0050     0.500     yes
  84    135.56    166.53    435.57    1    136.32      1     84   0.0050     0.500     yes
  85    136.43    163.81    435.04    1    137.19      1     85   0.0050     0.500     yes
  86    137.24    161.32    434.81    1    138.02      1     86   0.0050     0.500     yes
  87    138.11    159.22    419.09    1    138.89      1     87   0.0050     0.500     yes
  88    138.95    157.36    399.01    1    139.74      1     88   0.0050     0.500     yes
  89    139.83    155.85    380.94    1    140.63      1     89   0.0050     0.500     yes
  90    140.68    154.56    365.23    1    141.49      1     90   0.0050     0.500     yes
  91    141.57    153.59    351.55    1    142.39      1     91   0.0050     0.500     yes
  92    142.44    152.83    340.28    1    143.26      1     92   0.0050     0.500     yes
  93    143.34    152.36    330.98    1    144.18      1     93   0.0050     0.500     yes
  94    144.22    152.05    323.83    1    145.06      1     94   0.0050     0.500     yes
  95    145.14    151.99    318.51    2    145.99      1     95   0.0050     0.500     yes
  96    146.03    151.99    314.84    2    146.89      1     96   0.0050     0.500     yes
  97    146.98    152.22    312.54    2    147.86      1     97   0.0050     0.500     yes
  98    147.89    152.49    311.72    2    148.78      1     98   0.0050     0.500     yes
  99    148.83    152.91    311.62    2    149.77      1     99   0.0050     0.500     yes
 100    149.74    153.33    312.24    2    150.71      1    100   0.0050     0.500     yes
 101    150.70    153.88    312.92    2    150.99      1    101   0.0050     0.500     yes
 102    151.02    153.82    313.40    2    151.30      1    102   0.0050     0.500     yes
 103    151.46    153.99    313.61    2    151.73      1    103   0.0050     0.500     yes
 104    151.76    154.00    313.87    2    152.02      1    104   0.0050     0.500     yes
 105    152.27    154.28    314.24    2    152.53      1    105   0.0050     0.500     yes
 106    152.55    154.30    314.35    2    152.81      1    106   0.0050     0.500     yes
 107    153.09    154.55    315.09    2    153.33      1    107   0.0050     0.500     yes
 108    153.35    154.55    314.98    2    153.59      1    108   0.0050     0.500     yes
 109    153.99    154.73    316.68    2    154.23      1    109   0.0050     0.500     yes
 110    154.24    154.72    316.29    2    154.47      1    110   0.0050     0.500     yes
 111    154.52    154.77    316.09    2    154.75      1    111   0.0050     0.500     yes
 112    154.76    154.78    315.87    2    155.00      1    112   0.0050     0.500     yes
