=== run "FINAL_lp_240x30" ===
              a: 8
              b: 1
              t: 1
              E: 10000000
             nu: 0.3000
           rhom: 1
           nelx: 240
           nely: 30
             bc: 'a'
        support: 'mid'
          axial: 'both'
       elemType: 'Q4'
       massType: 'consistent'
              p: 3
     massInterp: '4'
         rhomin: 1.0000e-03
           rho0: 0.5000
        volfrac: 0.5000
              n: 1
           Nmax: 4
         rminEl: 3
       rminPhys: 0.0600
        tolMult: 0.0500
           move: 0.0050
        offDiag: 0
    innerSolver: 'lp'
     filterMode: 'diag'
       maxInner: 300
       tolInner: 0.0100
       minInner: 5
       maxOuter: 1600
       tolOuter: 1.0000e-03
         solver: 'eigs'
        threads: 1
        verbose: 1
           name: 'FINAL_lp_240x30'

  it    omega1    omega2    omega3    N sqrt(beta)  inner  cumIn  maxdrho       vol    conv
 334    167.15    172.56    188.12    2    167.19      1    334   0.0050     0.500     yes
 335    167.24    172.67    263.85    2    167.27      1    335   0.0050     0.500     yes
 336    167.15    172.61    175.93    2    167.24      1    336   0.0050     0.500     yes
 337    167.25    172.73    270.70    2    167.31      1    337   0.0050     0.500     yes
 338    126.04    167.21    172.70    1    167.30      1    338   0.0050     0.500     yes
 339    167.20    172.68    249.29    2    167.31      1    339   0.0050     0.500     yes
 340    167.18    172.61    251.51    2    167.24      1    340   0.0050     0.500     yes
 341    167.23    172.60    238.61    2    167.27      1    341   0.0050     0.500     yes
 342    167.18    172.50    259.04    2    167.21      1    342   0.0050     0.500     yes
 343    167.24    172.54    240.45    2    167.26      1    343   0.0050     0.500     yes
 344    167.18    172.44    224.99    2    167.21      1    344   0.0050     0.500     yes
 345    167.26    172.49    269.51    2    167.28      1    345   0.0050     0.500     yes
 346    167.19    172.41    269.35    2    167.21      1    346   0.0050     0.500     yes
 347    167.25    172.43    269.48    2    167.27      1    347   0.0050     0.500     yes
 348    167.19    172.34    269.26    2    167.21      1    348   0.0050     0.500     yes
 349    167.24    172.37    269.40    2    167.26      1    349   0.0050     0.500     yes
 350    167.18    172.28    269.31    2    167.20      1    350   0.0050     0.500     yes
 351    167.25    172.32    269.38    2    167.26      1    351   0.0050     0.500     yes
 352    167.19    172.22    269.12    2    167.20      1    352   0.0050     0.500     yes
 353    167.24    172.26    269.25    2    167.26      1    353   0.0050     0.500     yes
 354    167.19    172.17    269.12    2    167.21      1    354   0.0050     0.500     yes
 355    167.24    172.19    269.23    2    167.26      1    355   0.0050     0.500     yes
 356    167.18    172.11    269.08    2    167.20      1    356   0.0050     0.500     yes
 357    167.24    172.13    269.22    2    167.26      1    357   0.0050     0.500     yes
 358    167.18    172.07    269.01    2    167.20      1    358   0.0050     0.500     yes
 359    167.23    172.08    269.13    2    167.25      1    359   0.0050     0.500     yes
 360    167.18    171.99    269.01    2    167.20      1    360   0.0050     0.500     yes
 361    167.24    172.02    269.11    2    167.25      1    361   0.0050     0.500     yes
 362    167.18    171.95    269.03    2    167.20      1    362   0.0050     0.500     yes
 363    167.23    171.97    268.94    2    167.25      1    363   0.0050     0.500     yes
 364    167.17    171.88    268.91    2    167.20      1    364   0.0050     0.500     yes
 365    167.22    171.89    268.85    2    167.24      1    365   0.0050     0.500     yes
 366    167.15    171.75    268.67    2    167.17      1    366   0.0050     0.500     yes
 367    167.23    171.76    268.70    2    167.25      1    367   0.0050     0.500     yes
 368    167.15    171.66    268.65    2    167.17      1    368   0.0050     0.500     yes
 369    167.22    171.67    268.64    2    167.24      1    369   0.0050     0.500     yes
 370    167.15    171.56    268.46    2    167.18      1    370   0.0050     0.500     yes
 371    167.22    171.57    268.23    2    167.23      1    371   0.0050     0.500     yes
 372    167.15    171.49    268.28    2    167.18      1    372   0.0050     0.500     yes
 373    167.22    171.49    268.18    2    167.25      1    373   0.0050     0.500     yes
 374    167.15    171.46    268.16    2    167.19      1    374   0.0050     0.500     yes
 375    167.22    171.43    267.87    2    167.25      1    375   0.0050     0.500     yes
 376    167.15    171.40    267.86    2    167.19      1    376   0.0050     0.500     yes
 377    167.21    171.37    267.71    2    167.25      1    377   0.0050     0.500     yes
 378    167.16    171.35    267.74    2    167.20      1    378   0.0050     0.500     yes
 379    167.20    171.32    267.52    2    167.25      1    379   0.0050     0.500     yes
 380    167.15    171.30    267.53    2    167.20      1    380   0.0050     0.500     yes
 381    167.20    171.26    267.39    2    167.24      1    381   0.0050     0.500     yes
 382    167.15    171.23    267.35    2    167.20      1    382   0.0050     0.500     yes
 383    167.20    171.20    267.14    2    167.24      1    383   0.0050     0.500     yes
 384    167.14    171.16    267.03    2    167.19      1    384   0.0050     0.500     yes
 385    167.19    171.12    267.00    2    167.23      1    385   0.0050     0.500     yes
 386    167.14    171.07    266.87    2    167.19      1    386   0.0050     0.500     yes
 387    167.19    171.04    266.69    2    167.23      1    387   0.0050     0.500     yes
 388    167.14    170.99    266.53    2    167.19      1    388   0.0050     0.500     yes
 389    167.19    170.94    266.35    2    167.23      1    389   0.0050     0.500     yes
 390    167.13    170.89    266.15    2    167.18      1    390   0.0050     0.500     yes
 391    167.19    170.85    265.92    2    167.23      1    391   0.0050     0.500     yes
 392    167.13    170.79    265.70    2    167.18      1    392   0.0050     0.500     yes
 393    167.18    170.74    265.61    2    167.22      1    393   0.0050     0.500     yes
 394    167.12    170.64    265.35    2    167.18      1    394   0.0050     0.500     yes
 395    167.17    170.60    265.15    2    167.21      1    395   0.0050     0.500     yes
 396    167.12    170.54    264.94    2    167.17      1    396   0.0050     0.500     yes
 397    167.17    170.50    264.86    2    167.21      1    397   0.0050     0.500     yes
 398    167.12    170.43    264.67    2    167.18      1    398   0.0050     0.500     yes
 399    167.16    170.39    264.46    2    167.21      1    399   0.0050     0.500     yes
 400    167.11    170.31    264.23    2    167.18      1    400   0.0050     0.500     yes
 401    167.17    170.26    264.05    2    167.22      1    401   0.0050     0.500     yes
 402    167.11    170.18    263.78    2    167.18      1    402   0.0050     0.500     yes
 403    167.16    170.14    263.62    2    167.22      1    403   0.0050     0.500     yes
 404    167.10    170.07    263.39    2    167.18      1    404   0.0050     0.500     yes
 405    167.16    170.03    263.09    2    167.22      1    405   0.0050     0.500     yes
 406    167.11    169.96    262.86    2    167.18      1    406   0.0050     0.500     yes
 407    167.16    169.92    262.76    2    167.22      1    407   0.0050     0.500     yes
 408    167.11    169.85    262.49    2    167.19      1    408   0.0050     0.500     yes
 409    167.16    169.81    262.32    2    167.23      1    409   0.0050     0.500     yes
 410    167.11    169.73    262.03    2    167.19      1    410   0.0050     0.500     yes
 411    167.16    169.70    261.99    2    167.24      1    411   0.0050     0.500     yes
 412    167.11    169.63    261.74    2    167.18      1    412   0.0050     0.500     yes
 413    167.16    169.61    261.65    2    167.23      1    413   0.0050     0.500     yes
 414    167.11    169.54    261.46    2    167.19      1    414   0.0050     0.500     yes
 415    167.16    169.49    261.34    2    167.23      1    415   0.0050     0.500     yes
 416    167.10    169.44    261.04    2    167.17      1    416   0.0050     0.500     yes
 417    167.17    169.45    261.10    2    167.22      1    417   0.0050     0.500     yes
 418    167.11    169.36    260.91    2    167.18      1    418   0.0050     0.500     yes
 419    167.16    169.35    260.84    2    167.22      1    419   0.0050     0.500     yes
 420    167.11    169.29    260.69    2    167.18      1    420   0.0050     0.500     yes
 421    167.18    169.28    260.66    2    167.23      1    421   0.0050     0.500     yes
 422    167.12    169.21    260.56    2    167.19      1    422   0.0050     0.500     yes
 423    167.17    169.20    260.43    2    167.22      1    423   0.0050     0.500     yes
 424    167.11    169.11    260.21    2    167.19      1    424   0.0050     0.500     yes
 425    167.17    169.11    260.27    2    167.23      1    425   0.0050     0.500     yes
 426    167.11    169.03    260.12    2    167.19      1    426   0.0050     0.500     yes
 427    167.17    169.03    260.15    2    167.22      1    427   0.0050     0.500     yes
 428    167.12    168.96    259.98    2    167.17      1    428   0.0050     0.500     yes
 429    167.17    168.97    260.10    2    167.22      1    429   0.0050     0.500     yes
 430    167.11    168.87    260.07    2    167.16      1    430   0.0050     0.500     yes
 431    167.16    168.88    260.13    2    167.20      1    431   0.0050     0.500     yes
 432    167.09    168.79    260.09    2    167.13      1    432   0.0050     0.500     yes
 433    167.15    168.80    260.22    2    167.21      1    433   0.0050     0.500     yes
 434    167.09    168.72    260.13    2    167.13      1    434   0.0050     0.500     yes
 435    167.16    168.73    260.31    2    167.19      1    435   0.0050     0.500     yes
 436    167.10    168.65    260.27    2    167.12      1    436   0.0050     0.500     yes
 437    167.17    168.65    260.42    2    167.19      1    437   0.0050     0.500     yes
 438    167.09    168.56    260.44    2    167.12      1    438   0.0050     0.500     yes
 439    167.15    168.56    260.68    2    167.21      1    439   0.0050     0.500     yes
 440    167.10    168.49    260.59    2    167.26      1    440   0.0050     0.500     yes
 441    167.15    168.50    260.66    2    167.23      1    441   0.0050     0.500     yes
 442    167.11    168.47    260.62    2    167.29      1    442   0.0050     0.500     yes
 443    167.16    168.49    260.69    2    167.25      1    443   0.0050     0.500     yes
 444    167.12    168.46    260.67    2    167.28      1    444   0.0050     0.500     yes
 445    167.16    168.48    260.72    2    167.25      1    445   0.0050     0.500     yes
 446    167.13    168.44    260.67    2    167.31      1    446   0.0050     0.500     yes
 447    167.16    168.46    260.69    2    167.25      1    447   0.0050     0.500     yes
 448    167.14    168.45    260.69    2    167.32      1    448   0.0050     0.500     yes
 449    167.17    168.48    260.72    2    167.26      1    449   0.0050     0.500     yes
 450    167.14    168.45    260.79    2    167.32      1    450   0.0050     0.500     yes
 451    167.18    168.47    260.81    2    167.26      1    451   0.0050     0.500     yes
 452    167.15    168.44    260.81    2    167.30      1    452   0.0050     0.500     yes
 453    167.18    168.46    260.83    2    167.27      1    453   0.0050     0.500     yes
 454    167.15    168.44    260.81    2    167.29      1    454   0.0050     0.500     yes
 455    167.18    168.46    260.88    2    167.28      1    455   0.0050     0.500     yes
 456    167.16    168.42    260.87    2    167.31      1    456   0.0050     0.500     yes
 457    167.19    168.41    260.91    2    167.29      1    457   0.0050     0.500     yes
 458    167.16    168.39    260.87    2    167.32      1    458   0.0050     0.500     yes
 459    167.19    168.38    260.94    2    167.30      1    459   0.0050     0.500     yes
 460    167.17    168.36    260.93    2    167.33      1    460   0.0050     0.500     yes
 461    167.20    168.36    261.03    2    167.31      1    461   0.0050     0.500     yes
 462    167.18    168.33    261.07    2    167.36      1    462   0.0050     0.500     yes
 463    167.21    168.35    261.11    2    167.33      1    463   0.0050     0.500     yes
 464    167.18    168.31    261.10    2    167.37      1    464   0.0050     0.500     yes
 465    167.21    168.31    261.18    2    167.32      1    465   0.0050     0.500     yes
 466    167.19    168.27    261.20    2    167.39      1    466   0.0050     0.500     yes
 467    167.22    168.30    261.24    2    167.35      1    467   0.0050     0.500     yes
 468    167.19    168.27    261.25    2    167.44      1    468   0.0050     0.500     yes
 469    167.22    168.28    261.27    2    167.37      1    469   0.0050     0.500     yes
 470    167.20    168.25    261.26    2    167.46      1    470   0.0050     0.500     yes
 471    167.23    168.28    261.28    2    167.38      1    471   0.0050     0.500     yes
 472    167.20    168.26    261.26    2    167.47      1    472   0.0050     0.500     yes
 473    167.24    168.26    261.30    2    167.39      1    473   0.0050     0.500     yes
 474    167.21    168.23    261.32    2    167.44      1    474   0.0050     0.500     yes
 475    167.24    168.24    261.39    2    167.39      1    475   0.0050     0.500     yes
 476    167.22    168.20    261.31    2    167.48      1    476   0.0050     0.500     yes
 477    167.25    168.21    261.39    2    167.41      1    477   0.0050     0.500     yes
 478    167.22    168.18    261.40    2    167.51      1    478   0.0050     0.500     yes
 479    167.26    168.20    261.45    2    167.41      1    479   0.0050     0.500     yes
 480    167.23    168.17    261.38    2    167.57      1    480   0.0050     0.500     yes
 481    167.26    168.17    261.43    2    167.43      1    481   0.0050     0.500     yes
 482    167.24    168.14    261.35    2    167.59      1    482   0.0050     0.500     yes
 483    167.27    168.17    261.41    2    167.43      1    483   0.0050     0.500     yes
 484    167.24    168.16    261.40    2    167.62      1    484   0.0050     0.500     yes
 485    167.28    168.16    261.40    2    167.47      1    485   0.0050     0.500     yes
 486    167.25    168.14    261.38    2    167.64      1    486   0.0050     0.500     yes
 487    167.28    168.15    261.43    2    167.48      1    487   0.0050     0.500     yes
 488    167.25    168.13    261.43    2    167.64      1    488   0.0050     0.500     yes
 489    167.28    168.14    261.46    2    167.49      1    489   0.0050     0.500     yes
 490    167.26    168.12    261.45    2    167.65      1    490   0.0050     0.500     yes
 491    167.29    168.12    261.50    2    167.50      1    491   0.0050     0.500     yes
 492    167.26    168.10    261.44    2    167.69      1    492   0.0050     0.500     yes
 493    167.29    168.09    261.49    2    167.53      1    493   0.0050     0.500     yes
 494    167.27    168.07    261.48    2    167.69      1    494   0.0050     0.500     yes
 495    167.30    168.08    261.54    2    167.54      1    495   0.0050     0.500     yes
 496    167.27    168.06    261.48    2    167.71      1    496   0.0050     0.500     yes
 497    167.30    168.04    261.53    2    167.58      1    497   0.0050     0.500     yes
 498    167.28    168.01    257.34    2    167.75      1    498   0.0050     0.500     yes
 499    167.31    168.00    261.49    2    167.59      1    499   0.0050     0.500     yes
 500    167.28    167.98    261.41    2    167.78      1    500   0.0050     0.500     yes
 501    167.31    167.96    261.44    2    167.66      1    501   0.0050     0.500     yes
 502    167.29    167.93    261.39    2    167.79      1    502   0.0050     0.500     yes
 503    167.32    167.92    261.51    2    167.70      1    503   0.0050     0.500     yes
 504    167.29    167.88    252.82    2    167.86      1    504   0.0050     0.500     yes
 505    167.32    167.85    245.24    2    167.80      1    505   0.0050     0.500     yes
 506    167.29    167.79    219.81    2    167.99      1    506   0.0050     0.500     yes
 507    167.32    167.74    261.45    2    168.08      1    507   0.0050     0.500     yes
 508    167.29    167.64    219.18    2    168.35      1    508   0.0050     0.500     yes
 509    167.33    167.58    261.41    2    168.92      1    509   0.0050     0.500     yes
 510    167.31    167.66    240.27    2    167.51      1    510   0.0050     0.500     yes
 511    167.32    167.72    261.53    2    168.28      1    511   0.0050     0.500     yes
 512    167.30    167.53    226.98    2    168.60      1    512   0.0050     0.500     yes
 513    167.31    167.46    261.39    2    169.91      1    513   0.0050     0.500     yes
 514    167.25    167.57    240.60    2    167.80      1    514   0.0050     0.500     yes
 515    167.26    167.67    184.74    2    167.74      1    515   0.0050     0.500     yes
 516    167.24    167.80    228.10    2    167.50      1    516   0.0050     0.500     yes
 517    167.27    167.79    261.49    2    167.49      1    517   0.0050     0.500     yes
 518    167.22    167.77    261.36    2    167.39      1    518   0.0050     0.500     yes
 519    167.27    167.72    261.47    2    167.40      1    519   0.0050     0.500     yes
 520    167.24    167.82    261.45    2    167.32      1    520   0.0050     0.500     yes
 521    167.27    167.68    261.33    2    167.33      1    521   0.0050     0.500     yes
 522    167.24    167.62    261.13    2    167.29      1    522   0.0050     0.500     yes
 523    167.30    167.59    261.20    2    167.57      1    523   0.0050     0.500     yes
 524    167.25    167.57    261.05    2    167.42      1    524   0.0050     0.500     yes
 525    167.28    167.77    261.39    2    167.34      1    525   0.0050     0.500     yes
 526    167.22    167.72    261.00    2    167.28      1    526   0.0050     0.500     yes
 527    167.29    167.73    261.15    2    167.34      1    527   0.0050     0.500     yes
 528    167.23    167.61    260.86    2    167.30      1    528   0.0050     0.500     yes
 529    167.30    167.64    261.09    2    167.36      1    529   0.0050     0.500     yes
 530    167.24    167.56    260.86    2    167.37      1    530   0.0050     0.500     yes
 531    167.29    167.39    260.89    2    171.81      1    531   0.0050     0.500     yes
 532    167.25    167.48    260.75    2    167.53      1    532   0.0050     0.500     yes
 533    167.27    167.43    260.76    2    167.35      1    533   0.0050     0.500     yes
 534    167.23    167.63    260.87    2    167.33      1    534   0.0050     0.500     yes
 535    167.24    167.87    261.31    2    167.28      1    535   0.0050     0.500     yes
 536    167.20    167.73    261.04    2    167.26      1    536   0.0050     0.500     yes
 537    167.25    167.77    261.13    2    167.32      1    537   0.0050     0.500     yes
 538    167.20    167.70    260.92    2    167.34      1    538   0.0050     0.500     yes
 539    167.26    167.68    261.00    2    167.39      1    539   0.0050     0.500     yes
 540    167.20    167.68    260.89    2    167.43      1    540   0.0050     0.500     yes
 541    167.25    167.76    261.05    2    167.32      1    541   0.0050     0.500     yes
 542    167.20    167.72    260.83    2    167.30      1    542   0.0050     0.500     yes
 543    167.25    167.60    260.78    2    167.81      1    543   0.0050     0.500     yes
 544    167.21    167.60    260.67    2    167.49      1    544   0.0050     0.500     yes
 545    167.25    167.79    260.97    2    167.30      1    545   0.0050     0.500     yes
 546    167.19    167.85    260.59    2    167.27      1    546   0.0050     0.500     yes
 547    167.25    167.75    260.61    2    167.31      1    547   0.0050     0.500     yes
 548    167.20    167.65    260.37    2    167.37      1    548   0.0050     0.500     yes
 549    167.25    167.52    260.37    2    168.08      1    549   0.0050     0.500     yes
 550    167.20    167.50    260.26    2    167.52      1    550   0.0050     0.500     yes
 551    167.24    167.71    260.55    2    167.30      1    551   0.0050     0.500     yes
 552    167.18    167.84    260.23    2    167.22      1    552   0.0050     0.500     yes
 553    167.24    167.75    260.29    2    167.35      1    553   0.0050     0.500     yes
 554    167.18    167.73    260.16    2    167.28      1    554   0.0050     0.500     yes
 555    167.24    167.81    260.35    2    167.31      1    555   0.0050     0.500     yes
 556    167.19    167.71    260.12    2    167.27      1    556   0.0050     0.500     yes
 557    167.25    167.62    260.10    2    167.49      1    557   0.0050     0.500     yes
 558    167.20    167.68    260.06    2    167.35      1    558   0.0050     0.500     yes
 559    167.25    167.83    260.29    2    167.30      1    559   0.0050     0.500     yes
 560    167.21    167.80    260.00    2    167.27      1    560   0.0050     0.500     yes
 561    167.28    167.71    260.10    2    167.96      1    561   0.0050     0.500     yes
 562    167.22    167.69    259.99    2    167.37      1    562   0.0050     0.500     yes
 563    167.26    167.92    260.32    2    167.33      1    563   0.0050     0.500     yes
 564    167.19    167.79    260.00    2    167.35      1    564   0.0050     0.500     yes
 565    167.26    167.69    260.04    2    167.89      1    565   0.0050     0.500     yes
 566    167.19    167.69    259.94    2    167.43      1    566   0.0050     0.500     yes
 567    167.26    167.90    260.24    2    167.34      1    567   0.0050     0.500     yes
 568    167.18    167.79    259.93    2    167.38      1    568   0.0050     0.500     yes
 569    167.26    167.69    259.98    2    167.76      1    569   0.0050     0.500     yes
 570    167.19    167.70    259.86    2    167.44      1    570   0.0050     0.500     yes
 571    167.25    167.90    260.16    2    167.32      1    571   0.0050     0.500     yes
 572    167.19    167.84    259.86    2    167.32      1    572   0.0050     0.500     yes
 573    167.26    167.74    259.88    2    167.84      1    573   0.0050     0.500     yes
 574    167.20    167.76    259.79    2    167.40      1    574   0.0050     0.500     yes
 575    167.24    167.96    260.09    2    167.29      1    575   0.0050     0.500     yes
 576    167.20    167.87    259.72    2    167.27      1    576   0.0050     0.500     yes
 577    167.27    167.81    259.67    2    167.54      1    577   0.0050     0.500     yes
 578    167.21    167.85    259.56    2    167.39      1    578   0.0050     0.500     yes
 579    167.26    168.02    259.74    2    167.34      1    579   0.0050     0.500     yes
 580    167.20    167.92    259.50    2    167.36      1    580   0.0050     0.500     yes
 581    167.26    167.82    259.52    2    167.62      1    581   0.0050     0.500     yes
 582    167.20    167.87    259.44    2    167.42      1    582   0.0050     0.500     yes
 583    167.26    168.05    259.72    2    167.37      1    583   0.0050     0.500     yes
 584    167.19    168.00    259.51    2    167.38      1    584   0.0050     0.500     yes
 585    167.25    167.91    259.54    2    167.48      1    585   0.0050     0.500     yes
 586    167.19    167.96    259.42    2    167.41      1    586   0.0050     0.500     yes
 587    167.26    168.09    259.63    2    167.36      1    587   0.0050     0.500     yes
 588    167.18    168.01    259.35    2    167.36      1    588   0.0050     0.500     yes
 589    167.25    167.93    259.34    2    167.42      1    589   0.0050     0.500     yes
 590    167.18    167.98    259.27    2    167.38      1    590   0.0050     0.500     yes
 591    167.25    168.04    259.43    2    167.36      1    591   0.0050     0.500     yes
 592    167.18    168.01    259.14    2    167.35      1    592   0.0050     0.500     yes
 593    167.26    167.94    259.14    2    167.48      1    593   0.0050     0.500     yes
 594    167.18    167.99    259.12    2    167.38      1    594   0.0050     0.500     yes
 595    167.27    168.13    259.30    2    167.34      1    595   0.0050     0.500     yes
 596    167.18    168.02    258.85    2    167.31      1    596   0.0050     0.500     yes
 597    167.27    167.95    258.94    2    167.48      1    597   0.0050     0.500     yes
 598    167.19    167.97    258.84    2    167.37      1    598   0.0050     0.500     yes
 599    167.26    168.13    259.04    2    167.33      1    599   0.0050     0.500     yes
 600    167.19    168.06    258.63    2    167.32      1    600   0.0050     0.500     yes
 601    167.27    168.00    258.69    2    167.37      1    601   0.0050     0.500     yes
 602    167.19    168.00    258.50    2    167.34      1    602   0.0050     0.500     yes
 603    167.28    167.96    258.50    2    167.46      1    603   0.0050     0.500     yes
 604    167.20    167.97    258.41    2    167.36      1    604   0.0050     0.500     yes
 605    167.29    168.08    258.60    2    167.39      1    605   0.0050     0.500     yes
 606    167.20    168.03    258.33    2    167.33      1    606   0.0050     0.500     yes
 607    167.30    168.01    258.41    2    167.42      1    607   0.0050     0.500     yes
 608    167.21    168.02    258.28    2    167.37      1    608   0.0050     0.500     yes
 609    167.29    167.99    258.30    2    167.52      1    609   0.0050     0.500     yes
 610    167.22    168.01    258.24    2    167.39      1    610   0.0050     0.500     yes
 611    167.30    168.15    258.41    2    167.40      1    611   0.0050     0.500     yes
 612    167.21    168.07    258.10    2    167.36      1    612   0.0050     0.500     yes
 613    167.29    168.03    258.07    2    167.51      1    613   0.0050     0.500     yes
 614    167.22    168.04    258.01    2    167.39      1    614   0.0050     0.500     yes
 615    167.30    168.16    258.17    2    167.44      1    615   0.0050     0.500     yes
 616    167.22    168.12    257.93    2    167.41      1    616   0.0050     0.500     yes
 617    167.29    168.05    257.88    2    167.50      1    617   0.0050     0.500     yes
 618    167.22    168.09    257.85    2    167.40      1    618   0.0050     0.500     yes
 619    167.30    168.15    257.93    2    167.51      1    619   0.0050     0.500     yes
 620    167.22    168.10    257.78    2    167.40      1    620   0.0050     0.500     yes
 621    167.30    168.18    257.86    2    167.42      1    621   0.0050     0.500     yes
 622    167.21    168.13    257.57    2    167.37      1    622   0.0050     0.500     yes
 623    167.31    168.09    257.57    2    167.40      1    623   0.0050     0.500     yes
 624    167.22    168.07    257.28    2    167.38      1    624   0.0050     0.500     yes
 625    167.31    168.03    257.27    2    167.45      1    625   0.0050     0.500     yes
 626    167.22    168.04    257.01    2    167.39      1    626   0.0050     0.500     yes
 627    167.31    168.00    257.04    2    167.51      1    627   0.0050     0.500     yes
 628    167.23    168.04    256.97    2    167.40      1    628   0.0050     0.500     yes
 629    167.32    168.11    257.09    2    167.40      1    629   0.0050     0.500     yes
 630    167.22    168.06    256.59    2    167.33      1    630   0.0050     0.500     yes
 631    167.32    168.01    256.66    2    167.48      1    631   0.0050     0.500     yes
 632    167.23    168.01    256.31    2    167.41      1    632   0.0050     0.500     yes
 633    167.31    168.05    256.36    2    167.51      1    633   0.0050     0.500     yes
 634    167.23    168.04    256.13    2    167.41      1    634   0.0050     0.500     yes
 635    167.32    168.08    256.21    2    167.48      1    635   0.0050     0.500     yes
 636    167.23    168.05    255.92    2    167.40      1    636   0.0050     0.500     yes
 637    167.31    168.04    255.89    2    167.57      1    637   0.0050     0.500     yes
 638    167.24    168.05    255.76    2    167.42      1    638   0.0050     0.500     yes
 639    167.32    168.20    255.84    2    167.41      1    639   0.0050     0.500     yes
 640    167.24    168.13    255.29    2    167.38      1    640   0.0050     0.500     yes
 641    167.32    168.06    255.30    2    167.47      1    641   0.0050     0.500     yes
 642    167.25    168.06    254.95    2    167.41      1    642   0.0050     0.500     yes
 643    167.32    168.00    254.89    2    167.52      1    643   0.0050     0.500     yes
 644    167.26    168.03    254.60    2    167.45      1    644   0.0050     0.500     yes
 645    167.32    168.13    254.60    2    167.44      1    645   0.0050     0.500     yes
 646    167.24    168.09    254.20    2    167.37      1    646   0.0050     0.500     yes
 647    167.32    168.03    254.16    2    167.48      1    647   0.0050     0.500     yes
 648    167.26    168.06    253.75    2    167.43      1    648   0.0050     0.500     yes
 649    167.32    168.01    253.66    2    167.51      1    649   0.0050     0.500     yes
 650    167.26    168.05    253.33    2    167.43      1    650   0.0050     0.500     yes
 651    167.33    168.08    253.31    2    167.52      1    651   0.0050     0.500     yes
 652    167.26    168.08    252.85    2    167.43      1    652   0.0050     0.500     yes
 653    167.34    168.09    252.80    2    167.51      1    653   0.0050     0.500     yes
 654    167.26    168.09    252.35    2    167.41      1    654   0.0050     0.500     yes
 655    167.34    168.11    252.25    2    167.41      1    655   0.0050     0.500     yes
 656    167.28    168.09    251.59    2    167.42      1    656   0.0050     0.500     yes
 657    167.35    168.02    251.48    2    167.69      1    657   0.0050     0.500     yes
 658    167.28    168.01    251.02    2    167.48      1    658   0.0050     0.500     yes
 659    167.36    168.10    250.95    2    167.62      1    659   0.0050     0.500     yes
 660    167.28    168.07    250.40    2    167.47      1    660   0.0050     0.500     yes
 661    167.36    168.13    250.37    2    167.59      1    661   0.0050     0.500     yes
 662    167.28    168.09    249.83    2    167.46      1    662   0.0050     0.500     yes
 663    167.37    168.14    249.73    2    167.52      1    663   0.0050     0.500     yes
 664    167.28    168.09    249.10    2    167.44      1    664   0.0050     0.500     yes
 665    167.37    168.03    248.88    2    167.66      1    665   0.0050     0.500     yes
 666    167.29    168.01    248.43    2    167.50      1    666   0.0050     0.500     yes
 667    167.38    168.07    248.19    2    167.59      1    667   0.0050     0.500     yes
 668    167.29    168.07    247.75    2    167.50      1    668   0.0050     0.500     yes
 669    167.38    168.05    247.43    2    167.61      1    669   0.0050     0.500     yes
 670    167.30    168.04    246.93    2    167.51      1    670   0.0050     0.500     yes
 671    167.39    168.04    246.69    2    167.64      1    671   0.0050     0.500     yes
 672    167.30    168.03    246.23    2    167.52      1    672   0.0050     0.500     yes
 673    167.40    168.05    246.02    2    167.71      1    673   0.0050     0.500     yes
 674    167.32    168.04    245.55    2    167.58      1    674   0.0050     0.500     yes
 675    167.40    168.00    245.31    2    167.86      1    675   0.0050     0.500     yes
 676    167.32    167.98    244.84    2    167.60      1    676   0.0050     0.500     yes
 677    167.41    168.08    244.70    2    167.75      1    677   0.0050     0.500     yes
 678    167.32    168.07    244.19    2    167.55      1    678   0.0050     0.500     yes
 679    167.42    168.11    243.99    2    167.79      1    679   0.0050     0.500     yes
 680    167.33    168.09    243.49    2    167.55      1    680   0.0050     0.500     yes
 681    167.43    168.20    243.31    2    167.58      1    681   0.0050     0.500     yes
 682    167.34    168.17    242.57    2    167.58      1    682   0.0050     0.500     yes
 683    167.42    168.11    242.38    2    167.73      1    683   0.0050     0.500     yes
 684    167.34    168.13    241.94    2    167.58      1    684   0.0050     0.500     yes
 685    167.43    168.10    241.72    2    167.75      1    685   0.0050     0.500     yes
 686    167.35    168.10    241.31    2    167.61      1    686   0.0050     0.500     yes
 687    167.44    168.10    241.10    2    167.72      1    687   0.0050     0.500     yes
 688    167.35    168.14    240.72    2    167.58      1    688   0.0050     0.500     yes
 689    167.46    168.13    240.59    2    167.80      1    689   0.0050     0.500     yes
 690    167.37    168.13    240.14    2    167.66      1    690   0.0050     0.500     yes
 691    167.46    168.11    239.98    2    167.82      1    691   0.0050     0.500     yes
 692    167.38    168.11    239.65    2    167.67      1    692   0.0050     0.500     yes
 693    167.47    168.11    239.47    2    167.71      1    693   0.0050     0.500     yes
 694    167.38    168.15    239.07    2    167.63      1    694   0.0050     0.500     yes
 695    167.47    168.14    238.99    2    167.70      1    695   0.0050     0.500     yes
 696    167.38    168.17    238.62    2    167.61      1    696   0.0050     0.500     yes
 697    167.48    168.17    238.62    2    167.73      1    697   0.0050     0.500     yes
 698    167.39    168.18    238.24    2    167.67      1    698   0.0050     0.500     yes
 699    167.48    168.16    238.19    2    167.83      1    699   0.0050     0.500     yes
 700    167.40    168.16    237.89    2    167.65      1    700   0.0050     0.500     yes
