outer,omega1,omega2,omega3,omega4,omega5,gap12,N,nInner,cumInner,innerConv,dxNorm2,dxMax,moveMax,moveMean,vol,volErr,Mnd,beta,tOuter,tEig,tGrad,tInner
1,68.3208539696688,252.591599506912,406.663065958325,511.099061237151,807.333629962584,2.6971376209532,2,21,21,1,7.70360242730627,0.0999810674590904,0.1,0.0999999999999967,0.499935135463493,-6.48645365066702e-05,0.967030283134444,6713.76811675808,1.35411945833333,0.06628125,0.00620525,1.27721358333333
2,83.2899189810324,290.462181119954,413.854913994731,559.126142974615,854.849706092936,2.48736299270625,2,17,38,1,6.87456897074587,0.0999732475331737,0.1,0.0999999999999967,0.49991719079119,-8.28092088103194e-05,0.893022922490132,9304.95012851655,0.695687458333333,0.060423375,0.005072625,0.626231708333333
3,96.9085563542454,308.831807059407,445.472045007856,547.320802468655,798.894543356475,2.18683735139428,2,17,55,1,6.07522149489571,0.0999607729801453,0.1,0.0953333333333301,0.499917784809843,-8.22151901573864e-05,0.813909029071762,11816.2866603618,0.658718833333333,0.0596333333333333,0.00367808333333333,0.594693875
4,108.753261441166,268.20057912221,469.017298163972,469.081653831488,734.890820662841,1.46613826167689,2,17,72,1,5.58557590821538,0.0999557370772949,0.1,0.0897972222222198,0.499900183406851,-9.98165931488937e-05,0.732447373585438,14368.2684981076,0.646063583333333,0.059766,0.0036795,0.581853125
5,120.583112459181,189.982914231121,454.354249554242,499.009630253402,638.679407623314,0.575535001183795,2,19,91,1,5.56005766949052,0.0999616507283116,0.1,0.0876592222222204,0.499924306965837,-7.5693034162605e-05,0.631944940987662,17638.2214896932,0.636864583333333,0.0890388333333333,0.00356941666666667,0.543485708333333
6,134.181982653472,165.537987298909,413.504800033792,464.955445343032,556.700718966972,0.233682675016168,2,21,112,1,4.29239568473279,0.0999014681457299,0.1,0.0839120111111092,0.49995211974471,-4.78802552903446e-05,0.598521604799848,19837.0272966966,1.1359455,0.060051625,0.00400525,1.07136158333333
7,140.403133259192,150.64402388666,372.064139766292,453.435043296708,615.06158639629,0.0729391886758224,2,36,148,1,3.68662211245261,0.0998974543203779,0.1,0.0847192077777762,0.49994295321163,-5.7046788370041e-05,0.567498024047545,20970.4954836827,2.81575725,0.060212375,0.003775625,2.75123933333333
8,144.986916220761,145.50190390738,367.952581123781,447.116608113857,672.344727083997,0.00355195972190024,2,25,173,1,2.68083840406346,0.0999191356725327,0.1,0.0811271827777755,0.499950437674669,-4.95623253305988e-05,0.544790558630076,21855.7631991396,1.4446045,0.0603073333333333,0.00372033333333333,1.380063
9,146.519024095654,147.988848598044,383.062017679973,454.324893864041,663.270306152021,0.0100316290765794,2,22,195,1,2.48627654045118,0.0999524318490593,0.1,0.0779604014444437,0.499966655626005,-3.33443739945483e-05,0.520511618028931,22627.7834935565,1.27063545833333,0.0706241666666667,0.00386025,1.19564004166667
10,146.075409185978,150.617716430589,386.746947165659,460.239069667477,720.117621592412,0.0310956325224321,2,17,212,1,1.94141755921693,0.0999198691285883,0.1,0.0750661374777773,0.499972883081922,-2.71169180779962e-05,0.504977152772533,23038.6356015537,0.810866708333333,0.0600364166666667,0.00368508333333333,0.74665725
