outer,omega1,omega2,omega3,omega4,omega5,gap12,N,nInner,cumInner,innerConv,dxNorm2,dxMax,moveMax,moveMean,vol,volErr,Mnd,beta,tOuter,tEig,tGrad,tInner
1,68.2156076170211,251.357724142939,385.390617106438,506.243688601286,794.937585557393,2.68475386973201,2,21,21,1,13.3930761526455,0.0999589626029126,0.1,0.100000000000013,0.499830076101625,-0.000169923898374669,0.975086876551314,6612.38437318244,3.83297175,0.340240416666667,0.0182626666666667,3.470429375
2,82.8777575834956,287.95188736332,409.353024407698,553.031750808493,845.832063629376,2.47441696975477,2,18,39,1,12.4112934319999,0.0999424596065079,0.1,0.100000000000013,0.499791369986948,-0.000208630013052158,0.910916569881162,9199.40338974882,2.382901125,0.258759458333333,0.015565125,2.10560125
3,96.762077230384,305.874338434172,436.068653535578,546.040763925877,810.849160571962,2.16109727270432,2,16,55,1,10.6033500695542,0.0999196533499624,0.1,0.0970291666666796,0.499763026243314,-0.00023697375668591,0.833475132116305,11705.9774708554,1.84005866666667,0.259475333333333,0.013037125,1.56638979166667
4,108.448250717761,272.065045555021,461.880060959236,483.917249643656,738.83531066729,1.50870847389761,2,15,70,1,9.17051698605552,0.099884711266361,0.1,0.0942461111111214,0.499761367993067,-0.000238632006933026,0.764022270753146,14014.5284684677,1.64526808333333,0.311591125,0.0129651666666667,1.31966183333333
5,119.263460066061,196.727852350105,458.848887283392,483.337388126338,674.840344366209,0.649523267571942,2,19,89,1,9.01616698069285,0.0998516816776981,0.1,0.0926266666666739,0.499825303197852,-0.000174696802147933,0.684232365019702,16817.3659401825,1.64292679166667,0.311204208333333,0.0131334583333333,1.31739729166667
6,131.052074007913,171.305264455218,464.005183868582,468.133848354048,516.559966264559,0.307154165640099,2,16,105,1,7.06318451170982,0.0995945969273781,0.1,0.0938603402777876,0.499860158938605,-0.000139841061395363,0.64392387948697,18879.2490180088,4.28623875,0.253568541666667,0.013072375,4.01857991666667
7,137.640184836137,152.415838022566,386.589116479858,451.498378524296,560.677304702567,0.10734984992951,2,16,121,1,6.074466827347,0.0995947850031075,0.1,0.0931885527777881,0.499916522348954,-8.34776510458268e-05,0.615386273762356,20196.2507076608,3.14230004166667,0.258868333333333,0.0130192916666667,2.86948883333333
8,142.422484722875,145.269610490074,368.333399784294,443.993101004387,598.719067143908,0.0199907042258035,2,21,142,1,4.43529230428169,0.0996462553066845,0.1,0.0926492787222283,0.49996222876579,-3.77712342103376e-05,0.594578994767151,21056.2498305236,2.85834441666667,0.25423825,0.0130714583333333,2.59013945833333
9,145.218823250148,145.281530252821,374.163026769054,444.939084141759,628.041706641177,0.000431810431108264,2,18,160,1,3.80520366920999,0.0995717077706918,0.1,0.0910894410916747,0.499969640781899,-3.03592181014056e-05,0.576134576576094,21708.4687915488,3.19529075,0.2566275,0.0130085416666667,2.924744
10,146.693978730793,147.453079096706,380.102298594093,456.65707030634,648.857607644183,0.00517472068370381,2,20,180,1,3.30941789462363,0.0996170213174925,0.1,0.0859269346377841,0.499951758729508,-4.82412704921886e-05,0.56044372774963,22168.3075197492,2.78976970833333,0.264518833333333,0.0133220833333333,2.51102245833333
