iter,beta,beta_omega,volume,N_pre,N_trial,drho_norm,drho_max,step_alpha,inner_iters,inner_cpu_time,inner_converged,omega_pre_1,omega_pre_2,omega_pre_3,omega_pre_4,omega_post_1,omega_post_2,omega_post_3,omega_post_4
1,60218.81864,245.3952295,0.4997629676,1,1,0.475275439,0.4999990061,1,30,0.906093,0,147.4262729,368.7591032,623.0500469,653.415975,0.08100703369,0.1496840194,0.192985203,0.4336980542
2,16.9781341,4.120453143,0.422911791,1,2,0.8326124409,0.9989904406,1,30,0.263055,0,0.08100703369,0.1496840194,0.192985203,0.4336980542,3.50840409,3.508794164,19.7031142,19.70325603
3,771.5477006,27.77674748,0.4926396228,2,1,0.8727255876,0.9989946182,1,30,0.231727,0,3.50840409,3.508794164,19.7031142,19.70325603,0.04092031333,0.0995322108,0.1452637883,1269.027857
4,4.190605347,2.047096809,0.4998547458,1,1,0.9558121097,0.9989999862,1,30,0.230488,0,0.04092031333,0.0995322108,0.1452637883,1269.027857,0.01587690578,0.05569967905,0.07112761723,0.1156320169
5,0.6404164277,0.800260225,0.4886545617,1,1,0.9707508604,0.9989996133,1,30,0.255242,0,0.01587690578,0.05569967905,0.07112761723,0.1156320169,0.0326293416,0.08444229413,0.1189313427,1617.551942
6,2.618941567,1.618314422,0.5005000071,1,1,0.9913984579,0.9989999784,1,26,0.201239,1,0.0326293416,0.08444229413,0.1189313427,1617.551942,0.01539264554,0.0460802617,0.06536519142,0.09488364851
7,0.6081070717,0.7798122028,0.5005000043,1,1,0.9989999715,0.998999978,1,29,0.226781,1,0.01539264554,0.0460802617,0.06536519142,0.09488364851,0.03053689175,0.07964474757,0.1094895995,1617.551859
8,2.310760207,1.520118485,0.5005000071,1,1,0.9989999715,0.998999978,1,25,0.201042,1,0.03053689175,0.07964474757,0.1094895995,1617.551859,0.01539298305,0.04608043693,0.06536527766,0.09488373334
9,0.608104889,0.7798108033,0.5005000043,1,1,0.9989999715,0.998999978,1,29,0.231056,1,0.01539298305,0.04608043693,0.06536527766,0.09488373334,0.0305370552,0.07964485639,0.109489781,1617.551859
10,2.310763121,1.520119443,0.5005000071,1,1,0.9989999715,0.998999978,1,25,0.199839,1,0.0305370552,0.07964485639,0.109489781,1617.551859,0.01539356323,0.04608049823,0.06536530418,0.09488375901
11,0.6081042755,0.7798104099,0.5005000043,1,1,0.9989999715,0.998999978,1,29,0.223907,1,0.01539356323,0.04608049823,0.06536530418,0.09488375901,0.0305369299,0.07964469982,0.109489714,1617.551859
12,2.310763178,1.520119462,0.5005000071,1,1,0.9989999715,0.998999978,1,25,0.197199,1,0.0305369299,0.07964469982,0.109489714,1617.551859,0.01539307949,0.0460803749,0.06536524887,0.09488366212
13,0.6081051674,0.7798109818,0.5005000043,1,1,0.9989999715,0.998999978,1,29,0.226195,1,0.01539307949,0.0460803749,0.06536524887,0.09488366212,0.03053666101,0.07964481966,0.1094895528,1617.551859
14,2.310762902,1.520119371,0.5005000071,1,1,0.9989999715,0.998999978,1,25,0.200257,1,0.03053666101,0.07964481966,0.1094895528,1617.551859,0.01539266754,0.04608031528,0.06536523793,0.09488362068
15,0.6081071692,0.7798122653,0.5005000043,1,1,0.9989999715,0.998999978,1,29,0.222169,1,0.01539266754,0.04608031528,0.06536523793,0.09488362068,0.03053713964,0.07964491215,0.1094896993,1617.551859
16,2.310758888,1.520118051,0.5005000071,1,1,0.9989999715,0.998999978,1,25,0.199487,1,0.03053713964,0.07964491215,0.1094896993,1617.551859,0.01539341065,0.04608049717,0.06536528059,0.09488371986
17,0.6081055884,0.7798112518,0.5005000043,1,1,0.9989999715,0.998999978,1,29,0.220825,1,0.01539341065,0.04608049717,0.06536528059,0.09488371986,0.03053694981,0.07964484221,0.1094896058,1617.551859
18,2.310759984,1.520118411,0.5005000071,1,1,0.9989999715,0.998999978,1,25,0.201674,1,0.03053694981,0.07964484221,0.1094896058,1617.551859,0.01539316384,0.04608053339,0.06536527732,0.09488382159
19,0.6081062761,0.7798116927,0.5005000043,1,1,0.9989999715,0.998999978,1,29,0.226176,1,0.01539316384,0.04608053339,0.06536527732,0.09488382159,0.03053729737,0.07964494469,0.1094896925,1617.551859
20,2.310758577,1.520117948,0.5005000071,1,1,0.9989999715,0.998999978,1,25,0.196517,1,0.03053729737,0.07964494469,0.1094896925,1617.551859,0.01539324542,0.04608051201,0.065365247,0.09488379648
21,0.6081046291,0.7798106367,0.5005000043,1,1,0.9989999715,0.998999978,1,29,0.223524,1,0.01539324542,0.04608051201,0.065365247,0.09488379648,0.03053696204,0.07964491808,0.1094896755,1617.551859
22,2.310758162,1.520117812,0.5005000071,1,1,0.9989999715,0.998999978,1,25,0.197161,1,0.03053696204,0.07964491808,0.1094896755,1617.551859,0.01539245948,0.04608032463,0.06536516932,0.09488369741
23,0.6081057836,0.7798113769,0.5005000043,1,1,0.9989999715,0.998999978,1,29,0.240766,1,0.01539245948,0.04608032463,0.06536516932,0.09488369741,0.03053749444,0.07964474011,0.1094897447,1617.551859
24,2.310758566,1.520117945,0.5005000071,1,1,0.9989999715,0.998999978,1,25,0.202679,1,0.03053749444,0.07964474011,0.1094897447,1617.551859,0.01539342198,0.04608051866,0.06536529535,0.09488378176
25,0.6081042657,0.7798104037,0.5005000043,1,1,0.9989999715,0.998999978,1,29,0.23443,1,0.01539342198,0.04608051866,0.06536529535,0.09488378176,0.03053716325,0.0796448428,0.1094897045,1617.551859
26,2.310759935,1.520118395,0.5005000071,1,1,0.9989999715,0.998999978,1,25,0.213947,1,0.03053716325,0.0796448428,0.1094897045,1617.551859,0.01539366922,0.04608057533,0.06536513733,0.09488374579
27,0.6081032174,0.7798097315,0.5005000043,1,1,0.9989999715,0.998999978,1,29,0.234782,1,0.01539366922,0.04608057533,0.06536513733,0.09488374579,0.03053657442,0.07964485707,0.1094895644,1617.551859
28,2.310761751,1.520118992,0.5005000071,1,1,0.9989999715,0.998999978,1,25,0.207056,1,0.03053657442,0.07964485707,0.1094895644,1617.551859,0.01539290702,0.04608031451,0.06536513015,0.09488360964
29,0.6081038802,0.7798101565,0.5005000043,1,1,0.9989999715,0.998999978,1,29,0.23005,1,0.01539290702,0.04608031451,0.06536513015,0.09488360964,0.03053655232,0.07964492574,0.109489525,1617.551859
30,2.310765073,1.520120085,0.5005000071,1,1,0.9989999715,0.998999978,1,25,0.202245,1,0.03053655232,0.07964492574,0.109489525,1617.551859,0.01539244358,0.046080214,0.06536519459,0.09488363429
31,0.6081050236,0.7798108896,0.5005000043,1,1,0.9989999715,0.998999978,1,29,0.232858,1,0.01539244358,0.046080214,0.06536519459,0.09488363429,0.03053701245,0.07964483266,0.1094897208,1617.551859
32,2.310760138,1.520118462,0.5005000071,1,1,0.9989999715,0.998999978,1,25,0.206016,1,0.03053701245,0.07964483266,0.1094897208,1617.551859,0.01539327584,0.04608041236,0.0653653265,0.09488371493
33,0.6081048914,0.7798108049,0.5005000043,1,1,0.9989999715,0.998999978,1,29,0.231527,1,0.01539327584,0.04608041236,0.0653653265,0.09488371493,0.03053698306,0.07964474334,0.1094896511,1617.551859
34,2.310760349,1.520118531,0.5005000071,1,1,0.9989999715,0.998999978,1,25,0.200156,1,0.03053698306,0.07964474334,0.1094896511,1617.551859,0.01539300999,0.04608036797,0.06536522671,0.0948837115
35,0.6081038513,0.779810138,0.5005000043,1,1,0.9989999715,0.998999978,1,29,0.22842,1,0.01539300999,0.04608036797,0.06536522671,0.0948837115,0.03053686898,0.07964488889,0.1094896778,1617.551859
36,2.310760189,1.520118479,0.5005000071,1,1,0.9989999715,0.998999978,1,25,0.204459,1,0.03053686898,0.07964488889,0.1094896778,1617.551859,0.01539247921,0.04608023672,0.06536517249,0.09488363734
37,0.6081078542,0.7798127045,0.5005000043,1,1,0.9989999715,0.998999978,1,29,0.233227,1,0.01539247921,0.04608023672,0.06536517249,0.09488363734,0.0305374357,0.07964492929,0.1094897453,1617.551859
38,2.310758413,1.520117895,0.5005000071,1,1,0.9989999715,0.998999978,1,25,0.218216,1,0.0305374357,0.07964492929,0.1094897453,1617.551859,0.01539287727,0.04608037457,0.06536524154,0.09488374824
39,0.6081043634,0.7798104663,0.5005000043,1,1,0.9989999715,0.998999978,1,29,0.237617,1,0.01539287727,0.04608037457,0.06536524154,0.09488374824,0.03053654119,0.07964493974,0.1094896898,1617.551859
