outer,omega1,omega2,gap12,volume,volErr,Mnd,gray,mid,move,stage,moveChanged,descent,beta,betaStallRel,betaStallFires,prodStageShadow,prodMoveShadow,prodTol,prodStopRaw,prodSettled,prodStopAdmit,exA,exB,exE,exNA,exNB,exDecl,exAmp,exCos,exNet,exMedcos,exMednet,exTol,exStageStart,cosT,net_ratio,cosT_unsat,net_ratio_unsat,boundFrac,revFrac,maxAbs,ratio,l2,rms,stepNorm,path_W,net_W,nInner,cumInner,innerConv,multN,multJ,degen,tOuter
1,68.544740220048325,254.59950384766009,2.7143550771411848,0.50000000000000522,5.2180482157382357e-15,99.360000000010785,1,1,0.040000000000000001,1,1,0,5529.2633574914025,NaN,0,1,0.040000000000000001,0.15000000000000002,0,0,0,0,0,0,0,0,0,1.3576450198668519,NaN,NaN,NaN,NaN,0.15000000000000002,1,NaN,NaN,NaN,NaN,1,NaN,0.039999999999996434,0.99999999999991085,1.3576450198668519,0.039999999999666504,0.039999999999666504,NaN,NaN,22,22,1,2,0,0,0.9658654166666667
2,74.565863988882995,271.63577805760167,2.642897212296766,0.50000000000041844,4.184430579812215e-13,97.635555555860918,1,1,0.040000000000000001,1,0,0,6452.8622224909705,NaN,0,1,0.040000000000000001,0.15000000000000002,0,1,0,0,0,0,0,0,0,1.357645019680066,0.84722222226863331,NaN,NaN,NaN,0.15000000000000002,1,0.84722222226863331,NaN,NaN,NaN,1,0.076388888888888895,0.039999999999964307,0.99999999999910771,1.357645019680066,0.039999999994163274,0.039999999994163274,NaN,NaN,21,43,1,2,0,0,0.36444887500000001
3,80.45855164783643,287.38777975918407,2.5718736401951139,0.50000000000024458,2.4458213232492199e-13,95.271111112577927,1,0.2013888888888889,0.040000000000000001,1,0,0,7431.4220382529275,NaN,0,1,0.040000000000000001,0.15000000000000002,0,1,0,0,0,0,0,0,0,1.3576450177901243,0.70833333521097319,NaN,NaN,NaN,0.15000000000000002,1,0.70833333521097319,NaN,NaN,NaN,1,0.14583333333333334,0.039999999999717546,0.99999999999293865,1.3576450177901243,0.03999999993848033,0.03999999993848033,NaN,NaN,21,64,1,2,0,0,0.35483145833333335
4,86.379481056311917,302.46651672751665,2.5016014570675038,0.50000000000174105,1.7410517472171705e-12,92.320000001254883,1,0.2986111111111111,0.040000000000000001,1,0,0,8492.5246975367045,NaN,0,1,0.040000000000000001,0.15000000000000002,0,1,0,0,0,0,0,0,0,1.3576450152813324,0.65277778200084735,NaN,NaN,NaN,0.15000000000000002,1,0.65277778200084735,NaN,NaN,NaN,1,0.1736111111111111,0.040000000000000001,1,1.3576450152813324,0.039999999864564338,0.039999999864564345,NaN,NaN,26,90,1,2,0,0,0.37195699999999998
5,92.17949122464718,312.28392102625577,2.3877809139258575,0.50000000000174238,1.7423840148467207e-12,88.817777779066688,1,0.15625,0.040000000000000001,1,0,0,9569.2285712805278,NaN,0,1,0.040000000000000001,0.15000000000000002,0,1,0,0,0,0,0,0,0,1.3576450198730936,0.58333333560847112,NaN,NaN,NaN,0.15000000000000002,1,0.58333333560847112,NaN,NaN,NaN,1,0.20833333333333334,0.040000000000000001,1,1.3576450198730936,0.039999999999850405,0.039999999999850405,NaN,NaN,27,117,1,2,0,0,0.38839779166666666
6,97.723144671641975,314.16307330350702,2.2148277090255486,0.50000000000633849,6.3384852921899437e-12,84.924444486180477,1,0.23958333333333334,0.040000000000000001,1,0,0,10633.663537572647,NaN,0,1,0.040000000000000001,0.15000000000000002,0,1,0,0,0,0,0,0,0,1.3576449686039853,0.58333335925317265,NaN,NaN,NaN,0.15000000000000002,1,0.58333335925317265,NaN,NaN,NaN,1,0.20833333333333334,0.039999999989861805,0.99999999974654508,1.3576449686039853,0.039999998489319816,0.039999998489319816,NaN,NaN,21,138,1,2,0,0,0.34204241666666668
