arm_N,iteration,max_design_change,surrogate_objective,feasibility_relative,reference_mac_phi0,reference_mode_index,reference_omega,reference_identity,reference_event_id
inf,1,0.2,37255.2649314536,8.22972091453211e-05,1,1,136.483085251141,solid_phi0,0
inf,2,0.2,24879.200861259,6.92852770391994e-05,1,1,136.483085251141,solid_phi0,0
inf,3,0.2,15335.5885403522,0.00025490785459481,1,1,136.483085251141,solid_phi0,0
inf,4,0.2,11189.5249938933,0.000379810646922607,1,1,136.483085251141,solid_phi0,0
inf,5,0.2,8956.51726791493,0.000136879464564643,1,1,136.483085251141,solid_phi0,0
inf,6,0.2,8258.97640416818,8.39182315928166e-05,1,1,136.483085251141,solid_phi0,0
inf,7,0.2,7681.92712963812,0.000176641861541649,1,1,136.483085251141,solid_phi0,0
inf,8,0.2,7765.69523576324,2.04542903796678e-05,1,1,136.483085251141,solid_phi0,0
inf,9,0.197971805270532,7533.2827912274,0.000256777514698214,1,1,136.483085251141,solid_phi0,0
inf,10,0.2,7647.79597674348,1.94416402675701e-05,1,1,136.483085251141,solid_phi0,0
inf,11,0.177545031607437,7500.99645688156,0.00017618278894993,1,1,136.483085251141,solid_phi0,0
inf,12,0.2,7612.50102610491,9.8131841325344e-05,1,1,136.483085251141,solid_phi0,0
inf,13,0.2,7496.02858939131,0.000325709707525323,1,1,136.483085251141,solid_phi0,0
inf,14,0.2,7571.02363663537,0.000169634377813921,1,1,136.483085251141,solid_phi0,0
inf,15,0.2,7419.80128184854,6.62936196520469e-05,1,1,136.483085251141,solid_phi0,0
inf,16,0.2,7417.58711551405,8.85367164652484e-05,1,1,136.483085251141,solid_phi0,0
inf,17,0.2,7282.22566469359,1.40203699228181e-06,1,1,136.483085251141,solid_phi0,0
inf,18,0.2,7291.34923523736,1.4331594316519e-05,1,1,136.483085251141,solid_phi0,0
inf,19,0.2,7234.4308099086,6.55642727880323e-05,1,1,136.483085251141,solid_phi0,0
inf,20,0.2,7228.59420878458,3.79145264232106e-05,1,1,136.483085251141,solid_phi0,0
inf,21,0.16878938224476,7199.20190110794,9.81338591845571e-05,1,1,136.483085251141,solid_phi0,0
inf,22,0.183469757143822,7175.21789919013,8.48400213100398e-05,1,1,136.483085251141,solid_phi0,0
inf,23,0.180340843260869,7138.17591353315,7.10111690014337e-05,1,1,136.483085251141,solid_phi0,0
inf,24,0.173763519597597,7098.16984141369,5.35096830882598e-05,1,1,136.483085251141,solid_phi0,0
