nelx,nely,NE,status,outer,inner,innerPerOuter,w1_native,w2_native,w3_native,w1_eq4,w2_eq4,w3_eq4,gap_pct,Mnd,iter99,wall_s,tEig_per_outer_s,tOuterExclInner_per_outer_s,t_per_inner_s,innerShare_pct
160,20,3200,CONVERGED,121,2369,19.5785123966942,169.210576386275,170.399975755933,321.397145431012,169.738814246524,170.843254089272,318.032048441953,0.650670176794823,0.114615655004453,41,405.58803575,0.0528558230027548,0.0567645306473829,0.168106591846067,98.1894141297617
240,30,7200,CONVERGED,111,2077,18.7117117117117,167.342446131309,187.160188383023,312.514585459248,167.623256730783,187.239825197784,309.173757713227,11.702772544568,0.122668335685551,32,708.179562416667,0.113086899024024,0.119916182807808,0.334282374518536,98.0407411794944
320,40,12800,CONVERGED,101,2001,19.8118811881188,165.856795502549,195.140032893032,353.379581821778,166.137790428672,195.26600229982,350.449646021613,17.5325624567363,0.140618268253218,45,963.264722291667,0.203613916666667,0.216471110561056,0.470106727698651,97.6557679686489
400,50,20000,CONVERGED,93,1913,20.5698924731183,166.455175955396,198.131780709087,340.834580714117,166.728830286562,198.238850339968,337.714025249371,18.8989630643052,0.121592242284062,43,1254.74639633333,0.325830930555556,0.343504351702509,0.638746836143056,97.3840372136087
480,60,28800,CONVERGED,112,2137,19.0803571428571,166.009257697589,203.441222082928,370.835455481363,166.323432799484,203.574323230383,368.11668912814,22.3966580077796,0.130673337906628,46,1958.05093220833,0.476412519717262,0.500888361235119,0.889525197044143,97.0820173681304
560,70,39200,CONVERGED,130,2371,18.2384615384615,165.810051163182,206.375980582232,388.880649232852,166.137175424861,206.516159637632,386.333033009931,24.3046049804987,0.132903905799902,59,2535.15023075,0.601146440064102,0.634070771794872,1.03391900632644,96.6973055192382
640,80,51200,CONVERGED,156,2868,18.3846153846154,165.649974556035,205.973049745131,390.02423224417,165.961340339227,206.079390045025,387.397440713561,24.1731294913606,0.132972496605641,66,3476.32648358333,0.72600981917735,0.769226272970085,1.16970543508833,96.5017297332601
720,90,64800,CONVERGED,204,3752,18.3921568627451,165.423366700756,202.462560354619,387.027802548575,165.741111055401,202.583272162531,384.159150699915,22.2287402760413,0.161660983832494,85,4804.67302579167,1.14480965522876,1.1972113754085,1.2148513816298,94.8685240266471
800,100,80000,CONVERGED,246,4650,18.9024390243902,165.432215867588,195.739346342934,409.598108422689,165.763549539822,195.859466451547,406.844535256449,18.1559317445089,0.164540107211755,171,6168.89419883333,1.35926192174797,1.42144937906504,1.25088300485663,94.2892807868771
