nelx,nely,NE,status,outer,inner,innerPerOuter,w1_native,w2_native,w3_native,w1_eq4,w2_eq4,w3_eq4,gap_pct,Mnd,iter99,wall_s,tEig_per_outer_s,tOuterExclInner_per_outer_s,t_per_inner_s,innerShare_pct
160,20,3200,CONVERGED,262,6112,23.3282442748092,167.768092713958,168.394920354305,259.303661400506,168.192960580513,168.661439071363,255.095536443788,0.278536324726303,0.123106536007011,41,1099.98161320833,0.0438758015267176,0.0468660776081425,0.177869139486529,98.8322138740847
240,30,7200,CONVERGED,191,3625,18.979057591623,170.449571854303,178.690371683922,302.464422955258,170.959171233514,178.898859565541,299.675121229695,4.64420146327361,0.0809913495597221,41,1231.6068045,0.102543841841187,0.108434691317627,0.333874875551724,98.2697090867689
320,40,12800,CONVERGED,108,2447,22.6574074074074,171.755191133337,172.770744873003,267.400676124821,172.064645735462,172.804583030903,263.319254469417,0.4300344747046,0.072440328130356,38,1241.39615316667,0.210279566358025,0.221087652391975,0.49729598722926,98.025378735536
400,50,20000,CONVERGED,173,3692,21.3410404624277,172.441252725011,181.630515294625,320.564206447288,172.849009157123,181.570771457174,317.472169169118,5.04588504301084,0.0652011900196141,45,2659.40463858333,0.350155320327553,0.36362987933526,0.703020698966233,97.5990032854115
480,60,28800,CONVERGED,228,4335,19.0131578947368,173.606508831384,191.686192907357,364.085951588698,173.917062234114,191.723291824879,361.111844680876,10.2383454285788,0.0572041873482567,51,3886.54512433333,0.510034444809941,0.52928688377193,0.868439469838524,96.8645668920611
560,70,39200,CONVERGED,257,4730,18.4046692607004,173.899300400086,191.31517483765,351.123398982563,174.228509357455,191.31322653869,348.144415067409,9.80592512915502,0.054938541185529,57,4458.54214433333,0.664402555285344,0.689639399643321,0.904834904439746,95.9925679616952
640,80,51200,CONVERGED,291,5195,17.8522336769759,174.680848356459,193.724658851955,369.089154072113,174.946877716554,193.680131411123,365.912612716544,10.7079668634732,0.0520756301003615,65,5620.75185758333,0.836234918814433,0.869552119129439,1.0328989096888,95.4660510158232
720,90,64800,CONVERGED,378,6525,17.2619047619048,174.687931125175,198.123914336032,388.912851119053,174.983017298871,198.08929369281,386.113834564648,13.2048679641145,0.0472173818061131,79,7508.51362083333,1.32082104332011,1.35844329320988,1.07163938459132,93.1269134953274
800,100,80000,CAP_HIT,400,6879,17.1975,174.899237009958,213.215668411034,496.241923090573,175.166233953467,213.194597996552,493.947504778826,21.7098713517968,0.0549405559408011,94,8540.1146055,1.584932405625,1.6295442653125,1.14629628697243,92.3333294965971
