run,nelx,nely,massModel,cutoff,move0,rminEl,status,outer,inner,w1_native,w2_native,w3_native,w1_eq4,w2_eq4,w3_eq4,gap_eq4_pct,w1_lin,w2_lin,w3_lin,Mnd,greyFrac,coalIter,wall_s,iter99
A1_240_d004,240,30,eq4b,0.1,0.04,1.8,CONVERGED,68,1343,157.868685335605,159.622105072436,366.39241926353,157.902880499942,159.65211813995,366.489310397802,1.10779336923358,13.7146755365912,18.1679620321416,19.5071030350833,0.40679480245598,0.442083333333333,16,262.268725166667,51
A2_240_d010,240,30,eq4b,0.1,0.1,1.8,CONVERGED,84,1538,163.952982929634,167.678933420456,174.951863618347,164.237011239989,167.852433620343,175.098872630573,2.20134447957721,24.6663418195102,24.7740150268067,30.6048285826739,0.148181608283345,0.162361111111111,8,343.392408,66
A3_240_d020,240,30,eq4b,0.1,0.2,1.8,CONVERGED,332,5080,167.369696847627,197.375584716965,366.832581070216,167.436901100272,197.473392150201,366.892868531972,17.9389912573337,13.1646305387511,16.1418776088986,18.4788742302142,0.123319645691632,0.141805555555556,7,1301.519500125,81
A4_240_d010_floor001,240,30,eq4b,0.1,0.1,1.8,CONVERGED,225,3542,167.702608481441,186.621368872995,305.370703559417,167.777625651342,186.723427358696,305.436560368651,11.2922099319283,12.673691671779,15.2360494410355,17.9166579857055,0.121450089515226,0.138055555555556,8,1117.43234275,69
A5_240_d010_binary,240,30,eq4b,0.1,0.1,1.8,CONVERGED,201,2990,167.724570299716,185.234949468716,302.701717706312,167.785428340274,185.316642632298,302.757567250794,10.4485916717812,13.1145993070413,15.8238801583823,18.6075299918491,0.120845496347676,0.138611111111111,8,950.447940083333,122
B1_240_d010_r13,240,30,eq4b,0.1,0.1,1.3,CONVERGED,324,5549,171.271170615106,179.914685044651,302.417133527348,171.479177839708,180.118686883437,302.859618608918,5.03822630395664,13.5311315014702,16.4812301065597,19.5402816979042,0.0786539061512644,0.0811111111111111,8,1518.73240508333,75
B3_240_d006_r13,240,30,eq4b,0.1,0.06,1.3,CONVERGED,230,3938,170.979720570837,196.565783401072,388.15789597464,171.206837271232,196.799259206529,388.860776932561,14.9482475952484,14.2565842015102,18.0850007424862,21.2188496562258,0.0884855754482053,0.0936111111111111,12,1247.83097016667,46
B5_240_d010_r13_binary,240,30,eq4b,0.1,0.1,1.3,CONVERGED,154,2587,170.881821900814,178.769291627663,215.827253308344,171.073537377455,178.958504408041,216.291428868453,4.60910971472417,16.4300152548591,21.5506809769838,23.9012055611759,0.082925716128509,0.0848611111111111,8,751.094718208333,69
C1_800_d010_R0433,800,100,eq4b,0.1,0.1,4.33333333333333,CONVERGED,69,1488,156.132260208644,157.132366022881,407.074373164373,156.170946708908,157.167760791316,407.199650189324,0.638283946799603,17.617042307189,21.7962279938982,23.8358290507664,0.448000963139601,0.477775,11,1493.014746,42
C2_800_d006_R0433,800,100,eq4b,0.1,0.06,4.33333333333333,CONVERGED,355,7236,159.48478392248,168.100490959675,168.554047856602,168.187784024603,168.643664439804,217.380653435743,0.27105441566136,16.5791508335116,21.5475408804585,23.6278488448024,0.168093617550938,0.1851125,20,10820.005031,270
