iter,track_id,track_mac,mode1_tracking_loss,omega_1,omega_2,omega_3,omega_4,ld_strain_frac_1,ld_strain_frac_2,ld_strain_frac_3,ld_strain_frac_4,mac_best_1,mac_best_2,mac_best_3,mac_best_4
29,1,0.7238855779,0.2761144221,325.3941271,414.305819,611.3513459,672.8125621,0.09174001358,0.25105615,0.1382756385,0.4900604173,0.7238855779,0.5750388982,0.9079991557,0.7782623051
30,1,0.7162483567,0.2837516433,327.8926755,420.7518138,618.1611889,648.1462305,0.05733475558,0.2269938981,0.1284810712,0.5170372231,0.7162483567,0.5858392859,0.908527807,0.7997358832
31,1,0.7149457547,0.2850542453,326.1694943,413.8537621,610.9113012,672.2796237,0.07939685071,0.2134976773,0.1152970553,0.5276561656,0.7149457547,0.565621678,0.906376285,0.7887042255
32,1,0.6986311234,0.3013688766,327.7505663,421.1672779,617.5835974,662.9917722,0.05296404295,0.2249593619,0.1251798629,0.5130320678,0.6986311234,0.5658797596,0.9043196291,0.7522720885
33,1,0.7152144973,0.2847855027,326.4150872,416.3210464,611.4837481,682.725385,0.1019707435,0.2538845538,0.141756017,0.4970464522,0.7152144973,0.56350784,0.9019394494,0.7488312571
34,1,0.7022131687,0.2977868313,327.6976716,422.374352,616.9806109,664.8540998,0.0608891075,0.2285479239,0.1298924098,0.4938335155,0.7022131687,0.5650405791,0.8994610371,0.762183294
35,1,0.7045905392,0.2954094608,325.6570936,416.3548247,610.6169829,680.2023284,0.0783860092,0.2176286733,0.1178649927,0.5240254705,0.7045905392,0.5476309472,0.896787135,0.7636341496
36,1,0.6995369413,0.3004630587,327.8814924,423.3082891,617.2996291,675.9491961,0.04781962548,0.2107901234,0.1189844239,0.5193521859,0.6995369413,0.5611030216,0.8966710097,0.7278285208
37,1,0.7150670846,0.2849329154,326.9449957,417.2054341,611.5247537,691.7006977,0.0786898244,0.225899905,0.1221257696,0.4588556562,0.7150670846,0.5623561242,0.898338807,0.7135197451
38,1,0.7007477304,0.2992522696,327.6128113,423.8872298,616.6439506,677.5707452,0.05146656568,0.2181070093,0.1225714417,0.5061786314,0.7007477304,0.5604184086,0.8955975473,0.7333462309
39,1,0.7048745416,0.2951254584,326.4857267,417.461717,610.9089802,687.8975739,0.07272012312,0.2198695797,0.1173771778,0.5583656853,0.7048745416,0.5483864301,0.8930976166,0.7389788882
40,1,0.6999567662,0.3000432338,327.7786025,424.4777506,616.8274236,685.7240913,0.04689456333,0.208585428,0.1179598833,0.4965805158,0.6999567662,0.5593607362,0.8921299625,0.6998287483
41,1,0.7108323776,0.2891676224,326.5751335,418.5500431,611.4223038,699.5909978,0.07220557993,0.2259522305,0.1200258258,0.4576961898,0.7108323776,0.5546246851,0.8912565388,0.6815137731
42,1,0.7016264529,0.2983735471,327.4654894,424.65866,616.230489,690.5453945,0.06347477293,0.2530393422,0.1451708613,0.4494808048,0.7016264529,0.5584478119,0.8911926998,0.6900515174
43,1,0.7058930642,0.2941069358,326.3391045,418.4774823,611.0136929,697.9009748,0.0754287001,0.2435988825,0.1281754214,0.5166948595,0.7058930642,0.5477423453,0.8898811438,0.7006331219
44,1,0.7011532636,0.2988467364,327.5226301,425.1545268,616.3746468,696.5693857,0.05520949997,0.2305260626,0.132621095,0.48680887,0.7011532636,0.5580662205,0.8890450936,0.6624233898
45,1,0.7101336508,0.2898663492,326.3397762,419.0168846,611.2319351,709.8818765,0.08180372668,0.2395454476,0.1319491293,0.4453386847,0.7101336508,0.5521452774,0.8885820061,0.6306128127
46,1,0.7022709014,0.2977290986,327.5076882,425.1470696,616.1310235,697.4283514,0.05642044166,0.2470604868,0.1401378456,0.4200080334,0.7022709014,0.5575368048,0.8905462614,0.6612345799
47,1,0.7042535894,0.2957464106,326.1131182,418.8021084,610.7518086,702.9999788,0.08349035873,0.2544259102,0.1358427935,0.5087205502,0.7042535894,0.5445960729,0.8886828722,0.6836336332
48,1,0.6986870186,0.3013129814,327.4971601,425.5156991,616.1604911,701.5131809,0.04694132737,0.2181347111,0.1242405261,0.4780171507,0.6986870186,0.5541013511,0.8870385447,0.6391457889
49,1,0.7089594989,0.2910405011,326.5218345,419.4698681,611.3315246,712.6453063,0.07084017664,0.2266484978,0.1208902522,0.3995330367,0.7089594989,0.5503592801,0.8872694898,0.6104437682
50,1,0.6983952169,0.3016047831,326.9233052,425.2297268,615.5723705,703.4925224,0.06191823229,0.2561050952,0.1456951698,0.4576443378,0.6983952169,0.5511155344,0.8875634907,0.6347924651
51,1,0.7023314712,0.2976685288,326.2111744,419.3209427,610.8211789,706.7921225,0.07790363506,0.2557973068,0.134368672,0.528916053,0.7023314712,0.5415099325,0.8858361978,0.667245752
52,1,0.6998818187,0.3001181813,327.470849,425.6113544,615.8989089,703.4476422,0.04934348892,0.2326606268,0.1312176547,0.4564381846,0.6998818187,0.5549207717,0.8859187902,0.6289496153
53,1,0.7081304653,0.2918695347,326.8339926,419.7710154,611.518982,714.6071893,0.07740755604,0.2441745315,0.1308421892,0.4255775844,0.7081304653,0.5496685199,0.8868469169,0.5937435746
54,1,0.6998885001,0.3001114999,327.6884447,425.362929,616.0055157,704.309639,0.05023327236,0.2317554856,0.1300222996,0.4212350306,0.6998885001,0.5544485365,0.889510493,0.6211093574
55,1,0.6909734559,0.3090265441,325.5896636,417.5661678,609.6251808,710.7630071,0.07706627418,0.2441278201,0.125342153,0.505853254,0.6909734559,0.5288452029,0.887303868,0.6406153643
56,1,0.6816299415,0.3183700585,327.1023333,424.7474899,615.0272578,707.0834891,0.05275749205,0.2323770776,0.1311487513,0.5096334214,0.6816299415,0.534515238,0.8860943703,0.5980919102
57,1,0.7000490584,0.2999509416,326.6962658,419.7422603,611.1377205,717.9976642,0.07613551173,0.2420372529,0.1290968256,0.4176736153,0.7000490584,0.5393146763,0.8862057727,0.5724608141
58,1,0.6916729483,0.3083270517,327.0043579,424.8846959,615.1594056,708.4212686,0.05776158806,0.2492636894,0.1398975538,0.4201892703,0.6916729483,0.5438353806,0.8866084845,0.5910814706
59,1,0.6977555316,0.3022444684,326.3433758,419.3959018,610.8776422,710.248579,0.07752564089,0.2601710334,0.1356167517,0.5152618373,0.6977555316,0.5366320413,0.8860526603,0.6370051036
60,1,0.6992017479,0.3007982521,327.5193015,426.0598553,616.0307607,706.5949186,0.05357268513,0.2424467177,0.136924701,0.5408778201,0.6992017479,0.5527001093,0.8864925997,0.6121224145
61,1,0.7053776889,0.2946223111,326.7703533,419.5146125,611.2030025,717.3511125,0.07830943003,0.2495376188,0.1325429432,0.4248567877,0.7053776889,0.5458555216,0.8869717884,0.5813753527
62,1,0.6972565239,0.3027434761,327.5667732,425.6566869,615.9163347,706.8327241,0.05391283224,0.2356872644,0.1342174262,0.4588209141,0.6972565239,0.5513379943,0.888466091,0.6037232335
63,1,0.7028041971,0.2971958029,326.1563205,419.8230126,611.0433043,710.4080816,0.07265735656,0.2393114762,0.1269699217,0.4945699911,0.7028041971,0.5415211654,0.8860282757,0.6436896075
64,1,0.6979992426,0.3020007574,327.1671956,426.2903888,615.8262267,708.1521462,0.05510803893,0.2366644598,0.1373684177,0.5103023644,0.6979992426,0.5491695598,0.8843375597,0.6147260222
65,1,0.7011249446,0.2988750554,326.6457665,418.9428913,610.8249017,718.9474204,0.0673578213,0.2335320634,0.1215481721,0.4275885504,0.7011249446,0.5406583886,0.8860019889,0.5747840766
66,1,0.6917686881,0.3082313119,326.9157942,425.7359113,615.4580576,711.2657456,0.05382835599,0.2319373379,0.1319371513,0.4464896192,0.6917686881,0.5436922414,0.8861683754,0.5810297911
67,1,0.7012092766,0.2987907234,326.394776,419.8043719,611.1352722,714.0721056,0.07366671996,0.2523917601,0.1321152566,0.4879200411,0.7012092766,0.5393639476,0.8843023369,0.622398694
68,1,0.7002099785,0.2997900215,327.5727765,426.4181014,616.1231477,709.7220639,0.05122591447,0.232732564,0.1330936269,0.4909200944,0.7002099785,0.5530992508,0.8852233789,0.6025565393
69,1,0.701817687,0.298182313,326.6227115,419.0647915,610.9032611,719.257693,0.07175981577,0.2363108682,0.1237596704,0.4278119222,0.701817687,0.5414314815,0.8856956673,0.5657015314
70,1,0.6926908454,0.3073091546,327.2858741,425.8861445,615.6757878,711.4464263,0.0506282244,0.2265200911,0.1289405494,0.3952121719,0.6926908454,0.545119572,0.8865959284,0.5758499465
71,1,0.7010927594,0.2989072406,326.3149138,419.8229234,611.2366888,713.3943978,0.07844186501,0.2489268893,0.133903756,0.460869174,0.7010927594,0.5391636036,0.8848534798,0.6231078595
72,1,0.697492025,0.302507975,327.2242007,426.4446368,615.8565778,710.6451921,0.05276376728,0.2332498376,0.1352291147,0.497894316,0.697492025,0.5485541633,0.8844255401,0.6008937201
73,1,0.7009547983,0.2990452017,326.6445594,419.1285242,610.8718386,719.9782856,0.07356278593,0.2420575942,0.1281765696,0.4268060444,0.7009547983,0.5400906953,0.8853336816,0.564160472
74,1,0.6922685311,0.3077314689,326.9299591,426.048001,615.4975646,711.491105,0.0529670376,0.2285083028,0.130277227,0.4417209681,0.6922685311,0.5436355394,0.8854414906,0.5830405478
75,1,0.7010654375,0.2989345625,326.4652062,419.821768,611.2635605,713.3259375,0.07268231485,0.2488373349,0.1304477124,0.4990435403,0.7010654375,0.5389837564,0.883762389,0.6249759073
76,1,0.6990070849,0.3009929151,327.5873874,426.6197737,616.1085942,710.4782439,0.05248902291,0.2363749346,0.1356614711,0.498392268,0.6990070849,0.5511793675,0.8847303682,0.6006818835
77,1,0.702370327,0.297629673,326.7306149,419.6574233,611.3276295,719.0922611,0.07322476847,0.2397904168,0.126439847,0.4318000618,0.702370327,0.5416651892,0.8846781055,0.5681866389
78,1,0.6955506416,0.3044493584,327.3132173,426.4799876,615.9051072,711.9823627,0.05282652608,0.2273185046,0.1308949669,0.4068338586,0.6955506416,0.5473363236,0.8854096527,0.5816050626
79,1,0.7028167168,0.2971832832,326.4849048,419.9809183,611.5538663,713.0165689,0.07226818544,0.2356151723,0.126609719,0.4698164773,0.7028167168,0.541059617,0.8842774114,0.6266237912
80,1,0.6975226992,0.3024773008,327.138307,426.7987651,615.9110837,711.0959778,0.05275744667,0.2299859105,0.1340629182,0.4978663485,0.6975226992,0.5476046353,0.8834419865,0.6054215226
