mesh,Mnd_percent,gray_fraction,gray_area,mid_fraction,mid_area,broad_core_fraction,max_gray_depth,gray_components_4,largest_gray_component_area,raw_KKT_gray_RMS,raw_KKT_gray_best_dual_RMS,filtered_gray_best_dual_RMS_common_scale,raw_relaxed_cluster_dual_RMS_lower_bound,filtered_relaxed_cluster_dual_RMS_lower_bound,cancellation_gray_median,filter_gray_std_ratio,filter_gray_RMS_ratio,filter_gray_sign_flip_fraction,omega1,gap12,gap23,subspace_N,terminal_warning,raw_FD_max_normalized_error
400x50,15.373230197122789,0.1796,1.4368,0.0392,0.3136,0.0,0.0565685424949238,13,0.5232,0.5553447628791005,0.35476886474361086,0.022238271978545745,0.33930850674418095,0.021606315359960663,0.3980521193605109,0.0626838321751183,0.9060780000684205,0.43262806236080176,166.45229843313905,0.21064593187405473,0.9448634789381866,2,False,7.842950842050562e-05
480x60,26.34156302529313,0.28729166666666667,2.2983333333333333,0.11861111111111111,0.9488888888888889,0.1301388888888889,0.36666666666666664,7,0.7944444444444444,0.4445673061464968,0.3340390722058402,0.0489931053982277,0.33057104789691777,0.048919721604754114,0.4903448362375237,0.1466687866024169,0.9065557692774957,0.20280396422528402,163.93225938567002,0.12979791372346,1.1672629226489644,2,False,7.36240759613173e-05
800x100,34.41232077776823,0.377625,3.021,0.1609,1.2872,0.2087,0.38,5,2.8676,1.163116354585441,1.1625442230644045,1.1583490553421754,0.12676173116697823,0.05044637529916742,0.9597855753599567,0.9963913908486243,1.0128692408584918,0.03204237007613373,161.94583808332942,3.4875831182270845e-05,1.3616912123784417,2,False,5.391956751860208e-05
