2026-09-14T14:30:17	git mv	analysis/OlhoffCurrent/tests/gate_provenance_probes.m	development/reconstruction/OlhoffCurrent_study_governance/tests/gate_provenance_probes.m
2026-09-14T14:30:17	git mv	analysis/OlhoffCurrent/tests/test_evidence_retention.m	development/reconstruction/OlhoffCurrent_study_governance/tests/test_evidence_retention.m
2026-09-14T14:30:17	git mv	analysis/OlhoffCurrent/tests/test_finalization_gate.m	development/reconstruction/OlhoffCurrent_study_governance/tests/test_finalization_gate.m
2026-09-14T14:30:17	git mv	analysis/three_method_parametric_study/results/profile_freeze_manifest.json	examples/Performance/benchmark_profile/profile_freeze_manifest.json
2026-09-14T14:30:17	mv	examples/Performance/conference_benchmark/campaign_9mesh	development/benchmark_history/examples_Performance/conference_benchmark/campaign_9mesh
2026-09-14T14:30:17	git mv	examples/Performance/conference_benchmark/smoke_nine_mesh_pedersen_b21483b	development/benchmark_history/examples_Performance/conference_benchmark/smoke_nine_mesh_pedersen_b21483b
2026-09-14T14:30:17	git mv	analysis/OlhoffCurrent/EVIDENCE_POLICY.md	development/reconstruction/OlhoffCurrent_study_governance/EVIDENCE_POLICY.md
2026-09-14T14:30:17	git mv	analysis/OlhoffCurrent/diagnostics	development/reconstruction/OlhoffCurrent_diagnostics
2026-09-14T14:30:17	git mv	analysis/OlhoffCurrent/evidence	development/reconstruction/OlhoffCurrent_evidence
2026-09-14T14:30:17	git mv	analysis/OlhoffCurrent/olhoffcurrent_evidence_declare.m	development/reconstruction/OlhoffCurrent_study_governance/olhoffcurrent_evidence_declare.m
2026-09-14T14:30:17	git mv	analysis/OlhoffCurrent/olhoffcurrent_evidence_gate.m	development/reconstruction/OlhoffCurrent_study_governance/olhoffcurrent_evidence_gate.m
2026-09-14T14:30:17	git mv	analysis/OlhoffCurrent/olhoffcurrent_finalization_gate.m	development/reconstruction/OlhoffCurrent_study_governance/olhoffcurrent_finalization_gate.m
2026-09-14T14:30:17	git mv	analysis/three_method_parametric_study/study_base_config.m	examples/Performance/benchmark_profile/study_base_config.m
2026-09-14T14:30:17	git mv	analysis/three_method_parametric_study/study_evaluate_design.m	examples/Performance/benchmark_profile/study_evaluate_design.m
2026-09-14T14:30:17	git mv	examples/Performance/CONFERENCE_BENCHMARK_PREFLIGHT.md	development/benchmark_history/examples_Performance/CONFERENCE_BENCHMARK_PREFLIGHT.md
2026-09-14T14:30:18	git mv	examples/Performance/CONFERENCE_DRIVER_FINAL_AUDIT.md	development/benchmark_history/examples_Performance/CONFERENCE_DRIVER_FINAL_AUDIT.md
2026-09-14T14:30:18	git mv	examples/Performance/FINAL_CAMPAIGN_PREFLIGHT.md	development/benchmark_history/examples_Performance/FINAL_CAMPAIGN_PREFLIGHT.md
2026-09-14T14:30:18	git mv	examples/Performance/PLAN_two_table_redesign.md	development/benchmark_history/examples_Performance/PLAN_two_table_redesign.md
2026-09-14T14:30:18	git mv	examples/Performance/STOP_RULE_AUDIT.md	development/benchmark_history/examples_Performance/STOP_RULE_AUDIT.md
2026-09-14T14:30:18	git mv	examples/Performance/WP0A_VISUALIZATION_FIX.md	development/benchmark_history/examples_Performance/WP0A_VISUALIZATION_FIX.md
2026-09-14T14:30:18	git mv	examples/Performance/benchmark_protocol_r3.json	development/benchmark_history/examples_Performance/benchmark_protocol_r3.json
2026-09-14T14:30:18	git mv	examples/Performance/benchmark_results.json	development/benchmark_history/examples_Performance/benchmark_results.json
2026-09-14T14:30:18	git mv	examples/Performance/determinism_validation.json	development/benchmark_history/examples_Performance/determinism_validation.json
2026-09-14T14:30:18	git mv	examples/Performance/diagnostic_yuksel_table1	development/benchmark_history/examples_Performance/diagnostic_yuksel_table1
2026-09-14T14:30:18	git mv	examples/Performance/equivalence	development/benchmark_history/examples_Performance/equivalence
2026-09-14T14:30:18	git mv	examples/Performance/extension_invariance_validation.json	development/benchmark_history/examples_Performance/extension_invariance_validation.json
2026-09-14T14:30:18	git mv	examples/Performance/final_campaign	development/benchmark_history/examples_Performance/final_campaign
2026-09-14T14:30:18	git mv	examples/Performance/final_campaign_config.m	development/benchmark_history/examples_Performance/final_campaign_config.m
2026-09-14T14:30:18	git mv	examples/Performance/final_campaign_preflight.m	development/benchmark_history/examples_Performance/final_campaign_preflight.m
2026-09-14T14:30:18	git mv	examples/Performance/final_campaign_run_case.m	development/benchmark_history/examples_Performance/final_campaign_run_case.m
2026-09-14T14:30:18	git mv	examples/Performance/fit_complexity_model.m	development/benchmark_history/examples_Performance/fit_complexity_model.m
2026-09-14T14:30:18	git mv	examples/Performance/history_logging_validation.json	development/benchmark_history/examples_Performance/history_logging_validation.json
2026-09-14T14:30:18	git mv	examples/Performance/instrumentation_validation.json	development/benchmark_history/examples_Performance/instrumentation_validation.json
2026-09-14T14:30:18	git mv	examples/Performance/ledger	development/benchmark_history/examples_Performance/ledger
2026-09-14T14:30:18	git mv	examples/Performance/legacy_r3	development/benchmark_history/examples_Performance/legacy_r3
2026-09-14T14:30:18	git mv	examples/Performance/olhoff_benchmark_path_hash.m	development/benchmark_history/examples_Performance/olhoff_benchmark_path_hash.m
2026-09-14T14:30:18	git mv	examples/Performance/olhoff_equivalence_gate.m	development/benchmark_history/examples_Performance/olhoff_equivalence_gate.m
2026-09-14T14:30:18	git mv	examples/Performance/olhoff_equivalence_report.m	development/benchmark_history/examples_Performance/olhoff_equivalence_report.m
2026-09-14T14:30:18	git mv	examples/Performance/olhoff_preflight.m	development/benchmark_history/examples_Performance/olhoff_preflight.m
2026-09-14T14:30:18	git mv	examples/Performance/performance_benchmark_profile.m	development/benchmark_history/examples_Performance/performance_benchmark_profile.m
2026-09-14T14:30:18	git mv	examples/Performance/performance_comparison.json	development/benchmark_history/examples_Performance/performance_comparison.json
2026-09-14T14:30:18	mv	examples/Performance/performance_log.txt	development/benchmark_history/examples_Performance/performance_log.txt
2026-09-14T14:30:18	git mv	examples/Performance/plot_table1_complexity.m	development/benchmark_history/examples_Performance/plot_table1_complexity.m
2026-09-14T14:30:19	git mv	examples/Performance/print_complexity_fit_table.m	development/benchmark_history/examples_Performance/print_complexity_fit_table.m
2026-09-14T14:30:19	git mv	examples/Performance/print_table1_paper_style.m	development/benchmark_history/examples_Performance/print_table1_paper_style.m
2026-09-14T14:30:19	git mv	examples/Performance/regenerate_from_csv.m	development/benchmark_history/examples_Performance/regenerate_from_csv.m
2026-09-14T14:30:19	git mv	examples/Performance/repro2007_direct_cfg.m	development/benchmark_history/examples_Performance/repro2007_direct_cfg.m
2026-09-14T14:30:19	git mv	examples/Performance/repro2007_normalized_config.m	development/benchmark_history/examples_Performance/repro2007_normalized_config.m
2026-09-14T14:30:19	git mv	examples/Performance/repro2007_tree_hash.m	development/benchmark_history/examples_Performance/repro2007_tree_hash.m
2026-09-14T14:30:19	git mv	examples/Performance/sha256_hex.m	development/benchmark_history/examples_Performance/sha256_hex.m
2026-09-14T14:30:19	mv	examples/Performance/table1_complexity_fit.csv	development/benchmark_history/examples_Performance/table1_complexity_fit.csv
2026-09-14T14:30:19	mv	examples/Performance/table1_complexity_fit.png	development/benchmark_history/examples_Performance/table1_complexity_fit.png
2026-09-14T14:30:19	mv	examples/Performance/table1_complexity_fit_fixedexp.csv	development/benchmark_history/examples_Performance/table1_complexity_fit_fixedexp.csv
2026-09-14T14:30:19	mv	examples/Performance/table1_complexity_fit_fixedexp.png	development/benchmark_history/examples_Performance/table1_complexity_fit_fixedexp.png
2026-09-14T14:30:19	mv	examples/Performance/table1_complexity_fit_fixedexp_linear.png	development/benchmark_history/examples_Performance/table1_complexity_fit_fixedexp_linear.png
2026-09-14T14:30:19	mv	examples/Performance/table1_complexity_fit_linear.png	development/benchmark_history/examples_Performance/table1_complexity_fit_linear.png
2026-09-14T14:30:19	mv	examples/Performance/table1_paper_style.pdf	development/benchmark_history/examples_Performance/table1_paper_style.pdf
2026-09-14T14:30:19	git mv	examples/Performance/table1_paper_style.tex	development/benchmark_history/examples_Performance/table1_paper_style.tex
2026-09-14T14:30:19	mv	examples/Performance/table1_performance.csv	development/benchmark_history/examples_Performance/table1_performance.csv
