outer,omega1,omega2,omega3,omega4,omega5,gap12,N,nInner,cumInner,innerConv,dxNorm2,dxMax,moveMax,moveMean,vol,volErr,Mnd,beta,tOuter,tEig,tGrad,tInner
1,68.3985922143369,253.385066870241,420.767151638844,514.098158061378,814.823948861711,2.70453628747537,2,21,21,1,5.34960729243362,0.0999875442795454,0.1,0.0999999999999997,0.499964283387205,-3.57166127948894e-05,0.964227127270926,6745.60565268264,0.905860666666667,0.0367171666666667,0.00303683333333333,0.864120333333333
2,83.4804935215184,290.974441282063,422.957098276972,560.348004795775,857.230768795355,2.48553810606139,2,18,39,1,4.69326308066454,0.0999840038395673,0.1,0.0999999999999997,0.499936962060964,-6.30379390361702e-05,0.888703913407594,9357.84309373792,0.345919791666667,0.0309263333333333,0.002586625,0.311009583333333
3,96.9642891141812,308.344336638345,458.759564914367,547.045715990147,795.919240997324,2.17997831423537,2,19,58,1,4.344766300873,0.0999794257928539,0.1,0.0942249999999998,0.499922718844218,-7.72811557820385e-05,0.811385477343774,11898.8494549387,0.351001333333333,0.03010925,0.002730125,0.316546
4,109.028679825786,263.665579367008,465.185306123865,474.872606410715,737.856773586267,1.41831396829083,2,16,74,1,3.93188098727125,0.0999802861238622,0.1,0.0882637500000007,0.499895636543848,-0.000104363456151835,0.722057460609253,14525.6976287092,0.403008125,0.0314285416666667,0.00261270833333333,0.367353
5,121.670062637601,188.579172773249,459.944516675396,515.896448235436,619.054025558965,0.54992254203846,2,18,92,1,3.80451372128824,0.0999823195287105,0.1,0.0852133750000004,0.499911329944508,-8.86700554919018e-05,0.615077473084056,17971.4857870908,0.364662291666667,0.0373500833333333,0.00391570833333333,0.321964666666667
6,135.365678501078,167.125029523269,411.196660696689,471.077566372801,566.405963088078,0.234618932759515,2,20,112,1,2.85405483434519,0.0999603534752394,0.1,0.0833373000000007,0.499959149677479,-4.08503225209356e-05,0.588593136009567,20041.2450108773,0.366352125,0.0321459166666667,0.00353991666666667,0.329226
7,141.131166721213,155.748101482557,384.223815103275,468.977002495142,626.809383029016,0.103569857040991,2,21,133,1,2.77667412128068,0.0999967740250176,0.1,0.0835123975000004,0.499958856848786,-4.1143151214118e-05,0.55524074247169,21675.2888942066,0.604980708333333,0.03293175,0.003761,0.5657105
8,144.958857239333,146.072486260609,352.24758739192,436.946610441448,692.313755491654,0.00768237996963074,2,28,161,1,2.12257362592664,0.099977608324285,0.1,0.0786058785000004,0.49994083364635,-5.91663536495535e-05,0.526839878749234,22310.6970116331,1.359249875,0.0316740833333333,0.00370879166666667,1.32240541666667
9,147.752044864662,149.534344054718,380.712399474625,457.219450756628,722.612874121165,0.0120627717314409,2,19,180,1,1.58505179881938,0.099950481282232,0.1,0.0739841679500007,0.499981571775543,-1.84282244566902e-05,0.504862173959937,22886.0228755932,0.805045416666667,0.031965875,0.00500166666666667,0.766733791666667
10,148.834779893095,151.529368714906,391.535010816572,468.393977544127,740.483041321864,0.018104564159976,2,19,199,1,1.352602192483,0.0999652039389068,0.1,0.0700356154150005,0.499947184461449,-5.28155385505769e-05,0.488202018047166,23415.3165793004,0.750005666666667,0.0362505416666667,0.00441958333333333,0.708171416666667
