iter,track_id,track_mac,mode1_tracking_loss,omega_1,omega_2,omega_3,omega_4,ld_strain_frac_1,ld_strain_frac_2,ld_strain_frac_3,ld_strain_frac_4,mac_best_1,mac_best_2,mac_best_3,mac_best_4
29,1,0.7774504315,0.2225495685,204.4877401,273.5569484,495.3200164,863.0807079,0.02543497038,0.1097600068,0.0577926133,0.0671497467,0.7774504315,0.6837576065,0.9720914013,0.9558105589
30,1,0.7881582301,0.2118417699,205.2605181,267.1114938,505.4500785,856.5896102,0.03165963411,0.1317392327,0.07246553846,0.1098763036,0.7881582301,0.7123652687,0.9744314891,0.9509012883
31,1,0.7791132413,0.2208867587,204.6967939,269.5541014,494.0187337,862.1910525,0.02894569451,0.1428566555,0.05946550676,0.07382755073,0.7791132413,0.6912890822,0.9744087505,0.9561357827
32,1,0.7646468588,0.2353531412,204.360646,267.506564,505.8740802,853.6100228,0.03221789401,0.118806745,0.06001650203,0.1057319616,0.7646468588,0.6828997977,0.9763742036,0.9599955322
33,1,0.7575408055,0.2424591945,203.0368507,270.1454283,493.7650004,859.5311045,0.0267170331,0.1176731278,0.05031942091,0.08761579914,0.7575408055,0.6469718423,0.9775769125,0.9533248975
34,1,0.7578484622,0.2421515378,204.6317427,267.3770139,506.1830789,855.2472241,0.02615997565,0.1188674969,0.05733558918,0.07914455509,0.7578484622,0.6723078954,0.9781396114,0.9493144236
35,1,0.7754477093,0.2245522907,204.4084888,267.9329009,493.8322128,862.6363452,0.02799377807,0.132807541,0.05802876973,0.06081285529,0.7754477093,0.6860226367,0.9755988982,0.9583281399
36,1,0.7622351515,0.2377648485,204.7992341,266.7091101,505.7146404,855.2197706,0.03221607487,0.1342394432,0.0673703064,0.1396208604,0.7622351515,0.6844133171,0.9758404036,0.9563224652
37,1,0.7653244904,0.2346755096,204.0138385,271.5242153,494.7290814,822.2899948,0.03716416297,0.1399412549,0.0873577911,0.9928544988,0.7653244904,0.6643772125,0.9760210921,0.08016920791
38,1,0.7500959681,0.2499040319,204.565448,264.207521,503.694908,853.1557382,0.03279196906,0.1680462071,0.08319516731,0.1451731357,0.7500959681,0.6675371765,0.9748760059,0.4471058099
39,1,0.7594918199,0.2405081801,203.1275201,267.7706674,492.0331937,858.5793596,0.03123138165,0.1507739668,0.05676070297,0.07738543848,0.7594918199,0.6664668581,0.9731334032,0.9537800748
40,1,0.7515427556,0.2484572444,204.281242,264.0535323,503.7184278,852.4528376,0.03395191848,0.1479950202,0.07198977762,0.1263052895,0.7515427556,0.6725140695,0.97405155,0.9526420685
41,1,0.7803076422,0.2196923578,205.484609,274.9245822,496.3867979,864.2168774,0.02699009709,0.1110756017,0.05698444294,0.06606901844,0.7803076422,0.6870967432,0.9719144609,0.9574877896
42,1,0.7916174298,0.2083825702,205.2917768,268.1825842,504.8583445,855.3756384,0.03095810922,0.1339755227,0.07017517796,0.1173323884,0.7916174298,0.7138444406,0.9752763887,0.9563412899
43,1,0.7763043442,0.2236956558,205.3787015,268.6245674,493.5589093,861.6649219,0.03061603575,0.1525074503,0.06068086776,0.08004007311,0.7763043442,0.688207154,0.9758221295,0.9577830038
44,1,0.7471240152,0.2528759848,203.908404,266.1728642,504.6883262,850.1901423,0.0346968085,0.1235855897,0.05703282498,0.1056636836,0.7471240152,0.6617197393,0.9760725248,0.9627254743
