iter,beta,beta_omega,volume,N_pre,N_trial,drho_norm,drho_max,step_alpha,inner_iters,inner_cpu_time,inner_converged,omega_pre_1,omega_pre_2,omega_pre_3,omega_pre_4,omega_post_1,omega_post_2,omega_post_3,omega_post_4
28,30195.80952,173.7694148,0.4999000535,1,1,0.04252510737,0.09999048705,0.5,30,1.39584,0,154.0377046,178.5396619,355.9755109,534.1620653,157.6005012,178.4919779,355.2965988,544.6533893
29,26887.43741,163.9738925,0.4999089148,1,1,0.03965225523,0.0999727723,0.5,30,1.58417,0,157.6005012,178.4919779,355.2965988,544.6533893,156.974561,177.9959759,354.8457336,537.2884814
30,30066.46168,173.396833,0.4999205135,1,1,0.04036942475,0.09998827358,0.5,30,1.41751,0,156.974561,177.9959759,354.8457336,537.2884814,158.4418669,178.470872,352.7321259,543.5305915
31,29256.97171,171.0466945,0.499915804,1,1,0.04437286781,0.09999454083,0.5,30,1.56119,0,158.4418669,178.470872,352.7321259,543.5305915,155.3609037,180.3704962,355.4136809,539.8338455
32,30329.26201,174.1529845,0.499920613,1,1,0.04126722947,0.09999009459,0.5,30,1.48886,0,155.3609037,180.3704962,355.4136809,539.8338455,158.5893708,179.5940453,352.3297372,547.1921591
33,27376.87195,165.459578,0.4999265048,1,1,0.03948812723,0.09996796754,0.5,30,1.62015,0,158.5893708,179.5940453,352.3297372,547.1921591,157.2657829,180.0686302,354.2707461,542.0903525
34,30323.76823,174.1372109,0.4999306844,1,1,0.03962118243,0.09998861237,0.5,30,1.48421,0,157.2657829,180.0686302,354.2707461,542.0903525,159.1372676,179.9115112,350.8355807,547.5896754
35,28416.54152,168.5720663,0.4999191437,1,1,0.04184671885,0.09996848202,0.5,30,1.63334,0,159.1372676,179.9115112,350.8355807,547.5896754,156.3703751,181.8505891,355.4981198,544.6840256
36,30309.49055,174.0962106,0.4999263442,1,1,0.04048345231,0.09998920402,0.5,30,1.53344,0,156.3703751,181.8505891,355.4981198,544.6840256,159.0658923,180.4694113,350.0063132,548.8886014
37,27599.52205,166.1310388,0.4999301256,1,1,0.03900137636,0.09995144472,0.5,30,1.62272,0,159.0658923,180.4694113,350.0063132,548.8886014,157.3909026,181.4609768,353.6932969,545.2913352
38,30316.51622,174.116387,0.4999357377,1,1,0.03964742566,0.0999883147,0.5,30,1.60544,0,157.3909026,181.4609768,353.6932969,545.2913352,159.357894,180.2876721,348.5175678,548.1379874
39,28612.09195,169.1510921,0.4999177602,1,1,0.04191975548,0.0999819814,0.5,30,1.61537,0,159.357894,180.2876721,348.5175678,548.1379874,156.5131157,182.4495983,354.3364053,546.3141257
40,30276.22189,174.0006376,0.4999285528,1,1,0.04007306418,0.09998903671,0.5,30,1.56524,0,156.5131157,182.4495983,354.3364053,546.3141257,159.2366247,180.8818498,347.8287366,549.6598794
41,27632.79811,166.2311587,0.499930562,1,1,0.03875686257,0.09995051426,0.5,30,1.58996,0,159.2366247,180.8818498,347.8287366,549.6598794,157.6806374,181.8696999,352.3323709,546.8392396
42,30286.37573,174.0298128,0.4999372593,1,1,0.03906713697,0.09998811395,0.5,30,1.5859,0,157.6806374,181.8696999,352.3323709,546.8392396,159.5400001,180.8183792,346.4987883,549.2666972
43,28523.55582,168.8891821,0.4999202707,1,1,0.04121504701,0.09997633505,0.5,30,1.63499,0,159.5400001,180.8183792,346.4987883,549.2666972,156.8309475,182.8614425,353.3141393,547.8666972
44,30268.99625,173.9798731,0.499930842,1,1,0.03980339585,0.09998871796,0.5,30,1.62308,0,156.8309475,182.8614425,353.3141393,547.8666972,159.4040062,181.2161828,346.0850511,550.3790576
45,27693.40181,166.4133462,0.4999300715,1,1,0.03867637503,0.09995045108,0.5,30,1.60326,0,159.4040062,181.2161828,346.0850511,550.3790576,157.7192961,182.4129556,351.4602823,548.3448606
46,30288.91984,174.037122,0.4999353113,1,1,0.03926093909,0.0999879475,0.5,30,1.61114,0,157.7192961,182.4129556,351.4602823,548.3448606,159.6076987,180.9950764,344.8590639,549.58198
47,28618.92024,169.1712749,0.4999151234,1,1,0.0414714414,0.09997388602,0.5,30,1.56025,0,159.6076987,180.9950764,344.8590639,549.58198,156.7982064,183.1737766,352.2464551,548.8353854
48,30256.24895,173.9432349,0.4999285999,1,1,0.03972738591,0.0999887326,0.5,30,1.62575,0,156.7982064,183.1737766,352.2464551,548.8353854,159.4616016,181.4923011,344.5582894,550.9650277
49,27685.83265,166.3906026,0.4999281565,1,1,0.03853422527,0.09994941104,0.5,30,1.59432,0,159.4616016,181.4923011,344.5582894,550.9650277,157.9067865,182.5962778,350.2105407,549.2727781
50,30245.54175,173.9124543,0.4999364785,1,1,0.03894886389,0.09998784016,0.5,30,1.60374,0,157.9067865,182.5962778,350.2105407,549.2727781,159.717754,181.3107887,343.3801985,550.2861755
51,28633.474,169.2142843,0.4999218786,1,1,0.0411784511,0.09997335284,0.5,30,1.6759,0,159.717754,181.3107887,343.3801985,550.2861755,156.9915058,183.4545305,351.2539365,549.9546683
52,30261.15152,173.9573267,0.4999312201,1,1,0.03964994952,0.09998860559,0.5,30,1.67251,0,156.9915058,183.4545305,351.2539365,549.9546683,159.5520634,181.675162,343.1577035,551.2715996
53,27757.2097,166.604951,0.4999289763,1,1,0.03861737057,0.09994990573,0.5,30,1.65691,0,159.5520634,181.675162,343.1577035,551.2715996,157.8541424,182.9829325,349.1916914,550.1898257
54,30250.45422,173.9265771,0.4999351035,1,1,0.03903861608,0.09998785153,0.5,30,1.68698,0,157.8541424,182.9829325,349.1916914,550.1898257,159.7465647,181.5200986,341.9198534,550.5979455
55,28513.95874,168.8607673,0.4999164234,1,1,0.04087512017,0.09997306836,0.5,30,1.51875,0,159.7465647,181.5200986,341.9198534,550.5979455,157.0884371,183.6294635,350.4272187,550.6239706
56,30260.63701,173.9558479,0.4999266281,1,1,0.03975106639,0.09998845912,0.5,30,1.62823,0,157.0884371,183.6294635,350.4272187,550.6239706,159.6046584,181.7605908,341.8918229,551.3476694
57,27844.72362,166.8673833,0.4999255894,1,1,0.03889746012,0.09995041908,0.5,30,1.58701,0,159.6046584,181.7605908,341.8918229,551.3476694,157.7701746,183.2799943,348.4259021,550.9703986
58,30255.9331,173.9423269,0.4999339479,1,1,0.03932886444,0.09998784461,0.5,30,1.61249,0,157.7701746,183.2799943,348.4259021,550.9703986,159.7458716,181.5214694,340.7009807,550.4697208
59,28632.49929,169.2114041,0.4999154645,1,1,0.04111540647,0.09999129867,0.5,30,1.56247,0,159.7458716,181.5214694,340.7009807,550.4697208,157.0188103,183.7336024,349.4876451,551.0369107
60,30253.78138,173.9361417,0.4999265285,1,1,0.03982650184,0.09998851268,0.5,30,1.61915,0,157.0188103,183.7336024,349.4876451,551.0369107,159.6003,181.8022383,340.7076346,551.2438268
61,27855.87487,166.9007935,0.4999259051,1,1,0.03890762784,0.09995015231,0.5,30,1.58641,0,159.6003,181.8022383,340.7076346,551.2438268,157.785507,183.3874346,347.7015725,551.3999309
62,30246.80556,173.9160877,0.4999336815,1,1,0.03930429695,0.09998783471,0.5,30,1.58595,0,157.785507,183.3874346,347.7015725,551.3999309,159.7626931,181.6008952,339.7172877,550.4511236
63,28546.48407,168.957048,0.4999130093,1,1,0.0410712993,0.0999671087,0.5,30,1.61761,0,159.7626931,181.6008952,339.7172877,550.4511236,157.036573,183.8621206,348.6773742,551.43354
64,30250.93466,173.9279583,0.4999261162,1,1,0.03966101236,0.09998851578,0.5,30,1.6457,0,157.036573,183.8621206,348.6773742,551.43354,159.6236577,181.9957148,339.7780816,551.5554775
65,27809.14665,166.7607467,0.4999244509,1,1,0.03866712213,0.09994920261,0.5,30,1.57837,0,159.6236577,181.9957148,339.7780816,551.5554775,157.8970361,183.4795669,346.9224497,551.8573734
66,30222.18928,173.8453027,0.4999339694,1,1,0.03905703502,0.09998771513,0.5,30,1.60049,0,157.8970361,183.4795669,346.9224497,551.8573734,159.8151906,181.8415471,338.7901643,550.8384507
67,28504.0963,168.8315619,0.4999164009,1,1,0.04081256753,0.09996671553,0.5,30,1.60769,0,159.8151906,181.8415471,338.7901643,550.8384507,157.1583034,184.016579,347.934884,552.0732711
68,30251.60418,173.929883,0.4999278884,1,1,0.03968342398,0.09998838053,0.5,30,1.6553,0,157.1583034,184.016579,347.934884,552.0732711,159.6663011,182.0510005,338.864388,551.5287696
69,27882.9153,166.9817813,0.4999252155,1,1,0.03883147946,0.09994970703,0.5,30,1.584,0,159.6663011,182.0510005,338.864388,551.5287696,157.8181449,183.7259423,346.2151411,552.4099784
70,30240.0194,173.8965767,0.4999330803,1,1,0.03930808585,0.09998776289,0.5,30,1.61478,0,157.8181449,183.7259423,346.2151411,552.4099784,159.7980558,181.8517488,337.8605722,550.6819093
71,28550.2559,168.9682097,0.4999130395,1,1,0.04095757756,0.09996924558,0.5,30,1.56697,0,159.7980558,181.8517488,337.8605722,550.6819093,157.1061089,184.0879244,346.9194977,552.3367911
72,30240.44303,173.8977948,0.499926204,1,1,0.03967624088,0.09998843102,0.5,30,1.62352,0,157.1061089,184.0879244,346.9194977,552.3367911,159.6652823,182.156102,337.9208856,551.6756995
73,27866.06734,166.9313252,0.4999246983,1,1,0.03873647105,0.09994971247,0.5,30,1.58581,0,159.6652823,182.156102,337.9208856,551.6756995,157.8833157,183.7797636,345.5871841,552.750958
74,30224.67006,173.8524376,0.4999343942,1,1,0.03926895335,0.09998770652,0.5,30,1.62668,0,157.8833157,183.7797636,345.5871841,552.750958,159.8270304,181.9456748,337.0855254,550.7905627
75,28607.7373,169.1382195,0.4999180078,1,1,0.04104284287,0.09997079157,0.5,30,1.60828,0,159.8270304,181.9456748,337.0855254,550.7905627,157.1433943,184.2249035,346.3239829,552.7833085
76,30231.89188,173.8732063,0.4999297431,1,1,0.03957841759,0.09998844825,0.5,30,1.55167,0,157.1433943,184.2249035,346.3239829,552.7833085,159.6873094,182.3665429,337.2099419,552.1212697
77,27812.94546,166.7721364,0.4999271489,1,1,0.03844645198,0.09994860669,0.5,30,1.57681,0,159.6873094,182.3665429,337.2099419,552.1212697,158.0110004,183.8599248,344.9025226,553.1332243
78,30202.61329,173.7889907,0.4999349327,1,1,0.03900461766,0.09998757436,0.5,30,1.59955,0,158.0110004,183.8599248,344.9025226,553.1332243,159.8821566,182.2090748,336.3749234,551.2592039
79,28617.79959,169.1679627,0.4999182793,1,1,0.04090719313,0.09997444739,0.5,30,1.5771,0,159.8821566,182.2090748,336.3749234,551.2592039,157.2336419,184.3722133,345.5410248,553.3228676
80,30219.59736,173.8378479,0.4999292628,1,1,0.03960770181,0.09998832568,0.5,30,1.6709,0,157.2336419,184.3722133,345.5410248,553.3228676,159.7231601,182.4605493,336.3838924,552.1737538
