iter,track_id,track_mac,mode1_tracking_loss,omega_1,omega_2,omega_3,omega_4,ld_strain_frac_1,ld_strain_frac_2,ld_strain_frac_3,ld_strain_frac_4,mac_best_1,mac_best_2,mac_best_3,mac_best_4
1,NaN,NaN,NaN,83.3546179,260.4903347,447.0493956,550.5263068,0,0,0,0,NaN,NaN,NaN,NaN
2,1,0.9998150173,0.0001849826894,95.24761205,246.657665,474.8494266,552.9827054,0,0,0,0,0.9998150173,0.9742321516,0.9590209784,0.9904663556
3,1,0.9995045565,0.0004954435376,105.4230433,226.2397153,501.3516453,526.7477493,0,0,0,0,0.9995045565,0.9981750409,0.9770646103,0.9910836104
4,1,0.9995199835,0.0004800165319,114.6747175,203.791998,487.7898733,501.2114741,0,0,0,0,0.9995199835,0.9936828468,0.9407722327,0.9896551177
5,1,0.9996973998,0.0003026001701,121.8281444,181.5669905,454.9022475,486.3320834,0.004555422786,0.1473651194,0.1693640721,0.1150437166,0.9996973998,0.9822058287,0.9269038261,0.9613697034
6,1,0.9997345031,0.0002654969043,127.6680185,172.3645151,409.8452086,458.0493035,0.008254469047,0.1672351597,0.7379476411,0.1988139101,0.9997345031,0.9981813389,0.9838756274,0.3111754374
7,1,0.9996678326,0.0003321674347,128.6531592,170.1934959,386.8944086,465.0177312,0.01557678686,0.1817243407,0.7927303169,0.2765415102,0.9996678326,0.9995532446,0.9955955995,0.9924449079
8,1,0.9997515563,0.0002484436666,130.6858012,170.3553256,387.960449,488.8997971,0.0135963325,0.1434368286,0.7744113777,0.2638313469,0.9997515563,0.9996521893,0.992536235,0.9897146158
9,1,0.9995903595,0.0004096405175,130.5261335,174.4421111,470.6589623,531.9884953,0.007944659183,0.07052740402,0.05040822677,0.1877263723,0.9995903595,0.9977484178,0.2567061133,0.9755178257
10,1,0.9989868611,0.001013138856,132.1794543,174.6443133,360.2510554,446.7682556,0.06598854373,0.131904776,0.9457290163,0.7394521071,0.9989868611,0.9985168784,0.2377129473,0.7594673472
11,1,0.9813000644,0.01869993562,135.6224937,179.2188169,211.0790492,249.1240582,0.6958854784,0.3023485983,0.9935184046,0.9773088754,0.9813000644,0.9960709525,0.9452142425,0.9250211001
12,1,0.9861738539,0.01382614607,137.1651101,181.4667326,303.3426364,305.7418644,0.1728582543,0.2684923568,0.9981236449,0.9982779428,0.9861738539,0.9917589544,0.138711569,0.3056809691
13,1,0.9998681093,0.0001318907102,143.5880618,188.0579459,507.0065932,579.1698117,0.02774460776,0.1024805376,0.2867607137,0.9999954157,0.9998681093,0.9998046208,0.757209688,0.3273405357
