k,max_abs_density_error,mean_abs_density_error,rms_density_error,max_relative_density_error,n_changed,n_single_equal_single_0p1,n_cross_rho_eff_0p1
664,2.97251887548811e-08,3.22039581100673e-09,7.08293593074525e-09,5.74533306616289e-08,780,0,0
665,2.96033987323696e-08,3.25238564246292e-09,7.15406082187079e-09,5.88631799125189e-08,781,21,21
666,2.95648677761662e-08,3.26220000747506e-09,7.17366647980944e-09,5.63572322039345e-08,779,0,0
667,2.96033987323696e-08,3.29439161174962e-09,7.1964848453705e-09,5.46653081118553e-08,782,18,18
668,2.95648677761662e-08,3.27685482471749e-09,7.19850910025059e-09,5.63572322039345e-08,783,0,0
669,2.97510197588835e-08,3.32330622775369e-09,7.24159263251923e-09,5.46653081118553e-08,782,20,20
670,2.95648677761662e-08,3.33948872363972e-09,7.27199552774593e-09,5.43454113410182e-08,783,0,0
671,2.97510197588835e-08,3.35710599649542e-09,7.30866786094017e-09,5.88631799125189e-08,779,24,24
672,2.95648677761662e-08,3.35528695136689e-09,7.31394616985721e-09,5.63572322039345e-08,781,0,0
673,2.96033987323696e-08,3.40582657444518e-09,7.3730919989219e-09,5.88631799125189e-08,783,21,21
674,2.95648677761662e-08,3.34625073141156e-09,7.30111831833927e-09,5.43454113410182e-08,780,0,0
675,2.91979644906348e-08,3.35480769094576e-09,7.34889876079008e-09,5.88631799125189e-08,776,24,24
676,2.95648677761662e-08,3.32843713540855e-09,7.29259968338328e-09,5.63572322039345e-08,785,0,0
677,2.91979644906348e-08,3.34892303888462e-09,7.39391394472787e-09,5.88631799125189e-08,780,22,22
678,2.95648677761662e-08,3.34815538257768e-09,7.34353425150283e-09,5.70865533342605e-08,782,0,0
679,2.91979644906348e-08,3.42136996928796e-09,7.4246362815624e-09,5.88631799125189e-08,780,21,21
680,2.95648677761662e-08,3.42655155242248e-09,7.43520838490911e-09,5.70865533342605e-08,786,0,0
681,2.95595550259264e-08,3.45798229953826e-09,7.50539689660847e-09,5.88631799125189e-08,782,21,21
682,2.96433874114044e-08,3.44457629990513e-09,7.46818564754252e-09,5.70865533342605e-08,782,0,0
683,2.94431735659018e-08,3.41258129579379e-09,7.43105198358516e-09,5.88631799125189e-08,779,22,22
684,2.97251887548811e-08,3.3802313592644e-09,7.41166018486005e-09,5.74533306616289e-08,782,0,0
685,2.91979644906348e-08,3.40125694730646e-09,7.4210119061299e-09,5.88631799125189e-08,775,26,26
686,2.96668205557182e-08,3.43100647215683e-09,7.49554522440629e-09,5.63572322039345e-08,779,0,0
687,2.91979644906348e-08,3.41088851268927e-09,7.3840553915617e-09,5.88631799125189e-08,783,22,22
688,2.97251887548811e-08,3.42811252729615e-09,7.47270215869392e-09,5.74533306616289e-08,778,0,0
689,2.96033987323696e-08,3.46628290969867e-09,7.51922465058228e-09,5.88631799125189e-08,777,25,25
690,2.96433874114044e-08,3.48116936074654e-09,7.54053597017441e-09,5.70865533342605e-08,780,0,0
691,2.96670247257325e-08,3.49498803448223e-09,7.52313554779388e-09,5.43454115451033e-08,779,23,23
692,2.97251887548811e-08,3.44449506381102e-09,7.48998325294331e-09,5.74533306616289e-08,778,0,0
693,2.96670247257325e-08,3.46515905660009e-09,7.49861134637331e-09,5.88631799125189e-08,780,21,21
694,2.96668205557182e-08,3.42504267450939e-09,7.4827493437648e-09,5.63572322039345e-08,779,0,0
695,2.96670247257325e-08,3.4436511126339e-09,7.46710156691657e-09,5.43454115451033e-08,783,18,18
696,2.96668205557182e-08,3.40790887219185e-09,7.37767038798267e-09,5.63572322039345e-08,784,0,0
697,2.96670247257325e-08,3.45975631866461e-09,7.51056626052664e-09,5.43454115451033e-08,778,20,20
698,2.97251887548811e-08,3.3846322746348e-09,7.36387323823106e-09,5.74533306616289e-08,782,0,0
699,2.96670247257325e-08,3.41581766446678e-09,7.46945137084271e-09,5.69400258441116e-08,776,22,22
700,2.96668205557182e-08,3.36991557933202e-09,7.3304130152795e-09,5.63572322039345e-08,781,0,0
701,2.96670247257325e-08,3.35699337861177e-09,7.38816604614906e-09,5.69400258441116e-08,777,22,22
702,2.96668205557182e-08,3.32931113016179e-09,7.28066632691874e-09,5.63572322039345e-08,780,0,0
703,2.96670247257325e-08,3.36402290311507e-09,7.38082002591565e-09,5.43454115451033e-08,776,23,23
704,2.96668205557182e-08,3.36868977017221e-09,7.33122710267538e-09,5.55022391069792e-08,781,0,0
705,2.96670247257325e-08,3.36115726107503e-09,7.36280429251865e-09,5.43454115451033e-08,777,23,23
706,2.97229982848535e-08,3.33998419571129e-09,7.29300928484893e-09,5.63572322039345e-08,780,0,0
707,2.96033987323696e-08,3.32921389774883e-09,7.25885370486222e-09,5.88631799125189e-08,778,23,23
708,2.97251887548811e-08,3.33322381311672e-09,7.29288404712404e-09,5.74533306616289e-08,784,0,0
709,2.96033987323696e-08,3.26788485394168e-09,7.17603745260738e-09,5.88631799125189e-08,779,19,19
710,2.97251887548811e-08,3.28387372660996e-09,7.21179970639429e-09,5.74533306616289e-08,783,0,0
711,2.96033987323696e-08,3.25465831521108e-09,7.17128765552529e-09,5.88631799125189e-08,778,19,19
712,2.97251887548811e-08,3.28551104640555e-09,7.22688106960641e-09,5.74533306616289e-08,782,0,0
713,2.96033987323696e-08,3.26891365580416e-09,7.15229881961293e-09,5.88631799125189e-08,781,17,17
714,2.97117080938492e-08,3.22146562059528e-09,7.14873301261092e-09,5.43454113410182e-08,781,0,0
715,2.96670247257325e-08,3.29153811659197e-09,7.24445882319617e-09,5.43454115451033e-08,776,23,23
716,2.97229982848535e-08,3.28838593907047e-09,7.30009934117309e-09,5.43454113410182e-08,778,0,0
717,2.96670247257325e-08,3.27734527459331e-09,7.23933573935876e-09,5.43454115451033e-08,778,21,21
718,2.97229982848535e-08,3.26824282928004e-09,7.30269449455992e-09,5.43454113410182e-08,776,0,0
719,2.96670247257325e-08,3.26363345149497e-09,7.18945594822767e-09,5.43454115451033e-08,779,19,19
720,2.97229982848535e-08,3.2611504831951e-09,7.29458836355752e-09,5.43454113410182e-08,777,0,0
721,2.97121919290433e-08,3.30249927001559e-09,7.33714340192369e-09,5.43454115451033e-08,774,21,21
722,2.97229982848535e-08,3.2600033770017e-09,7.2864425058522e-09,5.43626983417077e-08,781,0,0
723,2.97121919290433e-08,3.26475779819805e-09,7.28213865605574e-09,5.43454115451033e-08,781,20,20
724,2.96307015590358e-08,3.25041822067604e-09,7.30394467345734e-09,5.43626983417077e-08,778,0,0
725,2.97121919290433e-08,3.30291259113725e-09,7.24473031169007e-09,5.43454115451033e-08,783,18,18
726,2.96307015590358e-08,3.23161625025166e-09,7.21360344916526e-09,5.43626983417077e-08,778,0,0
727,2.97121919290433e-08,3.29278191368112e-09,7.22626411357724e-09,5.43454115451033e-08,779,17,17
728,2.96307015590358e-08,3.24369934724501e-09,7.25670275492499e-09,5.43626983417077e-08,779,0,0
729,2.96382824949148e-08,3.27622848378815e-09,7.2205282806523e-09,5.43454115451033e-08,775,22,22
730,2.96307015590358e-08,3.30410842158559e-09,7.30352464027129e-09,5.43626983417077e-08,781,0,0
731,2.96382824949148e-08,3.28819537164568e-09,7.25518798882601e-09,5.43454115451033e-08,782,19,19
732,2.96307015590358e-08,3.27402491813427e-09,7.31502572478197e-09,5.43626983417077e-08,777,0,0
733,2.96382824949148e-08,3.26426666427498e-09,7.24908729358106e-09,5.43454115451033e-08,782,19,19
734,2.97251887548811e-08,3.26536629923982e-09,7.32269951418373e-09,5.74533306616289e-08,777,0,0
735,2.96949367317723e-08,3.3450246064854e-09,7.36855891893885e-09,5.53890366176587e-08,776,20,20
736,2.96502460361836e-08,3.27339637440804e-09,7.23855525787961e-09,5.71264364039748e-08,783,0,0
737,2.96949367317723e-08,3.32982053013051e-09,7.32370095720749e-09,5.53890366176587e-08,777,20,20
738,2.9568326898044e-08,3.28039700301254e-09,7.27894107857134e-09,5.43454113410182e-08,783,0,0
739,2.97121919290433e-08,3.23785374767404e-09,7.22419656502869e-09,5.88631799125189e-08,779,19,19
740,2.96502460361836e-08,3.21358551797002e-09,7.19419456447388e-09,5.71264364039748e-08,780,0,0
741,2.96949367317723e-08,3.20552912339614e-09,7.21446907992655e-09,5.43454115451033e-08,778,17,17
742,2.96502460361836e-08,3.21006804198442e-09,7.16572128044337e-09,5.71264364039748e-08,782,0,0
743,2.97121919290433e-08,3.24640395508096e-09,7.23557389880252e-09,5.88631799125189e-08,777,18,18
744,2.96502460361836e-08,3.27786220664967e-09,7.38374644730443e-09,5.71264364039748e-08,780,0,0
745,2.97121919290433e-08,3.29365968543709e-09,7.31386143294217e-09,5.88631799125189e-08,782,17,17
746,2.95017090756744e-08,3.23425183433835e-09,7.25737425355508e-09,5.84121060526528e-08,780,0,0
747,2.97399528337294e-08,3.2464336820979e-09,7.25801351813572e-09,5.88631799125189e-08,776,18,18
748,2.95017090756744e-08,3.25724683332515e-09,7.30589167388099e-09,5.84121060526528e-08,781,0,0
749,2.96670247257325e-08,3.24480449634841e-09,7.26441281060586e-09,5.88631799125189e-08,775,19,19
750,2.95017090756744e-08,3.25716259289478e-09,7.2613391953118e-09,5.43454113410182e-08,783,0,0
751,2.97121919290433e-08,3.23730105951547e-09,7.2362452572647e-09,5.88631799125189e-08,777,18,18
752,2.96285987966272e-08,3.26626213403438e-09,7.26127150386443e-09,5.84121060526528e-08,778,0,0
753,2.97121919290433e-08,3.27701999103441e-09,7.33609968462118e-09,5.88631799125189e-08,782,17,17
754,2.96285987966272e-08,3.29884857567752e-09,7.33274415758522e-09,5.84121060526528e-08,777,0,0
755,2.97731517218125e-08,3.28215463799037e-09,7.37455151202653e-09,5.88631799125189e-08,781,21,21
756,2.96502460361836e-08,3.23225528271309e-09,7.28477751453559e-09,5.71264364039748e-08,774,0,0
757,2.97731517218125e-08,3.23621065868284e-09,7.22809879910163e-09,5.88631799125189e-08,785,18,18
758,2.95879407641308e-08,3.25385212926369e-09,7.3150460525873e-09,5.84121060526528e-08,778,0,0
759,2.93050506083858e-08,3.29165895642679e-09,7.31823121553372e-09,5.56942778934322e-08,779,16,16
760,2.94634376896141e-08,3.27978728553885e-09,7.35812963350603e-09,5.84121060526528e-08,781,0,0
761,2.97731517218125e-08,3.26796092003768e-09,7.36896538463445e-09,5.88631799125189e-08,773,22,22
762,2.95879407641308e-08,3.2952380455581e-09,7.390322872579e-09,5.55022391069792e-08,777,0,0
763,2.97731517218125e-08,3.29175523484273e-09,7.33945558684156e-09,5.88631799125189e-08,781,19,19
764,2.95879407641308e-08,3.27754988536622e-09,7.32938407424493e-09,5.84121060526528e-08,776,0,0
765,2.97731517218125e-08,3.27560974275389e-09,7.33577272821974e-09,5.88631799125189e-08,772,22,22
766,2.95879407641308e-08,3.27992484473717e-09,7.3619469926357e-09,5.84121060526528e-08,778,0,0
767,2.97731517218125e-08,3.230795214632e-09,7.25620273431973e-09,5.90902014134065e-08,775,19,19
768,2.95879407641308e-08,3.21872807147371e-09,7.2762479194347e-09,5.55022391069792e-08,776,0,0
769,2.96670247257325e-08,3.33139792737458e-09,7.44859577853983e-09,5.90902014134065e-08,777,14,14
770,2.95357458490741e-08,3.21180272806709e-09,7.23355805912401e-09,5.43454113410182e-08,782,0,0
771,2.96670247257325e-08,3.28468843090079e-09,7.40416161883338e-09,5.90902014134065e-08,774,17,17
772,2.95879407641308e-08,3.24071843000768e-09,7.30159250246975e-09,5.43454113410182e-08,782,0,0
773,2.97731517218125e-08,3.3071041486312e-09,7.47688095836347e-09,5.90902014134065e-08,771,20,20
774,2.96153113144015e-08,3.3253385473434e-09,7.49143400037769e-09,5.84121060526528e-08,772,0,0
775,2.97879680921653e-08,3.38774137082091e-09,7.5174174042283e-09,5.88631799125189e-08,778,17,17
776,2.96153113144015e-08,3.31025646947706e-09,7.43296412593793e-09,5.84121060526528e-08,778,0,0
777,2.97315789765662e-08,3.25564477951593e-09,7.33364539297757e-09,5.90902014134065e-08,778,16,16
778,2.9515237698341e-08,3.25618588142554e-09,7.32055553189801e-09,5.52458967312595e-08,783,0,0
779,2.97731517218125e-08,3.32555517341456e-09,7.48943052174747e-09,5.90902014134065e-08,775,15,15
780,2.96962420209823e-08,3.24706191677871e-09,7.34490773246035e-09,5.52458967312595e-08,782,0,0
781,2.97590225795119e-08,3.23828675536944e-09,7.37935265372453e-09,5.90902014134065e-08,771,22,22
782,2.96153113144015e-08,3.26168118846985e-09,7.39388475977643e-09,5.52458967312595e-08,777,0,0
783,2.97590225795119e-08,3.25252686034627e-09,7.33739143559281e-09,5.90902014134065e-08,777,21,21
784,2.96613932304624e-08,3.25243947561252e-09,7.28154438156225e-09,5.52458967312595e-08,775,0,0
785,2.97590225795119e-08,3.18920744260071e-09,7.2784137279462e-09,5.90902014134065e-08,769,25,25
786,2.96613932304624e-08,3.23141945625003e-09,7.31716465436874e-09,5.52458967312595e-08,776,0,0
787,2.97590225795119e-08,3.22968700821174e-09,7.30615319511925e-09,5.90902014134065e-08,775,22,22
788,2.96613932304624e-08,3.26787818632871e-09,7.34676685567608e-09,5.52458967312595e-08,775,0,0
789,2.97879680921653e-08,3.35520010251174e-09,7.45891041606026e-09,5.90902014134065e-08,776,19,19
790,2.96307015590358e-08,3.2976525566115e-09,7.39785760892428e-09,5.55022391069792e-08,780,0,0
791,2.97879680921653e-08,3.36189666658308e-09,7.43480100461357e-09,5.53890366176587e-08,778,19,19
792,2.96307015590358e-08,3.27234045882742e-09,7.36089072884045e-09,5.52458967312595e-08,782,0,0
793,2.97590225795119e-08,3.2192327818144e-09,7.29066266243141e-09,5.88631799125189e-08,774,18,18
794,2.96307015590358e-08,3.18608659153266e-09,7.19432063937801e-09,5.52458967312595e-08,782,0,0
795,2.97590225795119e-08,3.17332874105638e-09,7.21914533281682e-09,5.88631799125189e-08,771,19,19
796,2.96307015590358e-08,3.22007350555092e-09,7.23777466871913e-09,5.52458967312595e-08,781,0,0
797,2.97590225795119e-08,3.18861839556793e-09,7.28213908978414e-09,5.88631799125189e-08,769,20,20
798,2.9691060832171e-08,3.21585904434142e-09,7.31998180659298e-09,5.52458967312595e-08,777,0,0
799,2.97590225795119e-08,3.17073645986102e-09,7.21417210810712e-09,5.88631799125189e-08,776,18,18
800,2.9691060832171e-08,3.18885217752045e-09,7.20601418888494e-09,5.52458967312595e-08,775,0,0
801,2.97731517218125e-08,3.19166228057613e-09,7.17057685071565e-09,5.53890366176587e-08,777,16,16
802,2.97399541659971e-08,3.19667082963258e-09,7.29214580370866e-09,5.52458967312595e-08,780,0,0
803,2.97731517218125e-08,3.23509438061608e-09,7.30012351280701e-09,5.53890366176587e-08,778,17,17
804,2.97399541659971e-08,3.17272953664467e-09,7.28344191143443e-09,5.52458967312595e-08,778,0,0
805,2.97731517218125e-08,3.23315261301886e-09,7.19409614573488e-09,5.53890366176587e-08,779,17,17
806,2.97399541659971e-08,3.19262141036205e-09,7.20613736998615e-09,5.43454113410182e-08,784,0,0
807,2.97315789765662e-08,3.15705042678441e-09,7.13776387351946e-09,5.43454113410182e-08,774,19,19
808,2.97399541659971e-08,3.14824329527717e-09,7.08317731766685e-09,5.43454113410182e-08,774,0,0
809,2.97731517218125e-08,3.12393573692162e-09,7.10345723565112e-09,5.74398630682108e-08,773,18,18
810,2.96307015590358e-08,3.14564311934436e-09,7.17841286958673e-09,5.43454113410182e-08,776,0,0
811,2.97731517218125e-08,3.15611315969247e-09,7.09778098742284e-09,5.43454113410182e-08,770,15,15
812,2.96153113144015e-08,3.1689787653699e-09,7.15325023208474e-09,5.43454113410182e-08,772,0,0
813,2.97731517218125e-08,3.27566202059891e-09,7.23689410853901e-09,5.43454113410182e-08,781,14,14
814,2.96307015590358e-08,3.24603804895956e-09,7.22098339356501e-09,5.43454113410182e-08,782,0,0
815,2.96670247257325e-08,3.25922739154987e-09,7.26263651417036e-09,5.53890366176587e-08,780,17,17
816,2.96307015590358e-08,3.21381736463258e-09,7.20681524177115e-09,5.43454113410182e-08,786,0,0
817,2.96670247257325e-08,3.2043135182047e-09,7.14675185099674e-09,5.53890366176587e-08,774,18,18
818,2.96307015590358e-08,3.19271742617895e-09,7.1137396839609e-09,5.43454113410182e-08,785,0,0
819,2.97731517218125e-08,3.20992187540218e-09,7.17203440893879e-09,5.54997395790864e-08,773,17,17
820,2.96307015590358e-08,3.19479165433572e-09,7.21225508895616e-09,5.43454113410182e-08,781,0,0
821,2.97731517218125e-08,3.21370726515519e-09,7.23472239942827e-09,5.54997395790864e-08,776,17,17
822,2.96307015590358e-08,3.17888237645865e-09,7.18565915810116e-09,5.43454113410182e-08,779,0,0
823,2.97731517218125e-08,3.19268864415037e-09,7.22061838207856e-09,5.54997395790864e-08,776,17,17
824,2.96307015590358e-08,3.17388550907752e-09,7.19360349221808e-09,5.43454113410182e-08,778,0,0
825,2.97731517218125e-08,3.20766072896468e-09,7.26156679727394e-09,5.54997395790864e-08,775,17,17
826,2.96307015590358e-08,3.19010116034521e-09,7.21170058599932e-09,5.43454113410182e-08,779,0,0
827,2.96720504833203e-08,3.19878294649728e-09,7.20647644862434e-09,5.88631799125189e-08,769,21,21
828,2.96064851523781e-08,3.2003259989515e-09,7.19661367312658e-09,5.55022391069792e-08,774,0,0
829,2.95396769267597e-08,3.23865222332182e-09,7.22107639942331e-09,5.88631799125189e-08,779,20,20
830,2.96064851523781e-08,3.17662965724944e-09,7.20322870420261e-09,5.52458967312595e-08,775,0,0
831,2.96720504833203e-08,3.15654248825396e-09,7.1013054644964e-09,5.74398630682108e-08,770,22,22
832,2.96064851523781e-08,3.13518052529075e-09,7.08087672309e-09,5.55022391069792e-08,775,0,0
833,2.89943186126962e-08,3.1830306734099e-09,7.13455908569551e-09,5.74398630682108e-08,780,21,21
834,2.96064851523781e-08,3.12805854706408e-09,7.11564105539346e-09,5.43454113410182e-08,775,0,0
835,2.96670247257325e-08,3.17270890574514e-09,7.16593588471821e-09,5.43454113410182e-08,778,14,14
836,2.96064851523781e-08,3.09893160152677e-09,7.09985757288083e-09,5.43454113410182e-08,779,0,0
837,2.96670247257325e-08,3.17987067942131e-09,7.16029529337878e-09,5.88631799125189e-08,772,17,17
838,2.96064851523781e-08,3.14032819244001e-09,7.20197950301236e-09,5.43454113410182e-08,779,0,0
839,2.96670247257325e-08,3.23844165589023e-09,7.24901293853644e-09,5.88631799125189e-08,773,17,17
840,2.96064851523781e-08,3.19091159037038e-09,7.20089720632383e-09,5.43454113410182e-08,778,0,0
841,2.96479171213448e-08,3.1683014291574e-09,7.18544102144359e-09,5.43454113410182e-08,773,15,15
842,2.97738932397706e-08,3.14305574293997e-09,7.19539063789012e-09,5.55022391069792e-08,778,0,0
843,2.96670247257325e-08,3.23259435737408e-09,7.24870902620233e-09,5.43454113410182e-08,771,13,13
844,2.97738932397706e-08,3.2155315853828e-09,7.26617592805588e-09,5.55022391069792e-08,780,0,0
845,2.96670247257325e-08,3.22843267894664e-09,7.24600396290525e-09,5.39815642919692e-08,775,16,16
846,2.97738932397706e-08,3.2574821666524e-09,7.34089899044718e-09,5.71410296678562e-08,773,0,0
847,2.9801164203036e-08,3.28116436454711e-09,7.32268706588531e-09,5.43454113410182e-08,783,13,13
848,2.97738932397706e-08,3.22188288088506e-09,7.30956194214575e-09,5.71410296678562e-08,774,0,0
849,2.97315789765662e-08,3.20018074358999e-09,7.18744194645895e-09,5.09108259473107e-08,773,14,13
850,2.97738932397706e-08,3.14604727987697e-09,7.13635229022206e-09,5.71410296678562e-08,780,0,0
851,2.9801164203036e-08,3.15576805953237e-09,7.16544782738705e-09,5.43454113410182e-08,770,15,14
852,2.97237245927562e-08,3.21827776329714e-09,7.25222273427284e-09,5.71410296678562e-08,776,0,0
853,2.96670247257325e-08,3.26807215215321e-09,7.26908071687872e-09,5.43454113410182e-08,772,14,14
854,2.96064851523781e-08,3.25329832602878e-09,7.2943166348199e-09,5.55022391069792e-08,777,0,0
855,2.96670247257325e-08,3.30283709713107e-09,7.34399309393748e-09,5.43454113410182e-08,776,16,16
856,2.96064851523781e-08,3.25951320806863e-09,7.30470773896097e-09,5.55022391069792e-08,780,0,0
857,2.95222435386933e-08,3.23426627015636e-09,7.2190431223582e-09,5.88631799125189e-08,772,16,16
858,2.96064851523781e-08,3.17693121683324e-09,7.18173350160193e-09,5.55022391069792e-08,775,0,0
859,2.96670247257325e-08,3.29594581572011e-09,7.36661937643549e-09,5.88631799125189e-08,775,14,13
860,2.96064851523781e-08,3.29701122284663e-09,7.44206997025871e-09,5.57820859143745e-08,772,0,0
861,2.95432275310148e-08,3.31079707740007e-09,7.39351624498441e-09,5.43454113410182e-08,767,19,19
862,2.93936266437811e-08,3.32281910207373e-09,7.39566782078775e-09,5.57820859143745e-08,772,0,0
863,2.96962406887147e-08,3.34733635591086e-09,7.49917797401524e-09,5.43454113410182e-08,774,17,17
864,2.97237245927562e-08,3.35130912258773e-09,7.48182601924638e-09,5.63572322039345e-08,774,0,0
865,2.96962406887147e-08,3.30222335199614e-09,7.36966252618784e-09,5.43454113410182e-08,771,17,17
866,2.97237245927562e-08,3.31564401722925e-09,7.38896548055119e-09,5.63572322039345e-08,773,0,0
867,2.96962406887147e-08,3.33262575826538e-09,7.49337286461465e-09,5.54723118208124e-08,767,15,15
868,2.96811265565466e-08,3.31315323850521e-09,7.46910692410868e-09,5.71410296678562e-08,770,0,0
869,2.96473701144606e-08,3.29243787414894e-09,7.44307905307313e-09,5.66554004802281e-08,766,14,14
870,2.96811265565466e-08,3.34179245552224e-09,7.49309022692861e-09,5.71410296678562e-08,770,0,0
871,2.96727029613919e-08,3.34291738868214e-09,7.44507710034706e-09,5.88631799125189e-08,772,17,16
872,2.97237245927562e-08,3.34398367377808e-09,7.46261739843868e-09,5.71410296678562e-08,772,0,0
873,2.96727029613919e-08,3.30292898471267e-09,7.43934092380381e-09,5.88631799125189e-08,765,18,17
874,2.97237245927562e-08,3.33652155755877e-09,7.47631329043177e-09,5.71410296678562e-08,773,0,0
875,2.96727029613919e-08,3.31032536376806e-09,7.44465820821587e-09,5.88631799125189e-08,768,17,16
876,2.97237245927562e-08,3.25504695957468e-09,7.3497393381751e-09,5.71410296678562e-08,772,0,0
877,2.96727029613919e-08,3.2421796454303e-09,7.30741272762827e-09,5.88631799125189e-08,765,18,17
878,2.97237245927562e-08,3.22515628543934e-09,7.26262419015721e-09,5.71410296678562e-08,773,0,0
879,2.96727029613919e-08,3.25947857932548e-09,7.35162312306666e-09,5.55741617850246e-08,763,18,17
880,2.96811265565466e-08,3.28209709325195e-09,7.36322134626411e-09,5.71410296678562e-08,775,0,0
881,2.93777617788038e-08,3.24151549868178e-09,7.26292748516332e-09,5.55741617850246e-08,770,20,19
882,2.97237245927562e-08,3.23815192697711e-09,7.30850106113135e-09,5.71410296678562e-08,771,0,0
883,2.95495817814739e-08,3.25138557697997e-09,7.31496062369538e-09,5.55741617850246e-08,768,17,16
884,2.96064851523781e-08,3.25760942857094e-09,7.34242231446379e-09,5.71410296678562e-08,772,0,0
885,2.95495817814739e-08,3.25050849892253e-09,7.31751910211383e-09,5.55741617850246e-08,771,18,17
886,2.96811265565466e-08,3.22186805002181e-09,7.3313397364792e-09,5.71410296678562e-08,768,0,0
887,2.95536446426325e-08,3.29972850691425e-09,7.45199425238515e-09,5.55741617850246e-08,768,20,19
888,2.97237245927562e-08,3.1855790169877e-09,7.26609500503187e-09,5.71410296678562e-08,772,0,0
889,2.95536446426325e-08,3.27135156413357e-09,7.38896817381666e-09,5.55741617850246e-08,762,22,21
890,2.96064851523781e-08,3.24350339340934e-09,7.32395418138252e-09,5.71410296678562e-08,768,0,0
891,2.95536446426325e-08,3.27509961142266e-09,7.371680260016e-09,5.55741617850246e-08,774,19,18
892,2.96064851523781e-08,3.22555387910546e-09,7.30612653255866e-09,5.71410296678562e-08,770,0,0
893,2.96732138860278e-08,3.19675609015527e-09,7.22336729937639e-09,5.88631799125189e-08,772,17,17
894,2.96811265565466e-08,3.14560166819052e-09,7.19734650386372e-09,5.71410296678562e-08,776,0,0
895,2.95536446426325e-08,3.16476207697234e-09,7.2323699147708e-09,5.88631799125189e-08,769,20,20
896,2.96064851523781e-08,3.13347862852921e-09,7.16164798503792e-09,5.71410296678562e-08,771,0,0
897,2.95536446426325e-08,3.21315913900162e-09,7.2713618919766e-09,5.88631799125189e-08,768,21,20
898,2.96064851523781e-08,3.17757827505532e-09,7.2094652027636e-09,5.71410296678562e-08,772,0,0
899,2.96732138860278e-08,3.20281634610624e-09,7.20449107096349e-09,5.88631799125189e-08,771,21,20
900,2.96829679724553e-08,3.18023176487265e-09,7.18671651821047e-09,5.71410296678562e-08,771,0,0
901,2.95432275310148e-08,3.14472436851802e-09,7.0485920149064e-09,5.7706688115211e-08,772,15,14
902,2.96829679724553e-08,3.16310343918103e-09,7.16070935599868e-09,5.71410296678562e-08,772,0,0
903,2.96732138860278e-08,3.17807863797306e-09,7.26267618711011e-09,5.51525410400971e-08,769,19,18
904,2.96064851523781e-08,3.17166208854822e-09,7.28065755510036e-09,5.71410296678562e-08,767,0,0
905,2.96732138860278e-08,3.18504906985788e-09,7.26082401677392e-09,5.88631799125189e-08,763,17,16
906,2.96064851523781e-08,3.21580353388965e-09,7.32486262745749e-09,5.71410296678562e-08,771,0,0
907,2.97462511289481e-08,3.19724924274269e-09,7.30840366344106e-09,5.88631799125189e-08,771,18,17
908,2.96064851523781e-08,3.21293266295523e-09,7.3563929994774e-09,5.71410296678562e-08,769,0,0
909,2.97315789765662e-08,3.21956771240698e-09,7.36383958207161e-09,5.88631799125189e-08,771,14,14
910,2.97738697030425e-08,3.23414882231994e-09,7.36229133047581e-09,5.77281063748445e-08,772,0,0
911,2.97462511289481e-08,3.23687724984647e-09,7.45069779182567e-09,5.88631799125189e-08,774,16,15
912,2.97738697030425e-08,3.27182557244108e-09,7.47657970547045e-09,5.77281063748445e-08,773,0,0
913,2.97315789765662e-08,3.25809294260858e-09,7.43565896038621e-09,5.88631799125189e-08,775,16,16
914,2.97738697030425e-08,3.27591316714396e-09,7.51291805401718e-09,5.77281063748445e-08,770,0,0
915,2.97462511289481e-08,3.24629704344482e-09,7.41282980611129e-09,5.88631799125189e-08,777,16,15
916,2.97738697030425e-08,3.27564881914432e-09,7.4515393995812e-09,5.77281063748445e-08,769,0,0
917,2.96732138860278e-08,3.26580272935791e-09,7.38935192173608e-09,5.88631799125189e-08,773,15,14
918,2.97738697030425e-08,3.29167446897576e-09,7.47852413461522e-09,5.77281063748445e-08,771,0,0
919,2.96732138860278e-08,3.25799669346761e-09,7.34807203936668e-09,5.88631799125189e-08,774,16,15
920,2.97738697030425e-08,3.30166916120487e-09,7.43481644111441e-09,5.77281063748445e-08,770,0,0
921,2.97461455467385e-08,3.32072988316928e-09,7.4893331513469e-09,5.43454115451033e-08,770,16,15
922,2.97738697030425e-08,3.36291890050578e-09,7.54256038477899e-09,5.77281063748445e-08,771,0,0
923,2.97461455467385e-08,3.31999350997782e-09,7.44485009413364e-09,5.43454115451033e-08,774,16,16
924,2.97738697030425e-08,3.31756572000208e-09,7.50856810762798e-09,5.77281063748445e-08,771,0,0
925,2.97461455467385e-08,3.298054689511e-09,7.40707857517629e-09,5.51525410400971e-08,773,16,15
926,2.97738697030425e-08,3.32839007023403e-09,7.5116948593187e-09,5.77281063748445e-08,770,0,0
927,2.97461455467385e-08,3.33252314533839e-09,7.51196111345626e-09,5.51525410400971e-08,772,14,13
928,2.97738697030425e-08,3.3358975152442e-09,7.54636085912155e-09,5.77281063748445e-08,770,0,0
929,2.97461455467385e-08,3.32912175770812e-09,7.47519706089435e-09,5.51525410400971e-08,772,14,13
930,2.97738697030425e-08,3.33350745925773e-09,7.52073806750573e-09,5.77281063748445e-08,770,0,0
