mesh,k,representation,evaluator,batch_schedule,final_requested,escalation,mode,lambda,omega,residual,eigenpair_valid,diagnostic_finite,voidKE,voidSE,densityParticipation,IPR,pass_KE,pass_SE,pass_P,valid_structural,selected
96x12,5,single,E1,3,3,0,1,5230.7270022212624,72.323765127524041,2.3947489483161036e-11,1,1,0,0,0.50726691834650994,0.0012846897521419619,1,1,1,1,1
96x12,5,single,E1,3,3,0,2,70570.607930288606,265.65129009716594,6.3953061354419992e-12,1,1,0,0,0.50350117443626408,0.0012352096817713752,1,1,1,1,0
96x12,5,single,E1,3,3,0,3,196466.04509479419,443.24490419495424,6.5424666693452229e-13,1,1,0,0,0.50469868118077321,0.00101111335376192,1,1,1,1,0
96x12,5,double,E2,3,3,0,1,5230.7005841749933,72.323582489911217,2.4467380898442255e-11,1,1,0,0,0.50726693802081346,0.0012846897571254497,1,1,1,1,1
96x12,5,double,E2,3,3,0,2,70570.23411594503,265.65058651534167,6.3988748932473209e-12,1,1,0,0,0.50350119199249432,0.001235209703142566,1,1,1,1,0
96x12,5,double,E2,3,3,0,3,196464.88183363309,443.24359198259492,6.4710670601395855e-13,1,1,0,0,0.5046987004804141,0.0010111134046296121,1,1,1,1,0
96x12,5,single,E2,3,3,0,1,5230.7000971418656,72.323579122868807,2.551256440146815e-11,1,1,0,0,0.50726692047288857,0.0012846897536514844,1,1,1,1,1
96x12,5,single,E2,3,3,0,2,70570.228138760271,265.65057526525379,6.3731317035304074e-12,1,1,0,0,0.50350117613674128,0.0012352097008893855,1,1,1,1,0
96x12,5,single,E2,3,3,0,3,196464.87005385928,443.24357869444572,6.9127515066566106e-13,1,1,0,0,0.50469868389349282,0.0010111133982799439,1,1,1,1,0
96x12,5,double,E3,3,3,0,1,5230.7005572904272,72.323582304048159,2.4347379993870202e-11,1,1,0,0,0.50726693802294265,0.001284689757127058,1,1,1,1,1
96x12,5,double,E3,3,3,0,2,70570.233735836839,265.65058579991279,6.3018764981219933e-12,1,1,0,0,0.50350119199419696,0.0012352097031616968,1,1,1,1,0
96x12,5,double,E3,3,3,0,3,196464.88065745705,443.243590655812,7.3754450938847307e-13,1,1,0,0,0.50469870048312937,0.0010111134046741788,1,1,1,1,0
96x12,5,single,E3,3,3,0,1,5230.7000703119647,72.323578937383658,2.713783425128575e-11,1,1,0,0,0.50726692047501687,0.0012846897536529765,1,1,1,1,1
96x12,5,single,E3,3,3,0,2,70570.227758688095,265.65057454989267,6.7538090223760015e-12,1,1,0,0,0.50350117613844347,0.001235209700908515,1,1,1,1,0
96x12,5,single,E3,3,3,0,3,196464.86887772262,443.24357736770719,6.8235836655507473e-13,1,1,0,0,0.50469868389620787,0.0010111133983244979,1,1,1,1,0
96x12,6,double,E1,3,3,0,1,5340.2703206906908,73.077153205982853,2.5541590769551185e-11,1,1,0,0,0.50886658812808716,0.0012867918265221509,1,1,1,1,1
96x12,6,double,E1,3,3,0,2,71726.459364636146,267.81795937658131,5.6482719166679022e-12,1,1,0,0,0.50432871447700101,0.0012367928060449329,1,1,1,1,0
