outer,omega1,omega2,gap12,volume,Mnd_pct,gray_frac,mid_frac,move,stage,beta,l2,rms,maxAbs,tolOuter,epsRMS,stopRaw,settledMove,stopAdmitted,moveDescent,nActive_epsRMS,nActive_1e4,nActive_1e3,nActive_1e2,nInner,innerConv,multN,degen
99,164.193981287558,176.796141425724,0.0767516570299579,0.499990558461486,28.7531702845408,0.32203125,0.13640625,0.04,1,26985.5334749941,0.407869077599277,0.00360508738258439,0.0384481617817879,0.1,0.000883883476483184,0,1,0,0,3678,4944,3474,310,15,1,2,1
100,164.292172769469,176.988388429422,0.0772782747098244,0.499991522384636,28.4834237015109,0.32015625,0.13421875,0.04,1,27029.4519884536,0.470670945341691,0.0041601827144824,0.0378327731987621,0.1,0.000883883476483184,0,1,0,0,3704,4780,3546,490,15,1,2,1
101,164.395050515442,177.447036338394,0.0793940315236337,0.499991165731342,28.2689486867434,0.31703125,0.13390625,0.04,1,27051.8130311884,0.406992743916335,0.003597341613962,0.039176159307058,0.1,0.000883883476483184,0,1,0,0,3632,4900,3466,288,15,1,2,1
102,164.482684402056,177.6385509963,0.07998329211412,0.499992116667553,28.0047308094018,0.313125,0.13234375,0.04,1,27091.3799831182,0.474755047180275,0.0041962814157964,0.0354716103784865,0.1,0.000883883476483184,0,1,0,0,3772,4750,3622,516,16,1,2,1
103,164.576588527911,178.106001573674,0.0822073975817587,0.499992187967531,27.7358207185587,0.31140625,0.13046875,0.04,1,27121.0493168853,0.478424957324762,0.0042287191451653,0.0385201756497423,0.1,0.000883883476483184,0,1,0,0,3728,4652,3602,514,16,1,2,1
104,164.681543432802,178.577632786966,0.0843815831725769,0.499992946942856,27.5088211425224,0.30890625,0.13,0.04,1,27149.310831957,0.411487550744343,0.00363707046881461,0.0375950330183045,0.1,0.000883883476483184,0,1,0,0,3550,4826,3384,300,15,1,2,1
105,164.766167212986,178.83060308,0.085359974713948,0.499993465691274,27.2918459188747,0.3059375,0.1296875,0.04,1,27176.1662096561,0.407768060228414,0.00360419450673495,0.0381787294885288,0.1,0.000883883476483184,0,1,0,0,3580,4726,3434,312,16,1,2,1
106,164.847341708287,179.0780063825,0.0863263218365685,0.499992924879857,27.0935338877428,0.30359375,0.129375,0.04,1,27198.3511953885,0.386306936358407,0.00341450317898037,0.0379589883433281,0.1,0.000883883476483184,0,1,0,0,3650,4710,3502,240,16,1,2,1
107,164.922984893603,179.260643256739,0.0869354770190818,0.499993684023323,26.8655240597894,0.3015625,0.12765625,0.04,1,27230.0853323002,0.429672173496531,0.003797801344582,0.0383263295524304,0.1,0.000883883476483184,0,1,0,0,3690,4680,3572,388,16,1,2,1
108,164.992043867529,179.689208929937,0.0890780229027775,0.499993898898197,26.6845518719245,0.3,0.12640625,0.04,1,27242.2250583104,0.356644562806221,0.00315232236041988,0.0353971093911321,0.1,0.000883883476483184,0,1,0,0,3576,4716,3432,206,16,1,2,1
109,165.056895809141,179.853732942575,0.0896468884919739,0.499994936900804,26.496790243052,0.29796875,0.1253125,0.04,1,27267.0883049941,0.356074597541979,0.00314728453162755,0.0360728182215904,0.1,0.000883883476483184,0,1,0,0,3480,4608,3314,254,16,1,2,1
110,165.117448994976,180.078038935316,0.0906057477958919,0.499993412098551,26.3255326730103,0.29578125,0.125,0.04,1,27282.6212541401,0.345782502120256,0.00305631440081106,0.0367000427029131,0.1,0.000883883476483184,0,1,0,0,3494,4580,3348,198,16,1,2,1
111,165.17644194024,180.264138049999,0.0913429053957797,0.499994786969244,26.1417927701984,0.293125,0.12421875,0.04,1,27304.5165044337,0.360448972376209,0.00318594890798675,0.0361347741227453,0.1,0.000883883476483184,0,1,0,0,3552,4498,3412,226,17,1,2,1
112,165.238382170948,180.470418093958,0.0921821898937032,0.499993224460491,25.9677062422283,0.2915625,0.1234375,0.04,1,27322.4551456792,0.349724076551914,0.00309115332592577,0.0355360337974785,0.1,0.000883883476483184,0,1,0,0,3516,4558,3368,194,16,1,2,1
113,165.296366412992,180.651565667928,0.0928949594485953,0.499995187429287,25.7858607517946,0.2890625,0.12203125,0.04,1,27343.8117481649,0.353466842564104,0.00312423501627095,0.0350768365483101,0.1,0.000883883476483184,0,1,0,0,3532,4504,3394,202,17,1,2,1
114,165.351302379007,180.830009647741,0.0936110393207199,0.499995065268939,25.6137851375129,0.286875,0.12109375,0.04,1,27359.8558363112,0.340422745111228,0.00300894039422861,0.0323270345479926,0.1,0.000883883476483184,0,1,0,0,3528,4482,3410,188,17,1,2,1
115,165.403432099349,181.003085377256,0.0943127544568595,0.49999524844447,25.4506122846646,0.28546875,0.120625,0.04,1,27376.2558295138,0.327876335293075,0.00289804475095409,0.0357014118397591,0.1,0.000883883476483184,0,1,0,0,3518,4464,3394,178,17,1,2,1
116,165.450795383202,181.189335183651,0.0951251987879343,0.499995647983247,25.291163459109,0.28375,0.11984375,0.04,1,27390.7204989601,0.321886610366818,0.00284510256204411,0.0333588631177496,0.1,0.000883883476483184,0,1,0,0,3498,4452,3404,168,17,1,2,1
117,165.498391230711,181.358909280396,0.095834877497841,0.499995950162349,25.135890473208,0.28265625,0.11828125,0.04,1,27405.7821922229,0.312107131637555,0.00275866336546997,0.0330798518267103,0.1,0.000883883476483184,0,1,0,0,3488,4418,3382,168,17,1,2,1
118,165.542543346468,181.529931701833,0.0965757081664746,0.499996010283625,24.9844776180237,0.28125,0.11625,0.04,1,27419.5908920147,0.307580490032029,0.00271865312827911,0.0333811709735875,0.1,0.000883883476483184,0,1,0,0,3460,4396,3356,156,17,1,2,1
119,165.582883820582,181.698915030443,0.0973290888406287,0.499996249349882,24.8282406394232,0.27953125,0.1146875,0.04,1,27433.1823500027,0.313331328892178,0.00276948384272315,0.0294935416319146,0.1,0.000883883476483184,0,1,0,0,3474,4398,3376,156,18,1,2,1
120,165.623011212227,181.869480737476,0.0980930693527326,0.499996364377137,24.6863341019825,0.27734375,0.113125,0.04,1,27444.7641197157,0.293062963900267,0.00259033511360634,0.0298206384647125,0.1,0.000883883476483184,0,1,0,0,3420,4386,3316,140,17,1,2,1
121,165.660508154272,182.02930564435,0.0988092918007596,0.499996415287771,24.5430658125849,0.27515625,0.11203125,0.04,1,27457.6697468782,0.294153927154611,0.00259997795754599,0.0319362991416131,0.1,0.000883883476483184,0,1,0,0,3408,4354,3276,134,17,1,2,1
122,165.699347149483,182.19303814106,0.0995398670864874,0.499996482246375,24.3993054879167,0.27359375,0.11046875,0.04,1,27470.5639344811,0.294939908561898,0.00260692511733323,0.0299578401819522,0.1,0.000883883476483184,0,1,0,0,3404,4348,3272,132,17,1,2,1
123,165.735823013857,182.356611999533,0.100284830903974,0.499996661272106,24.2513738895904,0.271875,0.10890625,0.04,1,27482.5671552668,0.298094862393565,0.002634811232942,0.0280826723951759,0.1,0.000883883476483184,0,1,0,0,3450,4352,3320,140,18,1,2,1
