outer,omega1,omega2,omega3,omega4,omega5,gap23,tOuter,tEig,tGrad,tInner,tOther,multN,multJ,degen,nInner,dxOuter,dxNorm2,move,stage,vol
1,68.215607617021135,251.35772414293928,385.39061710643767,506.24368860128612,794.93758555739282,0.5332356243298817,45.097420416666665,0.5118125,0.012640999999999999,44.562555208333336,0.010411708333329273,2,0,0,28,0.039999999999977838,6.7882250982630223,0.040000000000000001,1,0.50000000000000877
2,74.338889103775955,268.94687949906967,394.17000079684527,532.62596963668864,829.50517351689336,0.46560540702688752,36.266257833333334,0.29280604166666668,0.0091519583333333331,35.959816833333335,0.0044830000000004588,2,0,0,23,0.03999999999921678,6.7882249903817184,0.040000000000000001,1,0.50000000000004929
3,80.425944871020604,284.79617500918857,401.06226398086852,553.28569125940851,851.73164088249382,0.40824315483846924,36.67430816666667,0.29185529166666668,0.0088982499999999999,36.368858833333334,0.0046957916666698907,2,0,0,23,0.039999999896530976,6.7882190777129363,0.040000000000000001,1,0.50000000000751921
4,86.388549754224172,298.44725229022521,414.10048101619969,566.26748363727404,856.92982306759779,0.38751648017689716,35.106362666666669,0.28178433333333336,0.0088024999999999996,34.813420958333332,0.0023548750000017549,2,0,0,22,0.039999999999399537,6.7882250605486636,0.040000000000000001,1,0.50000000000003875
5,92.202907420434045,307.92082940760662,433.06610167487429,562.35826759357917,832.46351931474578,0.40642028831900834,69.506238624999995,0.28522262500000001,0.0089987083333333325,69.209868708333332,0.0021485833333230175,2,0,0,48,0.039999999998820986,6.7882250166798874,0.040000000000000001,1,0.50000000000006917
6,97.884783441644132,310.6649973027574,451.10034256353009,546.11196452062427,811.9901238605587,0.4520475318431576,40.456281875000002,0.26896999999999999,0.0087827083333333333,40.175238833333331,0.0032903333333322848,2,0,0,26,0.039999999998891873,6.788225039388883,0.040000000000000001,1,0.50000000000005607
7,103.40393540917339,303.55990497976939,470.40200787491284,518.23895825930492,784.21325649810171,0.54961837896958943,33.235846583333334,0.27805929166666665,0.0087981250000000004,32.946856875000002,0.0021322916666690617,2,0,0,21,0.039999999998685511,6.7882250162763711,0.040000000000000001,1,0.49999999999249856
8,108.8711270462487,283.02755983966381,487.74927869417564,496.33838561125413,780.76305776554364,0.72332785885052142,36.283590666666669,0.33486437499999999,0.0088275833333333331,35.93768145833333,0.0022172500000010587,2,1,0,23,0.039999999998931828,6.7882250133141993,0.040000000000000001,1,0.50000000001239886
9,114.27536797870617,251.84152178026986,468.08730885161089,510.43821044445588,758.11887421582719,0.85865819719757774,34.965503875000003,0.32657483333333331,0.009672416666666666,34.627139624999998,0.0021170000000054756,2,0,0,22,0.039999999999843612,6.7882250884879163,0.040000000000000001,1,0.50000000000013189
10,120.03216123528416,213.16604196014009,447.95822403551739,526.67550229721166,749.84904982870103,1.1014520883175243,37.707895291666667,0.33318508333333335,0.012272083333333333,37.3602305,0.0022076249999969377,2,0,0,23,0.039999999999962822,6.7882250909524426,0.040000000000000001,1,0.50000000000360767
11,126.0841851025199,177.40713637773158,433.98213016105433,547.80984543349143,591.87255240210288,1.446249564826009,36.35422320833333,0.32862316666666669,0.013258625,36.008636416666668,0.0037049999999965166,2,0,0,23,0.040000000000000001,6.7882250973525506,0.040000000000000001,1,0.49999999999828276
12,134.31252744508438,156.08780289458409,402.18428639670719,435.50391335333705,573.32639348686223,1.5766541583542408,49.53499875,0.27984100000000001,0.016384291666666665,49.236316333333335,0.0024571249999993938,2,0,0,32,0.040000000000000001,6.7882250993799698,0.040000000000000001,1,0.49999999999828471
13,140.82846783927423,150.45274992369318,327.84686270340467,438.79201569041913,602.60701303414839,1.1790685970823562,54.877431000000001,0.33811033333333335,0.020147999999999999,54.515450999999999,0.003721666666670842,2,0,0,23,0.039999999999977033,5.705126484914893,0.040000000000000001,1,0.50000000000000155
14,145.63204671181609,151.05957984093706,326.09019338891142,446.75881247178808,623.88483802375754,1.1586859551196842,54.461416791666664,0.57875108333333336,0.042811333333333333,53.834911083333331,0.0049432916666702909,2,0,0,23,0.040000000000000001,5.330065665613561,0.040000000000000001,1,0.50000000000000533
