outer,omega1,omega2,omega3,omega4,omega5,gap23,tOuter,tEig,tGrad,tInner,tOther,multN,multJ,degen,nInner,dxOuter,dxNorm2,move,stage,vol
1,68.14595542448825,250.48355182584436,371.61994250782027,502.73049630731583,785.8806216262966,0.48361016042362476,6.8023346250000003,1.2631262083333332,0.035375916666666667,5.4900782916666664,0.013754208333334184,2,0,1,15,0.039914423475312752,2.8332744152282343,0.040000000000000001,1,0.49978012248663656
2,70.469037792183641,255.39354115246897,387.27620671169916,513.14438800235075,804.95125959860104,0.51638997980961754,5.1431447500000003,1.1368377083333334,0.030836708333333334,3.9705317083333331,0.0049386250000007514,2,0,1,15,0.039891013517880262,2.8570918046103344,0.040000000000000001,1,0.49978282954230235
3,72.86271547427593,260.37172247816846,399.74446883369268,522.80623081512135,821.16815923651438,0.53528372831350868,4.1654492916666666,1.1125344583333334,0.029625291666666668,3.0189645416666666,0.0043250000000001343,2,0,1,15,0.039864320361768533,2.8415440659540683,0.040000000000000001,1,0.49978486563809121
4,75.270351047994623,265.29451850383822,409.59656162097212,531.70426245678846,834.97002250403978,0.54393149142674868,4.1881479583333334,1.2824426666666666,0.030081541666666666,2.8724199166666669,0.0032038333333335167,2,0,1,15,0.039834137339701189,2.8296815868005112,0.040000000000000001,1,0.4997864310214547
5,77.698924188524956,270.18631587570388,417.39038062687763,540.0143587476814,846.91028783360036,0.54482427903156017,4.0783939166666663,1.2888414166666666,0.030010583333333334,2.7564285000000002,0.0031134166666659802,2,0,1,15,0.039800520458833456,2.8199512009471004,0.040000000000000001,1,0.49978765004719755
6,80.152644285211025,275.05319989102611,423.62284072953003,547.83033631903697,857.31758303269316,0.54014874539676694,3.9047564583333334,1.2870703333333333,0.030777291666666668,2.5838506250000002,0.0030582083333330345,2,0,1,15,0.03975596767651704,2.8115543318659157,0.040000000000000001,1,0.4997887477014471
7,82.634236718695462,279.89057245124889,428.69255455150636,555.19806662068538,866.38255163247618,0.53164342334601389,3.736685875,1.290942375,0.030556208333333335,2.4120702500000002,0.0031170416666661538,2,0,1,15,0.039174276786298041,2.8040381078585201,0.040000000000000001,1,0.49978971038366898
8,85.144886146483245,284.68235617895914,432.9508318419044,562.12135527025225,874.18145755107628,0.5208207408882749,3.8243699583333335,1.2886257083333332,0.029847958333333334,2.5024008333333332,0.0034954583333339784,2,0,1,16,0.038051079109452282,2.9512609548916688,0.040000000000000001,1,0.49979118238690978
9,87.825449876661096,289.65744076391883,436.7437691289947,568.90974202830478,881.0306954955048,0.50779406176192965,3.9138980416666667,1.32429475,0.031998375000000003,2.5544007083333335,0.003204208333333014,2,0,1,17,0.036950874630073342,3.0972557822369113,0.040000000000000001,1,0.49979304500778526
10,90.680947291113426,294.77548902661914,440.35385912110769,575.46465209305165,886.73908388115206,0.49386185593383025,3.7470044583333335,1.2879523333333334,0.033831,2.4219727083333331,0.0032484166666670866,2,0,1,17,0.035043329896559623,3.0873008601365894,0.040000000000000001,1,0.49979429573819928
11,93.570290068486415,299.73050092717148,443.8692490003113,581.3723695420515,890.87033278756837,0.48089449564614933,3.7259508750000001,1.2783706666666668,0.037837083333333334,2.4060815,0.0036616249999998907,2,0,1,17,0.03494126112375999,3.0766770234344549,0.040000000000000001,1,0.49979572180818377
12,96.491641071030202,304.46499894257039,447.46690298088379,586.56324649920737,893.33749232574689,0.46968257282436293,3.7234892916666666,1.2879811666666667,0.038691708333333331,2.3932063750000001,0.0036100416666666746,2,0,1,17,0.034832981869583876,3.0647642896815617,0.040000000000000001,1,0.49979738215221625
13,99.44190436795769,308.90839667206615,451.25894797121668,590.95595152764861,894.03723061584969,0.46081800570241011,3.6980097916666668,1.2826804999999999,0.042721374999999999,2.368776875,0.0038310416666664793,2,0,1,17,0.034711100200692485,3.0506658789584877,0.040000000000000001,1,0.49979932531690158
14,102.41662009712499,312.97637524989477,455.31561713442386,594.46281674295915,892.86344127948587,0.45479228830252405,3.7274074166666669,1.2947013333333333,0.041155791666666663,2.3876715000000002,0.0038787916666667144,2,0,1,17,0.034574620119321428,3.0336279475133692,0.040000000000000001,1,0.49980161206498125
15,105.40690663782777,316.54591638271529,459.2467601688349,596.93496453777118,889.6095742857018,0.45080614343983261,3.7918850833333333,1.2899782500000001,0.038183000000000002,2.460058375,0.0036654583333328716,2,0,1,17,0.034027471085196041,3.0081558360360137,0.040000000000000001,1,0.49980461455483144
16,108.39695418993578,319.5056340391871,463.08673444993485,598.24549802120589,884.21912244370526,0.44938519110163061,3.7622401249999999,1.2981366666666667,0.038716291666666666,2.4217056666666665,0.0036814999999998932,2,0,1,17,0.032604863310915229,2.9148193814858976,0.040000000000000001,1,0.49981560007828085
17,111.22928104509724,321.82555754548514,467.49765924996473,597.84178189971612,876.68759039657584,0.45264304928265697,4.000468708333333,1.2940404583333334,0.039005333333333336,2.6636951249999998,0.0037277916666664801,2,0,1,17,0.03144297867341414,2.8040546253897403,0.040000000000000001,1,0.49982855936091147
