iter,track_id,track_mac,mode1_tracking_loss,omega_1,omega_2,omega_3,omega_4,ld_strain_frac_1,ld_strain_frac_2,ld_strain_frac_3,ld_strain_frac_4,mac_best_1,mac_best_2,mac_best_3,mac_best_4
1,NaN,NaN,NaN,125.3299417,340.2059094,522.2666045,616.4484498,0,0,0,0,NaN,NaN,NaN,NaN
2,1,0.9979609999,0.002039000051,143.9926595,360.6872576,547.1837996,603.8304351,0,0,0,0,0.9979609999,0.9950641333,0.9972297502,0.9739257216
3,1,0.9983987851,0.001601214877,160.0490391,340.2217059,540.7190075,585.8471948,0,0,0,0,0.9983987851,0.9544962673,0.9994644901,0.9092064249
4,1,0.9994715117,0.0005284882858,176.0794528,263.7930808,492.0077009,618.970458,0,0,0,0,0.9994715117,0.8488275008,0.8451292517,0.9951682316
5,1,0.997389456,0.002610544011,190.1264557,243.7845091,498.0191133,516.4912068,0.006141427853,0.2967301875,0.06330656244,0.5739714805,0.997389456,0.9849290612,0.9874804249,0.008359057006
6,1,0.9015476438,0.09845235616,194.2984762,237.4560751,472.0766651,508.4865202,0.05876661267,0.2710280514,0.5916750307,0.06256892465,0.9015476438,0.8703203215,0.9871970808,0.9717665321
7,1,0.7262298716,0.2737701284,193.1166307,256.1738236,495.8080474,507.5885789,0.05077770647,0.2386921983,0.06422670526,0.5515325176,0.7262298716,0.6206472817,0.9311582996,0.9582286926
8,1,0.7503933695,0.2496066305,194.9030454,250.5859805,504.1274526,520.5441726,0.04626404515,0.2380054046,0.556727502,0.04692835194,0.7503933695,0.6611009639,0.9555537993,0.9329339901
9,1,0.7515204187,0.2484795813,195.7084247,258.4303004,496.9206094,537.0668522,0.05633886623,0.2651409951,0.07062079599,0.5454556519,0.7515204187,0.6290277223,0.9039876855,0.9507272561
10,1,0.6987298371,0.3012701629,194.7325987,250.762921,522.0507374,524.0250811,0.07713443535,0.2717084137,0.5407156086,0.04651478159,0.6987298371,0.5910780001,0.9451808713,0.8940080926
11,1,0.7191457835,0.2808542165,195.3760119,261.0454985,495.0380244,545.9820595,0.05305839061,0.2478008839,0.073795321,0.5576804729,0.7191457835,0.5892809076,0.8946047808,0.9447239416
12,1,0.7134021557,0.2865978443,195.1229704,251.4283762,524.3092409,531.0172343,0.05767978302,0.2473928575,0.05980111068,0.5518774633,0.7134021557,0.6052000296,0.944486733,0.8844365366
13,1,0.7164727608,0.2835272392,195.7199976,259.870755,495.3589842,558.1112603,0.06680865304,0.2971914351,0.08761591111,0.5484647981,0.7164727608,0.5857866292,0.9426686629,0.8726791262
14,1,0.6989152125,0.3010847875,195.1002959,251.3618787,525.2191358,536.2927018,0.07704353777,0.2767292897,0.0532469425,0.5669910205,0.6989152125,0.5881962431,0.9422789449,0.8767713159
15,1,0.7121517555,0.2878482445,195.357322,261.3107067,494.2536242,558.5377643,0.05345457549,0.2454532225,0.07502244796,0.5549351501,0.7121517555,0.5791548422,0.9412824822,0.8757719717
16,1,0.7084558024,0.2915441976,195.0925264,251.7512387,524.9881124,545.8390079,0.05794839794,0.2444312198,0.0561920196,0.5436892737,0.7084558024,0.5977604043,0.941310023,0.8619610168
17,1,0.7055812237,0.2944187763,195.6431455,258.9731928,495.0208268,568.883901,0.06733801632,0.319103527,0.07448783142,0.5507126513,0.7055812237,0.5715942984,0.9396596925,0.8523313173
