mesh,legacy_outer,legacy_inner,legacy_omega1,legacy_M_nd,three_outer,three_inner,three_omega1,three_M_nd,delta_outer,delta_inner,delta_omega1,delta_M_nd,density_L1,threshold_flip_fraction
160x20,91,2241.0,169.49522702153845,13.402499279526733,180,4283,169.97512028959605,12.756141959540171,89,2042.0,0.47989326805759447,-0.6463573199865618,0.01141588220451742,0.01375
240x30,104,2334.0,167.0703947342768,15.603643178690026,284,5506,167.0393810208395,12.91652409156148,180,3172.0,-0.031013713437289425,-2.687119087128547,0.043537961047414905,0.044444444444444446
320x40,131,2614.0,165.95078925220545,23.359567952074237,352,6498,166.42630441353683,12.940093529981493,221,3884.0,0.47551516133137284,-10.419474422092744,0.08045044525939066,0.05453125
400x50,139,2918.0,162.88877984265557,32.328325623321305,466,8848,166.45229843313905,15.373230197122789,327,5930.0,3.5635185904834827,-16.95509542619852,0.13269101453568113,0.1525
