metric,subset,n,C,p,R2_log,C_CI95_lo,C_CI95_hi,p_CI95_lo,p_CI95_hi,RMSE_log
runtime_total_s,all9,9,0.037018567270551535,0.9825065636647999,0.9800214097023433,0.010445127854285767,0.1311974675544127,0.8571309076400144,1.1078822196895854,0.14186205901038712
runtime_total_s,fine5,5,0.12175530394691651,0.8765448854234682,0.8532437972019054,8.862452886043202e-05,167.2714566703283,0.20860668713542874,1.5444830837115076,0.13125999490556475
runtime_total_s,fine4,4,1.4836350645467526,0.6503071383526422,0.664011492602165,3.007421554685119e-07,7319136.890947489,-0.7570821193842083,2.0576963960894927,0.1230369852607468
eigen_s,all9,9,2.5032073787599833e-05,1.4074725810123416,0.990244081385379,7.100031136686062e-06,8.825379861648189e-05,1.2826146830309777,1.5323304789937056,0.14127621783166167
eigen_s,fine5,5,4.373589519992694e-06,1.5710110164719298,0.9441520034827467,2.2013583524211815e-09,0.008689310065465496,0.8689699335638602,2.273052099379999,0.13796172939681478
eigen_s,fine4,4,4.379954036883734e-06,1.5708794347755526,0.8800589624884531,1.7807056788066448e-14,1077.3255565776865,-0.19350073149965885,3.335259601050764,0.15424589559638924
gradient_s,all9,9,1.4466697864067154e-05,1.1600522961298794,0.9917707610218182,5.5775337183460766e-06,3.752291920742797e-05,1.065610361615254,1.2544942306445048,0.10686067544500422
gradient_s,fine5,5,1.577587232005993e-05,1.1541821683490028,0.9282260301181144,2.676799899011027e-08,0.009297600001807542,0.5644817574498004,1.7438825792482051,0.1158850820762004
gradient_s,fine4,4,0.00013862067160527782,0.9575314882532091,0.8443991459992235,1.5649593911940152e-10,122.78715156715538,-0.2930340521484287,2.208097028654847,0.10932711978306428
inner_s,all9,9,0.04347423232233854,0.9607297621463368,0.9784579839621869,0.012017987513819665,0.1572650057959634,0.833324769843004,1.0881347544496696,0.14415824498481764
inner_s,fine5,5,0.1999548763989072,0.8238213208424208,0.8295803914508999,0.00011963233783928993,334.20689855123203,0.13775827413094244,1.509884367553899,0.13482180274620387
inner_s,fine4,4,3.0283867305532164,0.577906697730888,0.6091216311031025,6.066459267887991e-07,15117757.79710078,-0.8305640535215926,1.9863774489833685,0.12313153174176558
outer,all9,9,10.529729084718102,0.2651341832002503,0.8931558705865997,4.60475133443504,24.078432589490017,0.1831763350548789,0.34709203134562167,0.09273498108488008
outer,fine5,5,57.837642020416055,0.10905113781835751,0.12651272299157332,0.1944384041591244,17204.383305595107,-0.41744094997213255,0.6355432256088476,0.10346368711705019
outer,fine4,4,451.97438713831485,-0.0769878435335883,0.04426029299310493,0.0030115580184481364,67832279.96195848,-1.1654319318891488,1.0114562448219724,0.09515411498272938
inner_MMA,all9,9,302.56835973018724,0.23686014628063282,0.8571594600468563,126.49339306850479,723.7343397076615,0.15044297568923942,0.3232773168720262,0.09778068679874542
inner_MMA,fine5,5,761.5788098391255,0.1539418576214831,0.2263506733422276,2.6610325882298773,217961.3606242217,-0.3689818852385223,0.6768656004814886,0.10276245317265612
inner_MMA,fine4,4,4407.206977035077,-0.0049165188833695,0.00017019947512214042,0.015555482228901131,1248657743.4635255,-1.1513871639622033,1.1415541261954643,0.10022692093534384
wall_per_outer_s,all9,9,0.0035156239037789656,0.7173723804645495,0.9846858544926739,0.0015687791803089305,0.0078784902221791,0.6374155985580984,0.7973291623710007,0.0904707825484968
wall_per_outer_s,fine5,5,0.0021051221954024083,0.7674937476051106,0.9891761019700243,0.000426844736833084,0.010382087619154112,0.6199807317559034,0.9150067634543178,0.028988546782469978
wall_per_outer_s,fine4,4,0.003282564469947978,0.7272949818862311,0.9778300792413489,8.544648264693042e-05,0.12610500942313443,0.39411242043069633,1.060477543341766,0.02912753360705841
eigen_per_outer_s,all9,9,2.3772761470120898e-06,1.1423383978120916,0.9876337191748453,7.505280900409739e-07,7.529953847355821e-06,1.028095425878815,1.256581369745368,0.12926547098359056
eigen_per_outer_s,fine5,5,7.561839257639294e-08,1.4619598786535721,0.9723233863427213,5.617394161331273e-10,1.0179348522843074e-05,1.008762883500927,1.9151568738062172,0.08906008883369947
eigen_per_outer_s,fine4,4,9.690712928702621e-09,1.6478672783091413,0.9717032701906927,8.272083083917821e-13,0.00011352632234690581,0.7923184136466116,2.503416142971671,0.07479391538102495
gradient_per_outer_s,all9,9,1.373890795069247e-06,0.8949181129296292,0.9958111996489301,8.139418416070144e-07,2.31905502369709e-06,0.8430437537200903,0.9467924721391681,0.058695632315214595
gradient_per_outer_s,fine5,5,2.7276133274055755e-07,1.0451310305306452,0.998529036265546,1.2289244219422339e-07,6.053972344436191e-07,0.9714268989268777,1.1188351621344126,0.014483980649146244
gradient_per_outer_s,fine4,4,3.0670028114415063e-07,1.0345193317867984,0.9967330732012242,4.2634813668358726e-08,2.2062970225600183e-06,0.8543253943308312,1.2147132692427656,0.015752940208238687
inner_per_outer_s,all9,9,0.004128713281468287,0.6955955789460865,0.9843542168941721,0.0018719522266513158,0.009106147645159856,0.6172178126808074,0.7739733452113655,0.08868413259452085
inner_per_outer_s,fine5,5,0.003457175455533346,0.7147701830240637,0.983340285467904,0.0005440591637754593,0.02196831323895314,0.5438281964198245,0.8857121696283029,0.033592695174986094
inner_per_outer_s,fine4,4,0.006700350322343452,0.6548945412644771,0.9692550384979933,0.0001375539342048687,0.32637884697113206,0.3000316300697824,1.009757452459172,0.031022876247085236
inner_s_per_MMA,all9,9,0.0001436840004060785,0.7238696158657035,0.9950162976927163,9.05176558935588e-05,0.00022807806685770643,0.6780834353436267,0.7696557963877804,0.05180688220525698
inner_s_per_MMA,fine5,5,0.0002625530986624311,0.669879463220937,0.9802506497022595,3.967017849939285e-05,0.0017376813572517547,0.4951746145668797,0.8445843118749944,0.0343321546859942
inner_s_per_MMA,fine4,4,0.0006871442041032871,0.5828232166142574,0.9785815616009033,3.8856790863850254e-05,0.012151470740009362,0.32048985260794,0.8451565806205747,0.022933744920399828
