mesh,endpoint,window_steps,omega1_change_postupdate,omega1_change_pct_postupdate,omega1_change_preupdate,omega1_change_pct_preupdate,M_nd_change,density_net_L1,amp_over_tol,max_abs_drho,medcos,mednet,stage_start,window_crosses_stage
160x20,historical_S3,20,0.028313625031557876,0.01666028658451335,0.03145770453883756,0.01851050455439207,-0.02028841626005029,0.00045769775656409286,0.10355194206462318,0.0015547927189726097,0.5681067723829708,0.8703066340589276,142,False
160x20,historical_S3,50,0.20718947473309868,0.12204276375320511,0.10427236802124185,0.06138278398950536,-0.1506332111136932,0.0020346233291866876,0.10355194206462318,0.0015547927189726097,0.5681067723829708,0.8703066340589276,142,True
160x20,historical_S3,100,0.7734567956582907,0.4571212715565265,0.8216655115939488,0.48574727168904097,-0.617155538626199,0.012945068712275241,0.10355194206462318,0.0015547927189726097,0.5681067723829708,0.8703066340589276,142,True
240x30,historical_S3,20,0.0011064937178275613,0.0006624192694593134,0.0008765020434680082,0.0005247334220914723,-0.00155786565735061,0.00024269512802950995,0.047710572371152525,0.00033830824015797754,0.78613360885388,0.8920278532743366,246,False
240x30,historical_S3,50,0.0007121388694599773,0.0004263317435526659,-0.00043224102125805075,-0.00025876669071944747,0.003938788923438241,0.000955874397419527,0.047710572371152525,0.00033830824015797754,0.78613360885388,0.8920278532743366,246,True
240x30,historical_S3,100,-0.015637899593343718,-0.009360927731716373,4.088150998882156e-05,2.4474315241107547e-05,0.09133494661944797,0.005419301898299687,0.047710572371152525,0.00033830824015797754,0.78613360885388,0.8920278532743366,246,True
320x40,historical_S3,20,-0.0027805389006232417,-0.0016707049140030072,0.0002871097866261607,0.00017251396551287712,0.008077100684963923,0.00015613539698587024,0.03273705295769494,0.00023279896162325698,0.5941707234454476,0.7527244130517496,314,False
320x40,historical_S3,50,0.008588527020350512,0.0051608249606038825,0.009400621341768556,0.005648805274138802,-0.04031995011209155,0.0006920420000280988,0.03273705295769494,0.00023279896162325698,0.5941707234454476,0.7527244130517496,314,True
320x40,historical_S3,100,-0.005616144339882112,-0.0033744394230761365,-0.020828737510129258,-0.0125136530597314,-0.09795649979542076,0.004542950666626691,0.03273705295769494,0.00023279896162325698,0.5941707234454476,0.7527244130517496,314,True
400x50,historical_S3,20,0.0021214338433708235,0.0012745158230575981,-0.006504633259766024,-0.003907879540610004,-0.014061936613923853,0.0001547554390068786,0.06328797679442143,0.0002727718157230175,0.19069843764054326,0.5666592161767758,428,False
400x50,historical_S3,50,0.015773781857888025,0.00947735594152288,0.006071802197340048,0.003648117208343571,-0.10915911105097709,0.000921663051653172,0.06328797679442143,0.0002727718157230175,0.19069843764054326,0.5666592161767758,428,True
400x50,historical_S3,100,0.09848665085993957,0.05920312243210546,0.09489477983387928,0.057046016656681076,-0.8975573667723447,0.008107409629753183,0.06328797679442143,0.0002727718157230175,0.19069843764054326,0.5666592161767758,428,True
