mesh,policy,config_resolved_local,exact_solver_start,exact_solver_end,nelx,nely,NE,free_DOF,h_over_b,rminEl,status,outer,inner_MMA,mean_inner_per_outer,max_inner_per_outer,omega1,omega2,omega3,gap12,multiplicity_N,volume,volume_error,M_nd,grayness,intermediate_fraction_01_09,mid_fraction_04_06,final_move,final_stage,final_event,S1_E_iteration,S1_branch,S2_E_iteration,S2_branch,S3_E_iteration,S3_branch,first_terminal_E,last_move_change_iteration,stage_terminal_observed_duration,terminal_max_abs_drho,terminal_l2_drho,terminal_rms_drho,eps_l2,amp_over_tol,runtime_total_s,eigen_s,gradient_s,inner_s,other_s,inner_share_pct,eigen_share_pct,peak_memory,inner_nonconverged,multJ_warning_count,effective_config_hash,recomputed_config_hash,omega1_change_last_20,M_nd_change_last_20,omega1_change_last_50,M_nd_change_last_50,omega1_change_last_100,M_nd_change_last_100,wall_per_outer_s,eigen_per_outer_s,gradient_per_outer_s,inner_per_outer_s,inner_s_per_MMA
160x20,legacy_beta_four_rung,2026-09-11T20:12:49,,,160,20,3200,6758,0.05,1.2,NATIVE_CONVERGED,91,2241.0,24.626373626373628,,169.49522702153845,171.9599959181592,357.77656854269514,0.014541818905068822,2.0,0.49999900877797915,-9.912220208518896e-07,13.402499279526733,0.13402499279526733,0.149375,0.025,0.01,3.0,designChange_with_settledMove,,,,,,,,90,2,0.005810444237370642,0.02358256321761374,0.0004168847592233781,0.05,0.4716512643522748,119.76111879166666,2.569451833333333,0.18515329166666666,116.88359358333335,0.12292008333331239,97.5972792861605,2.145480819866993,,0.0,2,28756d22aacb59726be9f37583deca89fcfcecc93f9b867d46a49223ed1db697,28756d22aacb59726be9f37583deca89fcfcecc93f9b867d46a49223ed1db697,,,,,,,1.3160562504578754,0.028235734432234427,0.002034651556776557,1.2844350943223446,0.05215689138033617
240x30,legacy_beta_four_rung,2026-09-11T20:15:06,,,240,30,7200,14938,0.03333333333333333,1.8,NATIVE_CONVERGED,104,2334.0,22.442307692307693,,167.0703947342768,194.10859572136258,361.2174255010389,0.16183717665891484,2.0,0.49999921740188014,-7.825981198639198e-07,15.603643178690026,0.15603643178690027,0.18083333333333335,0.041944444444444444,0.01,3.0,designChange_with_settledMove,,,,,,,,103,2,0.0036484864314362884,0.0429340698135958,0.0005059828651521707,0.07500000000000001,0.5724542641812772,214.40779720833333,6.206732416666666,0.4027959166666667,207.64240658333333,0.1558622916666934,96.84461539501463,2.894825886689083,,0.0,3,0856b13d02e3f1065c0ab145213bb57afb1b98570e64c9b023851f696141196c,0856b13d02e3f1065c0ab145213bb57afb1b98570e64c9b023851f696141196c,,,,,,,2.061613434695513,0.05968011939102564,0.0038730376602564105,1.9965616017628205,0.08896418448300485
320x40,legacy_beta_four_rung,2026-09-11T20:19:22,,,320,40,12800,26318,0.025,2.4,NATIVE_CONVERGED,131,2614.0,19.954198473282442,,165.95078925220545,183.76971226824654,364.16221535285314,0.10737474100807431,2.0,0.4999991386178148,-8.613821851910508e-07,23.359567952074237,0.23359567952074237,0.26375,0.095625,0.02,2.0,designChange_with_settledMove,,,,,,,,130,2,0.0081885774212143,0.09008050507390909,0.000796206699880879,0.1,0.9008050507390909,335.71286541666666,14.005098124999998,0.8391698333333334,320.650464,0.21813345833328412,95.51330825585963,4.171749005692025,,0.0,1,2a5b500991ff5931eef4919e768503d41fd558fe56ffbffe40c382c74d676cad,2a5b500991ff5931eef4919e768503d41fd558fe56ffbffe40c382c74d676cad,,,,,,,2.56269362913486,0.1069091459923664,0.006405876590330789,2.447713465648855,0.12266658913542464
400x50,legacy_beta_four_rung,2026-09-11T20:26:11,,,400,50,20000,40898,0.02,3.0,NATIVE_CONVERGED,139,2918.0,20.992805755395683,,162.88877984265557,175.49577487012454,388.9581106253359,0.07739633779347388,2.0,0.49999914966295694,-8.503370430568147e-07,32.328325623321305,0.3232832562332131,0.3476,0.1882,0.02,2.0,designChange_with_settledMove,,,,,,,,138,2,0.006669173208005745,0.0936602462780037,0.0006622779527077851,0.125,0.7492819702240296,543.5910327083334,24.593621583333338,1.2290369166666666,517.457631625,0.31074258333342186,95.19245176780622,4.524287580830858,,0.0,2,cec3cd6b89ad67bc5386093a0caaf1b05dc172ddb75f488c52088c69d55d0c20,cec3cd6b89ad67bc5386093a0caaf1b05dc172ddb75f488c52088c69d55d0c20,,,,,,,3.910726854016787,0.17693252937649884,0.008841992206235012,3.7227167742805753,0.17733297862405756
480x60,legacy_beta_four_rung,2026-09-11T20:37:49,,,480,60,28800,58678,0.016666666666666666,3.6,NATIVE_CONVERGED,164,3463.0,21.115853658536587,,161.9055204201859,173.18344069950192,404.0154434349261,0.06965741656026896,2.0,0.4999990211500618,-9.788499382157312e-07,34.67169512013076,0.3467169512013076,0.3707638888888889,0.21625,0.02,2.0,designChange_with_settledMove,,,,,,,,163,2,0.008935363315848948,0.09681650704869162,0.0005704967388743752,0.15000000000000002,0.6454433803246107,898.259887875,44.31685495833332,2.0387109583333336,851.4712937499999,0.4330282083334396,94.79119631672664,4.933633969025718,,0.0,4,a49417d0571d3c2406d030cbab1fda58a1dad8d334991c5aaf22fa17f1d7f601,a49417d0571d3c2406d030cbab1fda58a1dad8d334991c5aaf22fa17f1d7f601,,,,,,,5.477194438262195,0.270224725355691,0.012431164380081303,5.19189813262195,0.24587678133121565
560x70,legacy_beta_four_rung,2026-09-11T20:57:23,,,560,70,39200,79658,0.014285714285714285,4.2,NATIVE_CONVERGED,190,3922.0,20.642105263157895,,161.03351573891155,165.69803891135243,403.2788098290549,0.028966163664982704,2.0,0.4999988403513924,-1.1596486075848844e-06,37.01399573341875,0.37013995733418753,0.39571428571428574,0.24153061224489797,0.02,2.0,designChange_with_settledMove,,,,,,,,189,2,0.012920701838916386,0.11060130833829784,0.000558620965243676,0.17500000000000002,0.6320074762188448,1334.92941075,69.8839265,3.2867199583333333,1261.1604373749997,0.5983269166670198,94.47394200914678,5.235027855198522,,0.0,4,3478f34841ce743457aac7d4ba1755f2989453a9f0d79ccfc4f961f89fb7fd64,3478f34841ce743457aac7d4ba1755f2989453a9f0d79ccfc4f961f89fb7fd64,,,,,,,7.025944267105263,0.36781013947368424,0.017298526096491226,6.637686512499998,0.32156053987123906
640x80,legacy_beta_four_rung,2026-09-11T21:31:57,,,640,80,51200,103838,0.0125,4.8,NATIVE_CONVERGED,199,4324.0,21.728643216080403,,159.72529149024768,161.16118980985198,398.9108155090564,0.008989799337395247,2.0,0.49999718813005983,-2.811869940166911e-06,39.72040837524015,0.39720408375240146,0.4229296875,0.2546875,0.02,2.0,designChange_with_settledMove,,,,,,,,198,2,0.006320493106619409,0.08056385092267594,0.00035604528316203905,0.2,0.4028192546133797,1773.7865279583334,101.57782504166667,4.497203791666667,1666.9524622083336,0.7590369166664459,93.97706183545276,5.726609343379383,,0.0,7,e5d868133d52a510797e6847b9f113ab3d5424849f8473f23c7827485bff300b,e5d868133d52a510797e6847b9f113ab3d5424849f8473f23c7827485bff300b,,,,,,,8.913500140494138,0.5104413318676717,0.022599014028475715,8.376645538735344,0.38551167026094674
720x90,legacy_beta_four_rung,2026-09-11T22:16:27,,,720,90,64800,131218,0.011111111111111112,5.3999999999999995,NATIVE_CONVERGED,223,4831.0,21.663677130044842,,159.0860424943413,160.55415391675373,400.826629299035,0.009228411238306092,2.0,0.49999227302398097,-7.726976019029053e-06,41.24178241364594,0.41241782413645944,0.43765432098765433,0.2684567901234568,0.02,2.0,designChange_with_settledMove,,,,,,,,222,2,0.006145355873987421,0.09684255544261483,0.00038043348700503966,0.225,0.4304113575227326,2397.5709450416666,204.66590129166664,6.667743458333333,2185.029019833333,1.20828045833332,91.13511424352701,8.536385616239182,,0.0,43,7efe1ee908be54cefd2b9e63f911e337809b92870056c7b1854b46bd41a91078,7efe1ee908be54cefd2b9e63f911e337809b92870056c7b1854b46bd41a91078,,,,,,,10.751439215433482,0.9177843107249625,0.02990019488041853,9.79833641180867,0.45229331811909196
800x100,legacy_beta_four_rung,2026-09-11T23:17:49,,,800,100,80000,161798,0.01,6.0,NATIVE_CONVERGED,170,3713.0,21.841176470588234,,153.3020068531485,154.2227913711982,421.654662666513,0.0060063435368576425,2.0,0.4999880615005176,-1.1938499482389009e-05,50.65606664059261,0.5065606664059261,0.563425,0.313375,0.02,2.0,designChange_with_settledMove,,,,,,,,169,2,0.004357515881563823,0.06475930168641426,0.00022895870683684472,0.25,0.25903720674565706,1987.063825,189.41654916666664,6.07037875,1790.0863289166668,1.4905681666666624,90.08700709030657,9.532484401534845,,0.0,81,9321858983a3d7d33ca1a7b5bed9136fb7967e637b7ac5b40dadfad5ffdd4132,9321858983a3d7d33ca1a7b5bed9136fb7967e637b7ac5b40dadfad5ffdd4132,,,,,,,11.688610735294118,1.1142149950980391,0.03570811029411765,10.529919581862746,0.4821132046637939
