metric,subset,mesh,observed,predicted,residual,relative_residual_pct,log_residual
runtime_total_s,all9,160x20,119.76111879166666,102.86140842286206,16.899710368804605,16.429592621685767,0.15211654914279737
runtime_total_s,all9,240x30,214.40779720833333,228.1781749805688,-13.770377772235463,-6.034923267051338,-0.062246996867838494
runtime_total_s,all9,320x40,335.71286541666666,401.58766041392363,-65.87479499725697,-16.403590421418485,-0.17916961444433416
runtime_total_s,all9,400x50,543.5910327083334,622.6009908365484,-79.00995812821498,-12.690303949252385,-0.1357086634364946
runtime_total_s,all9,480x60,898.259887875,890.8446894996915,7.415198375308478,0.8323783553643831,0.008289331913955835
runtime_total_s,all9,560x70,1334.92941075,1206.01668405374,128.91272669626005,10.689132944906731,0.10155548219515652
runtime_total_s,all9,640x80,1773.7865279583334,1567.8635113932999,205.92301656503355,13.133988709389486,0.12340267107991086
runtime_total_s,all9,720x90,2397.5709450416666,1976.1669469420938,421.40399809957285,21.324311630231964,0.19329703552020175
runtime_total_s,all9,800x100,1987.063825,2430.7354829672795,-443.67165796727954,-18.252568454123804,-0.2015357951033648
runtime_total_s,fine5,480x60,898.259887875,987.0645766810139,-88.80468880601393,-8.996846903838655,-0.09427603066315174
runtime_total_s,fine5,560x70,1334.92941075,1293.3298420537008,41.59956869629923,3.2164701798144977,0.03165824909112559
runtime_total_s,fine5,640x80,1773.7865279583334,1634.460342338381,139.3261856199524,8.524292820749752,0.08180385889667353
runtime_total_s,fine5,720x90,2397.5709450416666,2009.3211305077666,388.2498145339,19.322437247041098,0.17665919958998227
runtime_total_s,fine5,800x100,1987.063825,2416.942619978334,-429.8787949783339,-17.786057121297628,-0.1958452769146335
runtime_total_s,fine4,560x70,1334.92941075,1440.0375171263547,-105.10810637635473,-7.298983889399051,-0.0757907521969501
runtime_total_s,fine4,640x80,1773.7865279583334,1713.1640843123664,60.622443645966996,3.5386244785945165,0.03477454046980135
runtime_total_s,fine4,720x90,2397.5709450416666,1996.7728456608838,400.7980993807828,20.072293163027677,0.1829238184232361
runtime_total_s,fine4,800x100,1987.063825,2290.0317704715235,-302.96794547152354,-13.229857741630441,-0.14190760669608546
eigen_s,all9,160x20,2.569451833333333,2.1473325984781484,0.42211923485518454,19.6578413215702,0.17946616171053664
eigen_s,all9,240x30,6.206732416666666,6.723362923892121,-0.5166305072254547,-7.6841085789011645,-0.07995388788955947
eigen_s,all9,320x40,14.005098124999998,15.11061871015519,-1.1055205851551921,-7.316183449273455,-0.075976307397738
eigen_s,all9,400x50,24.593621583333338,28.3190460255733,-3.7254244422399623,-13.155190463957528,-0.1410474586327446
eigen_s,all9,480x60,44.31685495833332,47.31180147170938,-2.994946513376057,-6.330231401496978,-0.06539468916080475
eigen_s,all9,560x70,69.8839265,73.0165025079476,-3.1325760079476055,-4.2902301539390155,-0.043849804484233416
eigen_s,all9,640x80,101.57782504166667,106.33229242899498,-4.7544673873283045,-4.47132971435105,-0.04574377114096453
eigen_s,all9,720x90,204.66590129166664,148.13467280423842,56.53122848742822,38.162050394599284,0.3232570884654502
eigen_s,all9,800x100,189.41654916666664,199.2790064431784,-9.862457276511748,-4.949069875719141,-0.05075733146996076
eigen_s,fine5,480x60,44.31685495833332,44.31928499340462,-0.0024300350712991303,-0.00548301957412164,-5.4831698971393274e-05
eigen_s,fine5,560x70,69.8839265,71.93513008809988,-2.051203588099881,-2.8514629577895327,-0.028929069030363325
eigen_s,fine5,640x80,101.57782504166667,109.43418514115942,-7.856360099492747,-7.179073055973149,-0.07449806575620327
eigen_s,fine5,720x90,204.66590129166664,158.4438406322593,46.22206065940733,29.172519723683397,0.25597868710035976
eigen_s,fine5,800x100,189.41654916666664,220.6207743361701,-31.204225169503445,-14.14382904936963,-0.15249672061484396
eigen_s,fine4,560x70,69.8839265,71.93962568538788,-2.05569918538788,-2.8575338915134587,-0.02899156223516912
eigen_s,fine4,640x80,101.57782504166667,109.4371784949257,-7.859353453259033,-7.1816119177665465,-0.07452541838668673
eigen_s,fine4,720x90,204.66590129166664,158.44326333481357,46.22263795685308,29.172990371435326,0.25598233065314885
eigen_s,fine4,800x100,189.41654916666664,220.6138534422923,-31.19730427562567,-14.141135648938834,-0.15246535003129214
gradient_s,all9,160x20,0.18515329166666666,0.1684715967165186,0.016681694950148068,9.901784796530293,0.09441691547642282
gradient_s,all9,240x30,0.4027959166666667,0.43159542335596207,-0.028799506689295373,-6.672801686671902,-0.06905860600461648
gradient_s,all9,320x40,0.8391698333333334,0.8412939529889611,-0.002124119655627754,-0.2524824584892298,-0.002528017329697203
gradient_s,all9,400x50,1.2290369166666666,1.4118518704961045,-0.1828149538294379,-12.948593096044798,-0.13867135788318538
gradient_s,all9,480x60,2.0387109583333336,2.1552512523405065,-0.11654029400717292,-5.407271838056717,-0.05558958220892344
gradient_s,all9,560x70,3.2867199583333333,3.081920702522599,0.20479925581073433,6.645182520209005,0.06433708697803242
gradient_s,all9,640x80,4.497203791666667,4.201156332166436,0.29604745950023137,7.046808928140191,0.0680960194313242
gradient_s,all9,720x90,6.667743458333333,5.5213851760280885,1.1463582823052443,20.762150180761314,0.1886527240974754
gradient_s,all9,800x100,6.07037875,7.050342397853375,-0.9799636478533751,-13.899518527663927,-0.14965518255684665
gradient_s,fine5,480x60,2.0387109583333336,2.2128127938941384,-0.17410183556080483,-7.867897186838748,-0.0819467387148152
gradient_s,fine5,560x70,3.2867199583333333,3.158509993866957,0.12820996446637611,4.0591913502039905,0.03978969884833055
gradient_s,fine5,640x80,4.497203791666667,4.298815415734646,0.19838837593202108,4.614954510628075,0.045116323976551284
gradient_s,fine5,720x90,6.667743458333333,5.641926916438067,1.0258165418952654,18.182024636059925,0.1670558315821473
gradient_s,fine5,800x100,6.07037875,7.19535814372426,-1.12497939372426,-15.634793588495093,-0.17001511569223374
gradient_s,fine4,560x70,3.2867199583333333,3.467720152659789,-0.18100019432645587,-5.219573274608859,-0.05360726718624642
gradient_s,fine4,640x80,4.497203791666667,4.478187495744404,0.019016295922263282,0.424642691721469,0.0042374362894757895
gradient_s,fine4,720x90,6.667743458333333,5.611288198450134,1.056455259883199,18.827321330153698,0.17250117202622192
gradient_s,fine4,800x100,6.07037875,6.8657984601334086,-0.7954197101334088,-11.585247000069284,-0.12313134112944915
inner_s,all9,160x20,116.88359358333335,101.32901636589577,15.554577217437583,15.350565687197152,0.14280570271324963
inner_s,all9,240x30,207.64240658333333,220.84422835469587,-13.201821771362546,-5.97788851885195,-0.06164020285712701
inner_s,all9,320x40,320.650464,383.84048475584456,-63.19002075584456,-16.462573195226874,-0.17987542934732884
inner_s,all9,400x50,517.457631625,589.3312172942581,-71.87358566925809,-12.195787964405591,-0.13006071342713998
inner_s,all9,480x60,851.4712937499999,836.5713860391081,14.899907710891739,1.7810682936979148,0.01765393122379867
inner_s,all9,560x70,1261.1604373749997,1124.9638127479234,136.1966246270763,12.106756064836603,0.11428141047054789
inner_s,all9,640x80,1666.9524622083336,1454.0111314767453,212.94133073158832,14.645096321602265,0.13667105154723963
