mesh,rminEl,positive_interior_stencil,center_weight_fraction,weighted_rms_radius_over_b,symmetry_x_L1,symmetry_y_L1,components_05_4connected
160x20,1.2,5,0.6000000000000001,0.03162277660168379,0.01070767616813142,7.661449264462498e-11,23
240x30,1.8,9,0.27509703568201205,0.03267252552677444,0.015570581137322605,1.2750639126349675e-11,1
320x40,2.4,21,0.16156609320312593,0.03335566185684487,0.011576345691553726,2.213173234507835e-11,1
400x50,3.0,25,0.10660642339945332,0.03215359266383097,0.00927663205166881,2.459837809107475e-11,1
480x60,3.6,37,0.07340546185934059,0.032748867164730217,0.005208539675268569,2.7479652324116775e-11,1
560x70,4.2,57,0.05425416117689972,0.0326363603559479,0.00414600618914357,1.1176314085911475e-11,3
640x80,4.8,69,0.0412138273937654,0.03293693157826772,0.0022787640519370445,2.388764571229358e-11,1
720x90,5.3999999999999995,97,0.0326891765653168,0.03287203542932438,0.004793550799266196,1.1946155047638556e-11,1
800x100,6.0,109,0.026534904962574102,0.03278860223540497,0.003024938973775358,4.5336986438052755e-12,3
