mesh,S2_iter,S3_iter,S2_omega_preupdate,S3_omega_preupdate,gain_to_S3_pct_preupdate,S2_Mnd,S3_Mnd,scope
160x20,141,180,169.81754424807076,169.9766066678998,0.09366665884456005,12.788441245161996,12.756141959540173,pre-update frequency convention inherited; morphology post-update
240x30,245,284,167.03670524546118,167.03846293238027,0.0010522758554731837,12.926043514365185,12.916524091561493,pre-update frequency convention inherited; morphology post-update
320x40,313,352,166.41625361145563,166.4272692775777,0.006619345095804086,12.979711357874708,12.940093529981478,pre-update frequency convention inherited; morphology post-update
400x50,427,466,166.43553569994904,166.4426704799111,0.004286812868459222,15.44130185920115,15.373230197122782,pre-update frequency convention inherited; morphology post-update
