evaluator,representation,relevant_margin_count,minimum_absolute_margin,p01_absolute_margin,p05_absolute_margin,median_absolute_margin,maximum_all_mode_voidKE_perturbation,maximum_all_mode_voidSE_perturbation,maximum_all_mode_densityParticipation_perturbation,relevant_classifier_mismatch_count
E1,double,9600,0.0013490256663831746,0.31108401456110435,0.40519797889466447,0.48981309081044444,0.0449429566556491,0.334731187521401,4.39955959441463e-08,0
E1,single,9600,0.001349024336275595,0.31108402307651173,0.4051979790942084,0.49081509940341583,0.0449429566556491,0.334731187521401,4.39955959441463e-08,0
E2,double,9738,0.0013490257533599337,0.3254464488370503,0.4085058305140622,0.49466023974765677,0.0449434047028475,0.334584734894054,1.4203190601414e-07,0
E2,single,9738,0.001349024423251799,0.3254464553263139,0.4085058326199882,0.49563981072889146,0.0449434047028475,0.334584734894054,1.4203190601414e-07,0
E3,double,9756,0.0013490257534469752,0.3301193025248338,0.40850610844146673,0.4946646968953844,0.0449434051515526,0.334584588200077,1.42371802014374e-07,0
E3,single,9756,0.0013490244233392845,0.3301193062241241,0.40850610580982016,0.4956401264535658,0.0449434051515526,0.334584588200077,1.42371802014374e-07,0
