k,ratio_E1_double,ratio_E1_single,ratio_E2_double,ratio_E2_single,ratio_E3_double,ratio_E3_single,binding_evaluator_double,binding_evaluator_single,Q_double,Q_single,delta_Q_single_minus_double,H0_double,H0_single,pass_q0_980_double,pass_q0_980_single,pass_q0_990_double,pass_q0_990_single,pass_q0_995_double,pass_q0_995_single
62,0.699007602039495,0.699007605240835,0.697557024916038,0.697557028095614,0.697557023754771,0.697557026929219,3,3,0.697557023754771,0.697557026929219,3.17444803776823e-09,1,1,0,0,0,0,0,0
63,0.703434124358409,0.703434123284672,0.70197426916845,0.701974268083788,0.701974267901874,0.70197426681376,3,3,0.701974267901874,0.70197426681376,-1.08811371024586e-09,0,0,0,0,0,0,0,0
64,0.707870531156415,0.707870526368487,0.706401365210386,0.706401360415917,0.706401363835311,0.706401359051124,3,3,0.706401363835311,0.706401359051124,-4.78418693550253e-09,0,0,0,0,0,0,0,0
65,0.712309653924029,0.712309646367058,0.710831161213745,0.710831153660988,0.71083115972492,0.710831152172193,3,3,0.71083115972492,0.710831152172193,-7.55272722141598e-09,0,0,0,0,0,0,0,0
66,0.716762677591967,0.716762666321358,0.715274827355647,0.715274816095762,0.715274825730897,0.715274814479455,3,3,0.715274825730897,0.715274814479455,-1.12514415562259e-08,0,0,0,0,0,0,0,0
67,0.721230072033685,0.721230058534343,0.719732828339755,0.719732814852884,0.719732826584668,0.719732813102627,3,3,0.719732826584668,0.719732813102627,-1.3482040817081e-08,0,0,0,0,0,0,0,0
68,0.725735154157286,0.725735136163483,0.724228408680904,0.724228390713969,0.724228406773479,0.724228388808536,3,3,0.724228406773479,0.724228388808536,-1.79649427556328e-08,0,0,0,0,0,0,0,0
69,0.730265647126625,0.730265665988916,0.728749350618767,0.728749369424885,0.728749348551953,0.72874936735666,3,3,0.728749348551953,0.72874936735666,1.88047066806973e-08,0,0,0,0,0,0,0,0
70,0.734833844738896,0.734833858832985,0.733307909427081,0.733307923472506,0.733307907190189,0.733307921242473,3,3,0.733307907190189,0.733307921242473,1.4052284558197e-08,0,0,0,0,0,0,0,0
71,0.739451077366592,0.739451089530513,0.73791539302974,0.73791540514769,0.737915390616737,0.737915402745751,3,3,0.737915390616737,0.737915402745751,1.21290135712826e-08,0,0,0,0,0,0,0,0
72,0.744089551216629,0.744089559687601,0.742544068803885,0.742544077254158,0.742544066213414,0.742544074663935,3,3,0.742544066213414,0.742544074663935,8.45052050557626e-09,0,0,0,0,0,0,0,0
